code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for antimony;2.8200523457428693e-11;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
016e2f396e3075842701135a86740987;primary zinc production from concentrate;RoW;sulfuric acid;;market for antimony;2.0027467923042273e-07;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
070c1442a07bedeff71ecb0900d6c273;treatment of waste graphical paper, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only;;market for antimony;3.546543055453082e-11;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
0b8ff108f1c401f5acd1e38834fc8cd6;primary zinc production from concentrate;RoW;indium rich leaching residues, from zinc production;;market for antimony;1.3682497999881974e-08;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
0bbf94f0be160df7ee909790c37b8368;treatment of waste mineral oil, hazardous waste incineration, with energy recovery;Europe without Switzerland;electricity, medium voltage;;market for antimony;3.2209866953466363e-10;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
0c05a5e2b82fc0dffc49002617660947;primary zinc production from concentrate;RoW;cobalt;;market for antimony;8.43014922556484e-05;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
0cdd54021ed02414733ec35bd3dd4bd4;treatment of municipal solid waste, incineration;ES;iron scrap, sorted, pressed;;market for antimony;4.5350373644916493e-07;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
0f80a8b6702644a3c059f426b0e5951f;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RoW;iron scrap, unsorted;;market for antimony;8.898655866381324e-11;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
1090bfc50ed18cacf483b6b9df2e4b88;primary zinc production from concentrate;RoW;copper concentrate, sulfide ore;;market for antimony;2.673497498844927e-06;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
1593d55ba686148348916d5c3709c78c;primary zinc production from concentrate;RoW;zinc;;market for antimony;3.3055187484630477e-06;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
16c94b87926d0d8391f6d92281902687;primary zinc production from concentrate;RoW;lead concentrate;;market for antimony;1.1961647714262476e-06;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
1715221be8aa50a0a1207f20e8ec5466;primary zinc production from concentrate;RoW;gypsum, mineral;;market for antimony;1.6025775007683818e-08;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
185f48fe903181f9cca8ceda28e80f04;treatment of hazardous waste, hazardous waste incineration, with energy recovery;CH;electricity, medium voltage;;market for antimony;1.1412364126252424e-09;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
1b4c001d4f14cbee093d5bc07e8b154e;fibre cement roof slate production;CH;fibre cement roof slate;;market for antimony;8.01101095767887e-09;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
263243ece05f05ed2cd2d1b77086f1a2;primary zinc production from concentrate;RoW;iron scrap, unsorted;;market for antimony;4.741144655773055e-07;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
2b219023bd6c7a89ce7b14be1ba97466;treatment of municipal solid waste, incineration;RoW;iron scrap, sorted, pressed;;market for antimony;8.404299312177885e-11;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
2bab0129a39ed63f52acb5599e895054;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RER;aluminium oxide, non-metallurgical;;market for antimony;1.672230632608571e-10;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
321c7c24bc5890be982dc39d6ab5e710;treatment of sewage sludge, 70% water, WWT, WW, average, municipal incineration;RoW;heat, for reuse in municipal waste incineration only;;market for antimony;1.3974431174395455e-10;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
356e9b7aaa27e4388e5f7dd2fa21c80e;treatment of spent solvent mixture, hazardous waste incineration, with energy recovery;RoW;heat, district or industrial, other than natural gas;;market for antimony;4.362270782139667e-09;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
3624e7bd399b7cc0fd6765bede593e54;treatment of spent solvent mixture, hazardous waste incineration, with energy recovery;Europe without Switzerland;heat, district or industrial, other than natural gas;;market for antimony;2.634049921735104e-09;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
383585327d11c292d052c20b02f90cd9;treatment of sewage sludge, 97% water, WWT, WW, average, landfarming;Europe without Switzerland;organic phosphorus fertiliser, as P2O5;;market for antimony;3.1313687037525917e-08;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
39e7eab1c2f596dfd4966d8da637d68a;treatment of sewage sludge, 75% water, WWT, WW, average, sanitary landfill;Europe without Switzerland;heat, district or industrial, other than natural gas;;market for antimony;1.3772825004057035e-09;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
3b17ea1ef36ad533b1199e5e3ca0cf53;treatment of sewage sludge, 70% water, WWT, WW, average, municipal incineration;Europe without Switzerland;electricity, for reuse in municipal waste incineration only;;market for antimony;1.2993231135902868e-08;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
41dcd6d567a8167b9b176dba2670d348;treatment of sewage sludge, 97% water, WWT, WW, average, landfarming;Europe without Switzerland;organic potassium fertiliser, as K2O;;market for antimony;2.442727453549738e-08;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
425c562a1ce64bf1d5b9d788860e7618;treatment of municipal solid waste, incineration;BG;heat, for reuse in municipal waste incineration only;;market for antimony;1.0499565148645223e-12;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
445673f32c42784e53cec54a39a301da;treatment of municipal solid waste, incineration;RoW;electricity, for reuse in municipal waste incineration only;;market for antimony;6.21355358690695e-11;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
463328d6297f1a5d552adba796e45306;treatment of sewage sludge, 97% water, WWT, WW, average, landfarming;RoW;organic potassium fertiliser, as K2O;;market for antimony;2.4784840196097585e-09;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
4699b03751d47bc43219942e70a567c1;treatment of aluminium scrap, post-consumer, prepared for recycling, at remelter;RER;aluminium, wrought alloy;;market for antimony;8.600043253415501e-10;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
4a93375709c38b1c4cf6f9f7b5154518;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RoW;aluminium oxide, non-metallurgical;;market for antimony;1.6722306326085697e-10;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
4f0990e0e0b43dd79725ecaf96c7eb89;treatment of sewage sludge, 97% water, WWT, WW, average, landfarming;RoW;organic nitrogen fertiliser, as N;;market for antimony;6.235760325933063e-09;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
5392c1465e6dda1e5b5c55efc5c1cbba;primary zinc production from concentrate;RoW;cadmium sludge from zinc electrolysis;;market for antimony;3.1498509336986297e-06;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
53baba773607ecd6293ef217dad6c9bf;treatment of waste textile, soiled, municipal incineration;RoW;electricity, for reuse in municipal waste incineration only;;market for antimony;5.822202787632695e-08;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
559bb5b4581f4c66b40633a90f1612d0;treatment of municipal solid waste, incineration;SE;electricity, for reuse in municipal waste incineration only;;market for antimony;2.0486567439076155e-11;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
599e2ee01420c0cb878d0aa6731d95d2;treatment of sewage sludge, 70% water, WWT, WW, average, municipal incineration;RoW;electricity, for reuse in municipal waste incineration only;;market for antimony;1.3183425636222126e-09;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
5ab75b23954c0a416eb85c8df5e8bcf5;treatment of waste plastic, mixture, municipal incineration with fly ash extraction;CH;electricity, for reuse in municipal waste incineration only;;market for antimony;7.574596577415473e-09;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
5e3eb0c93271935f773eeb24e54cbabd;primary zinc production from concentrate;RoW;lead;;market for antimony;2.365762867371435e-06;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
5eb5d0975d7d03df8e59440acb7d9f4f;treatment of waste textile, soiled, municipal incineration;RoW;heat, for reuse in municipal waste incineration only;;market for antimony;2.979027093005393e-09;kilogram;antimony;0.0;technosphere;GLO;apos391;antimony
