code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for graphite;8.321076751062972e-07;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
045b0e007794515cfe178b93d1da42de;treatment of waste paint, hazardous waste incineration, with energy recovery;RoW;heat, district or industrial, other than natural gas;;market for graphite;8.059069902379062e-12;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
046f44ba782d9b3b057e4fb17c6f66a2;fuel cell production, stack polymer electrolyte membrane, 2kW electrical, future;CH;fuel cell, stack polymer electrolyte membrane, 2kW electrical, future;;market for graphite;8.453156026226985;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
060962164b7a07010b444a4c24c1c664;treatment of sewage sludge, 70% water, WWT, WW from glass production, municipal incineration FAE;CH;heat, for reuse in municipal waste incineration only;;market for graphite;6.182747306925056e-11;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
07b24aeb6b8ee96d280c6cfd05488e60;treatment of wastewater from glass production, wastewater treatment;RoW;iron scrap, sorted, pressed;;market for graphite;1.2599735763104398e-06;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
0aa9edf0805acb685e0223200b1c2fa2;treatment of sewage sludge, 70% water, WWT, WW from glass production, municipal incineration;GLO;heat, for reuse in municipal waste incineration only;;market for graphite;7.63183994793752e-08;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
0b8381797cf36d4598a374d23587aa60;treatment of waste paint, municipal incineration;RoW;electricity, for reuse in municipal waste incineration only;;market for graphite;9.849414924445762e-11;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
104a1c788cf354c4ffd492ebedc76e8d;collector field area construction, solar thermal parabolic trough, 50 MW;ZA;collector field area, solar thermal parabolic trough, 50 MW;;market for graphite;219.9921423846739;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
1106b2262cb8c8e8b84fec6967d7d42e;treatment of sewage sludge, 97% water, WWT, WW from glass production, landfarming;RoW;organic nitrogen fertiliser, as N;;market for graphite;3.4055285805419314e-06;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
11d3614f892d553db83378c9726963a1;packaging glass production, green;DE;packaging glass, green;;market for graphite;1.2488842173068987e-06;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
17e7e310352f198eb7c8d40ca57df621;multi-Si wafer production, ribbon;RER;multi-Si wafer, ribbon;;market for graphite;0.0066;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
1853b72ca7577d531ab5d702d5731d2e;treatment of wastewater from glass production, wastewater treatment;CH;iron scrap, sorted, pressed;;market for graphite;1.0207365836904572e-09;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
18b935fc74af30ac3c7f76ca568e2b78;packaging glass production, green, without cullet;GLO;packaging glass, green;;market for graphite;1.25e-06;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
1d6bfecc63061c547538137ab5df32a4;anode refinery construction;RoW;anode refinery;;market for graphite;7491.7;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
2b219023bd6c7a89ce7b14be1ba97466;treatment of municipal solid waste, incineration;RoW;iron scrap, sorted, pressed;;market for graphite;5.1280347830058125e-09;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
2b6a93ab10409e92e9b51b066bb7d8e9;treatment of sewage sludge, 75% water, WWT, WW from glass production, sanitary landfill;GLO;heat, district or industrial, other than natural gas;;market for graphite;7.63183994793752e-08;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
351df62b38deb8287493f9fed9b351b4;silicon production, electronics grade;RoW;silicon, solar grade;;market for graphite;0.0002514800167694961;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
41b4cdfab3d4fb400b24baf43215aa47;treatment of sewage sludge, 75% water, WWT, WW from pig iron production, sanitary landfill;RoW;electricity, medium voltage;;market for graphite;2.5863159948439696e-06;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
445673f32c42784e53cec54a39a301da;treatment of municipal solid waste, incineration;RoW;electricity, for reuse in municipal waste incineration only;;market for graphite;3.791610527725681e-09;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
46d37fefd66415abf8d40f03442edb9e;silicon production, metallurgical grade;RoW;silicon, metallurgical grade;;market for graphite;0.1;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
48e490355d4ee3f672f8c7591c062e9b;treatment of waste plastic, industrial electronics, municipal incineration;RoW;electricity, for reuse in municipal waste incineration only;;market for graphite;3.0069470898726707e-09;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
4e8a044106eab92e72b77cf06fa9e213;treatment of waste plastic, industrial electronics, municipal incineration with fly ash extraction;CH;electricity, for reuse in municipal waste incineration only;;market for graphite;1.8812119056983994e-10;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
4f50bad1327e3fa9e1f8198863b9a32f;packaging glass production, white, without cullet;GLO;packaging glass, white;;market for graphite;1.249999994557699e-06;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
4f97b42eeb64fa3b446d20f92198eb09;treatment of waste plastic, industrial electronics, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only;;market for graphite;9.625535010438414e-12;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
52a3281e5a37795784204b3a8e0ded18;treatment of sewage sludge, 70% water, WWT, WW from glass production, municipal incineration;GLO;electricity, for reuse in municipal waste incineration only;;market for graphite;7.199849007488227e-07;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
560be011a56cf9c655aab9eb81c2481b;treatment of sewage sludge, 75% water, WWT, WW from pig iron production, sanitary landfill;RoW;heat, district or industrial, other than natural gas;;market for graphite;2.741494954534608e-07;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
5a92abc522500ef89581c03a7ab151f7;packaging glass production, white;RoW;packaging glass, white;;market for graphite;1.2499024848144182e-06;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
5b9ad78df484e7457c96520ad1f4ec58;treatment of wastewater from pig iron production, wastewater treatment;RoW;iron scrap, sorted, pressed;;market for graphite;4.526052990976946e-06;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
5cb38d06b7406ea214d5a335e768311d;treatment of waste paint, municipal incineration;Europe without Switzerland;heat, for reuse in municipal waste incineration only;;market for graphite;4.41816531570795e-12;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
5cf39070ca2664143b75378428c7c0dc;treatment of waste glass, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only;;market for graphite;9.196093871805362e-11;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
615f5affab01665bd8ac7de8d029b43c;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only;;market for graphite;3.146432936060381e-08;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
648b7e5db29f90734aceee6ac0fb4caa;treatment of municipal solid waste, incineration;DE;electricity, for reuse in municipal waste incineration only;;market for graphite;5.6788581120767346e-09;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
6623f0578aec90e0bd983de776348f93;vanadium-titanomagnetite mine operation and beneficiation;CN;iron ore concentrate;;market for graphite;0.0012073021984412512;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
68c0019fa15570ed0392d0c867268873;packaging glass production, brown, without cullet;GLO;packaging glass, brown;;market for graphite;1.25e-06;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
69109ffefa6f00672efafc52fac98a00;treatment of waste paint, hazardous waste incineration, with energy recovery;Europe without Switzerland;heat, district or industrial, other than natural gas;;market for graphite;7.065279162825342e-12;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
6d80a05425b05bbe6461e7ad1ec4410c;treatment of municipal solid waste, incineration;RoW;heat, for reuse in municipal waste incineration only;;market for graphite;1.940040720019639e-10;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
72bb7456b4ca866f412813b9a69ae728;treatment of copper scrap by electrolytic refining;RER;copper, cathode;;market for graphite;3.336268355334365e-10;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
72f9094019decb4443c1b243cdcb58a0;treatment of waste paint, municipal incineration;RoW;heat, for reuse in municipal waste incineration only;;market for graphite;5.039617303008081e-12;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
800b35a04e9cfed185b94fc2afb0a60e;treatment of copper scrap by electrolytic refining;RoW;copper, cathode;;market for graphite;3.3361894618280524e-10;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
80dfe017da3a91d93e95115ede973d7e;treatment of waste plastic, industrial electronics, municipal incineration;RoW;heat, for reuse in municipal waste incineration only;;market for graphite;1.5385601408946683e-10;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
80e0b256ed53586186510f6ac03e5d4e;packaging glass production, brown;DE;packaging glass, brown;;market for graphite;1.2488662263660911e-06;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
810da7a3343c10d6cc8d9ac4de0aaa03;treatment of waste paint, hazardous waste incineration, with energy recovery;Europe without Switzerland;electricity, medium voltage;;market for graphite;6.665357700778623e-11;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
86fdebcd4af68a3487d3e0e1595cc39d;electrode production, negative, LiC6;GLO;electrode, negative, LiC6;;market for graphite;0.69324;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
889c6eeba59ccb8d3aa9d859a0e2f59f;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;electricity, for reuse in municipal waste incineration only;;market for graphite;6.149332334723114e-07;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
8a002731272776fbfcc4835ebd380071;silicon production, electronics grade;DE;silicon, electronics grade;;market for graphite;0.000941683323664037;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
8bacbcf8f0876f69e081da089e7ee155;silicon production, metallurgical grade;NO;silicon, metallurgical grade;;market for graphite;0.1;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
9124dd96c26eb96d7b3d3acf1127deed;treatment of scrap steel, municipal incineration;RoW;iron scrap, sorted, pressed;;market for graphite;2.9370117753894285e-11;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
9377fad70c68f8a62218c707e24cb2f7;treatment of municipal solid waste, incineration;DE;iron scrap, sorted, pressed;;market for graphite;7.680369147072243e-09;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
953835ff3e5bca291c6cc3324fe32204;treatment of sewage sludge, 75% water, WWT, WW from glass production, sanitary landfill;GLO;electricity, medium voltage;;market for graphite;7.199849007488227e-07;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
96da15f31c190b3f350f44fab48f5d5f;vanadium-titanomagnetite mine operation and beneficiation;CN;pig iron;;market for graphite;0.0062821116100071185;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
9b41d30a8e01e108eef65baff4142822;treatment of scrap steel, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for graphite;2.6743403842927455e-11;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
9bf4d233e7155a2f73d14490af271011;treatment of waste graphical paper, municipal incineration;RoW;heat, for reuse in municipal waste incineration only;;market for graphite;1.8663514438192974e-11;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
9c2d96a4f79f11bb7a9617be8a6565ea;silicon production, electronics grade;RoW;silicon, electronics grade;;market for graphite;0.000941683323664037;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
a6fdacdafc3815c10e3568a70a1a309f;treatment of waste paint, hazardous waste incineration, with energy recovery;RoW;electricity, medium voltage;;market for graphite;7.602896134319872e-11;kilogram;graphite;0.0;technosphere;GLO;apos391;graphite
