code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for latex;7.634198280220536e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
070c1442a07bedeff71ecb0900d6c273;treatment of waste graphical paper, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only;;market for latex;1.5338898170955587e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
0bbc6d43f2c9a199480d43de3ae886f0;treatment of sewage sludge, 97% water, WWT, WW from soft fibreboard production, landfarming;CH;organic phosphorus fertiliser, as P2O5;;market for latex;0.0025647720855906772;kilogram;latex;0.0;technosphere;RER;apos391;latex
0cdd54021ed02414733ec35bd3dd4bd4;treatment of municipal solid waste, incineration;ES;iron scrap, sorted, pressed;;market for latex;1.3501109416732683e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
0d433e180aa1325a5888eb305f404795;treatment of municipal solid waste, incineration;DK;electricity, for reuse in municipal waste incineration only;;market for latex;5.381372213062517e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
0edcf8dc26465c3ec66aa7c1a05708d7;treatment of municipal solid waste, incineration;DK;iron scrap, sorted, pressed;;market for latex;7.278172025305336e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
0f80a8b6702644a3c059f426b0e5951f;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RoW;iron scrap, unsorted;;market for latex;3.2260632763724197e-06;kilogram;latex;0.0;technosphere;RoW;apos391;latex
0f80a8b6702644a3c059f426b0e5951f;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RoW;iron scrap, unsorted;;market for latex;2.1969858440546007e-07;kilogram;latex;0.0;technosphere;RER;apos391;latex
1118cae14c8bdff005ff1248efb4777e;fibreboard production, soft, latex bonded;CH;fibreboard, soft, latex bonded;;market for latex;5.391942856795928;kilogram;latex;0.0;technosphere;RER;apos391;latex
11ff1f1030bc813108426703711a4212;treatment of municipal solid waste, incineration;PL;heat, for reuse in municipal waste incineration only;;market for latex;2.753927398593074e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
1369efad0020da7ee07a41a81bee0b3c;treatment of municipal solid waste, incineration;NL;iron scrap, sorted, pressed;;market for latex;7.249678540150228e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
165e6a6a7ed208ce0ef9f490fd275f19;solid bleached and unbleached board carton production;RER;solid bleached and unbleached board carton;;market for latex;0.014314273477554474;kilogram;latex;0.0;technosphere;RER;apos391;latex
18d2da5ac8264c3f44160bb8f960dec5;treatment of municipal solid waste, incineration;FR;iron scrap, sorted, pressed;;market for latex;7.281863033455135e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
1e1b13b6be21e74a38580689dd0d096e;anode production, silicon coated graphite, NCA, for Li-ion battery;RoW;anode, silicon coated graphite, for Li-ion battery;;market for latex;0.013388152967213952;kilogram;latex;0.0;technosphere;RoW;apos391;latex
1e1b13b6be21e74a38580689dd0d096e;anode production, silicon coated graphite, NCA, for Li-ion battery;RoW;anode, silicon coated graphite, for Li-ion battery;;market for latex;0.0066118470327860505;kilogram;latex;0.0;technosphere;RER;apos391;latex
1faa86f61038b49b44cb6cf3e8e4102d;fibreboard production, soft, from wet & dry processes;CA-QC;waste paper, sorted;;market for latex;1.3120805369127517;kilogram;latex;0.0;technosphere;RoW;apos391;latex
22f3745753abb227d6d0d3e5fe88fc42;anode production, graphite, for Li-ion battery;RoW;anode, graphite, for Li-ion battery;;market for latex;0.013388152967213952;kilogram;latex;0.0;technosphere;RoW;apos391;latex
22f3745753abb227d6d0d3e5fe88fc42;anode production, graphite, for Li-ion battery;RoW;anode, graphite, for Li-ion battery;;market for latex;0.0066118470327860505;kilogram;latex;0.0;technosphere;RER;apos391;latex
2471c1cb1b0e188efdc67efd2f2a62d8;treatment of municipal solid waste, incineration;GB;heat, for reuse in municipal waste incineration only;;market for latex;2.7455101543484533e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
26b2f50890c1a190e42fefef912ae7d0;treatment of waste rubber, unspecified, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only;;market for latex;1.285006300335239e-08;kilogram;latex;0.0;technosphere;RER;apos391;latex
280612f07bb0c6c3b10e18b2db8c3f40;anode production, graphite, for Li-ion battery;CN;anode, graphite, for Li-ion battery;;market for latex;0.02;kilogram;latex;0.0;technosphere;RoW;apos391;latex
28e5e89b36d2455192d5a81ab05d24ec;white lined chipboard carton production;RoW;waste paper, sorted;;market for latex;0.06673764110290255;kilogram;latex;0.0;technosphere;RoW;apos391;latex
2b219023bd6c7a89ce7b14be1ba97466;treatment of municipal solid waste, incineration;RoW;iron scrap, sorted, pressed;;market for latex;4.7264711118837427e-05;kilogram;latex;0.0;technosphere;RoW;apos391;latex
2b219023bd6c7a89ce7b14be1ba97466;treatment of municipal solid waste, incineration;RoW;iron scrap, sorted, pressed;;market for latex;2.5236852778187746e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
2bab0129a39ed63f52acb5599e895054;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RER;aluminium oxide, non-metallurgical;;market for latex;6.0624007878139455e-06;kilogram;latex;0.0;technosphere;RoW;apos391;latex
2bab0129a39ed63f52acb5599e895054;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RER;aluminium oxide, non-metallurgical;;market for latex;4.1285640022502576e-07;kilogram;latex;0.0;technosphere;RER;apos391;latex
2cd896ac2bcd1478cee3df9babc0c073;treatment of biowaste, municipal incineration;GLO;electricity, for reuse in municipal waste incineration only;;market for latex;1.7552216759264888e-06;kilogram;latex;0.0;technosphere;RoW;apos391;latex
3250b568b5f124b9feefb51719f2d0d4;treatment of raw sewage sludge, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only;;market for latex;3.9177074413985215e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
332a61ce4e94479985259e7b9353be01;treatment of municipal solid waste, incineration;NL;heat, for reuse in municipal waste incineration only;;market for latex;2.7426891632918306e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
36fbbddb6d2f2d4314b5ca1265c06c81;treatment of sewage sludge, 70% water, WWT, WW from soft fibreboard production, municipal incineration FAE;CH;heat, for reuse in municipal waste incineration only;;market for latex;0.00011280740293469371;kilogram;latex;0.0;technosphere;RER;apos391;latex
37c23d42c66616964fc81871b91ea6e9;treatment of municipal solid waste, incineration;AT;heat, for reuse in municipal waste incineration only;;market for latex;2.7539974056779665e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
3bdf844a37f37e8e52c1aedda18effe3;anode production, silicon coated graphite, NMC811, for Li-ion battery;CN;anode, silicon coated graphite, for Li-ion battery;;market for latex;0.02;kilogram;latex;0.0;technosphere;RoW;apos391;latex
3e3ac4d741653c583a6928ae1a3259b4;cathode production, LiMn2O4, for Li-ion battery;RoW;cathode, LiMn2O4, for Li-ion battery;;market for latex;0.006622583746762053;kilogram;latex;0.0;technosphere;RoW;apos391;latex
3e3ac4d741653c583a6928ae1a3259b4;cathode production, LiMn2O4, for Li-ion battery;RoW;cathode, LiMn2O4, for Li-ion battery;;market for latex;0.0032706162532379476;kilogram;latex;0.0;technosphere;RER;apos391;latex
425c562a1ce64bf1d5b9d788860e7618;treatment of municipal solid waste, incineration;BG;heat, for reuse in municipal waste incineration only;;market for latex;2.7547814185344537e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
445673f32c42784e53cec54a39a301da;treatment of municipal solid waste, incineration;RoW;electricity, for reuse in municipal waste incineration only;;market for latex;3.494748533839331e-05;kilogram;latex;0.0;technosphere;RoW;apos391;latex
445673f32c42784e53cec54a39a301da;treatment of municipal solid waste, incineration;RoW;electricity, for reuse in municipal waste incineration only;;market for latex;1.8659753824655112e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
4699b03751d47bc43219942e70a567c1;treatment of aluminium scrap, post-consumer, prepared for recycling, at remelter;RER;aluminium, wrought alloy;;market for latex;3.117806119447168e-05;kilogram;latex;0.0;technosphere;RoW;apos391;latex
4699b03751d47bc43219942e70a567c1;treatment of aluminium scrap, post-consumer, prepared for recycling, at remelter;RER;aluminium, wrought alloy;;market for latex;2.123261486871559e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
48e6162246e62e88fca40fb3329a77df;anode production, silicon coated graphite, NCA, for Li-ion battery;CN;anode, silicon coated graphite, for Li-ion battery;;market for latex;0.02;kilogram;latex;0.0;technosphere;RoW;apos391;latex
495cec1018602686477f6e2f0e579507;treatment of municipal solid waste, incineration;DK;heat, for reuse in municipal waste incineration only;;market for latex;2.753468782350321e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
497e1a5ed15e39c802cdc2478573f120;solid bleached and unbleached board carton production;RER;turpentine;;market for latex;0.03103693054807773;kilogram;latex;0.0;technosphere;RER;apos391;latex
4a93375709c38b1c4cf6f9f7b5154518;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RoW;aluminium oxide, non-metallurgical;;market for latex;6.0624007878139395e-06;kilogram;latex;0.0;technosphere;RoW;apos391;latex
4a93375709c38b1c4cf6f9f7b5154518;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RoW;aluminium oxide, non-metallurgical;;market for latex;4.128564002250254e-07;kilogram;latex;0.0;technosphere;RER;apos391;latex
4abb51e8e7a9d6d7e70ed8caec7dbc58;treatment of municipal solid waste, incineration;AT;electricity, for reuse in municipal waste incineration only;;market for latex;5.3824053531165474e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
4bf8b48cd59f8e932ce0770a6109f84c;solid bleached and unbleached board carton production;RoW;solid bleached and unbleached board carton;;market for latex;0.014313238487797012;kilogram;latex;0.0;technosphere;RoW;apos391;latex
4f712af99ebba165d41e3841892967e1;bark chips production, hardwood, at sawmill;RoW;bark chips, wet, measured as dry mass;;market for latex;1.3526187884355248e-06;kilogram;latex;0.0;technosphere;RoW;apos391;latex
4f712af99ebba165d41e3841892967e1;bark chips production, hardwood, at sawmill;RoW;bark chips, wet, measured as dry mass;;market for latex;6.469882633844027e-07;kilogram;latex;0.0;technosphere;RER;apos391;latex
51237945e5f0a2466d6fc1ebda89370a;treatment of wastewater, unpolluted, wastewater treatment;CH;iron scrap, sorted, pressed;;market for latex;4.168342098211453e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
559bb5b4581f4c66b40633a90f1612d0;treatment of municipal solid waste, incineration;SE;electricity, for reuse in municipal waste incineration only;;market for latex;5.375081206863314e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
56861e427437cc05a89d61c19fce1d8a;treatment of municipal solid waste, incineration;LU;iron scrap, sorted, pressed;;market for latex;7.281999641346788e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
58593e9390c18e143363552bc3ee600f;solid bleached and unbleached board carton production;CA-QC;turpentine;;market for latex;0.03103693054807773;kilogram;latex;0.0;technosphere;RoW;apos391;latex
59997662566e5a80c595fc150202f773;treatment of municipal solid waste, incineration;HU;heat, for reuse in municipal waste incineration only;;market for latex;2.7548503145385195e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
5ab75b23954c0a416eb85c8df5e8bcf5;treatment of waste plastic, mixture, municipal incineration with fly ash extraction;CH;electricity, for reuse in municipal waste incineration only;;market for latex;2.0844405057595964e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
5c44412320ec5a984891422b7cbf9a5c;treatment of municipal solid waste, incineration;LU;heat, for reuse in municipal waste incineration only;;market for latex;2.754916841182171e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
5c732ed7b0cb1eae8528a2e201232439;treatment of municipal solid waste, incineration;SK;electricity, for reuse in municipal waste incineration only;;market for latex;5.378431597990845e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
5cbc5ac8778101d07c68b34fdf593db6;toner production, black, powder;GLO;toner, black, powder;;market for latex;0.46858535385248823;kilogram;latex;0.0;technosphere;RoW;apos391;latex
5cbc5ac8778101d07c68b34fdf593db6;toner production, black, powder;GLO;toner, black, powder;;market for latex;0.23141464614751173;kilogram;latex;0.0;technosphere;RER;apos391;latex
5e9d9db6b4eec6331b564ecd6ebe2b89;treatment of municipal solid waste, incineration;CZ;electricity, for reuse in municipal waste incineration only;;market for latex;5.3838566590525415e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
615284cba47be1b80eae9cc98ca182f1;paper production, woodcontaining, lightweight coated;CA-QC;paper, woodcontaining, lightweight coated;;market for latex;0.0292;kilogram;latex;0.0;technosphere;RoW;apos391;latex
615f5affab01665bd8ac7de8d029b43c;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only;;market for latex;2.888922860477032e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
619669ba90c749ad6bdf42e349180d15;treatment of waste rubber, unspecified, municipal incineration with fly ash extraction;CH;electricity, for reuse in municipal waste incineration only;;market for latex;2.5114129638438556e-07;kilogram;latex;0.0;technosphere;RER;apos391;latex
61b56844ea3cf00e77c5ceb2dcd2ea25;treatment of aluminium scrap, post-consumer, prepared for recycling, at remelter;RoW;aluminium, wrought alloy;;market for latex;3.117623835424684e-05;kilogram;latex;0.0;technosphere;RoW;apos391;latex
61b56844ea3cf00e77c5ceb2dcd2ea25;treatment of aluminium scrap, post-consumer, prepared for recycling, at remelter;RoW;aluminium, wrought alloy;;market for latex;2.1231373493755815e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
648b7e5db29f90734aceee6ac0fb4caa;treatment of municipal solid waste, incineration;DE;electricity, for reuse in municipal waste incineration only;;market for latex;5.3405082657328655e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
676661f8dfbc89dc08f259c031d1be4c;treatment of municipal solid waste, incineration;BE;iron scrap, sorted, pressed;;market for latex;7.279899322165609e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
692fb20e69fc7dc41739a0c1963999e6;treatment of municipal solid waste, incineration;AT;iron scrap, sorted, pressed;;market for latex;7.279569321523056e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
6d80a05425b05bbe6461e7ad1ec4410c;treatment of municipal solid waste, incineration;RoW;heat, for reuse in municipal waste incineration only;;market for latex;1.78814633314779e-06;kilogram;latex;0.0;technosphere;RoW;apos391;latex
6d80a05425b05bbe6461e7ad1ec4410c;treatment of municipal solid waste, incineration;RoW;heat, for reuse in municipal waste incineration only;;market for latex;9.547574040281859e-08;kilogram;latex;0.0;technosphere;RER;apos391;latex
70ded630c11edf20a8efef9ff8397cbe;folding boxboard carton production;RoW;waste paper, sorted;;market for latex;1.3148210487945367;kilogram;latex;0.0;technosphere;RoW;apos391;latex
72bb7456b4ca866f412813b9a69ae728;treatment of copper scrap by electrolytic refining;RER;copper, cathode;;market for latex;8.306869678396636e-06;kilogram;latex;0.0;technosphere;RoW;apos391;latex
72c59e690a63c11306da77020d33c2e5;treatment of municipal solid waste, incineration;FR;electricity, for reuse in municipal waste incineration only;;market for latex;5.384101289451925e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
73ae09aebdd15aa07370321d1f12a7b8;treatment of biowaste, municipal incineration;GLO;heat, for reuse in municipal waste incineration only;;market for latex;8.980884241823875e-08;kilogram;latex;0.0;technosphere;RoW;apos391;latex
741dbc4427878d0dec110e207fdc6234;solid bleached and unbleached board carton production;RoW;turpentine;;market for latex;0.0309690373961072;kilogram;latex;0.0;technosphere;RoW;apos391;latex
75ba9a1e0f1b176aee60aa4f811d8044;cathode production, LiMn2O4, for Li-ion battery;CN;cathode, LiMn2O4, for Li-ion battery;;market for latex;0.0098932;kilogram;latex;0.0;technosphere;RoW;apos391;latex
7893167ce8de464fefee348f233c25db;treatment of municipal solid waste, incineration;CZ;heat, for reuse in municipal waste incineration only;;market for latex;2.7547399905485496e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
7941ba602ba1347343bf930b9d666df2;solid bleached and unbleached board carton production;CA-QC;solid bleached and unbleached board carton;;market for latex;0.014345654535096855;kilogram;latex;0.0;technosphere;RoW;apos391;latex
7ab14c233f56ac02dd72f25b7c862b64;treatment of wastewater, unpolluted, wastewater treatment;RoW;iron scrap, sorted, pressed;;market for latex;8.512210408004937e-06;kilogram;latex;0.0;technosphere;RoW;apos391;latex
7ab726c89f63ba80785a151e4e6e91c7;treatment of municipal solid waste, incineration;SE;iron scrap, sorted, pressed;;market for latex;7.269663595946202e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
7c15a569a992963fa405efa6d8516baf;treatment of municipal solid waste, incineration;PL;electricity, for reuse in municipal waste incineration only;;market for latex;5.382268531452261e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
7e35cfbc6863a7d93fa7e898153749a7;treatment of sewage sludge, 70% water, WWT, WW from soft fibreboard production, municipal incineration FAE;CH;electricity, for reuse in municipal waste incineration only;;market for latex;0.001064220782402771;kilogram;latex;0.0;technosphere;RER;apos391;latex
7f74c2125321b43b131199e0509fa932;metalliferous hydroxide sludge to market for zinc concentrate;GLO;zinc concentrate;;market for latex;9.176489037170384e-07;kilogram;latex;0.0;technosphere;RER;apos391;latex
800b35a04e9cfed185b94fc2afb0a60e;treatment of copper scrap by electrolytic refining;RoW;copper, cathode;;market for latex;8.306673243935855e-06;kilogram;latex;0.0;technosphere;RoW;apos391;latex
889c6eeba59ccb8d3aa9d859a0e2f59f;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;electricity, for reuse in municipal waste incineration only;;market for latex;5.646059242151056e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
8913688a3613259f60e3a787994f8097;treatment of municipal solid waste, incineration;HU;electricity, for reuse in municipal waste incineration only;;market for latex;5.384072275971048e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
8dc06e6cd0d986ebc16dce08f05b0f75;treatment of municipal solid waste, incineration;PT;electricity, for reuse in municipal waste incineration only;;market for latex;5.384359893340279e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
9157c204664cee9e88070ad69767550a;white lined chipboard carton production;RER;waste paper, sorted;;market for latex;0.06673764110290255;kilogram;latex;0.0;technosphere;RER;apos391;latex
9377fad70c68f8a62218c707e24cb2f7;treatment of municipal solid waste, incineration;DE;iron scrap, sorted, pressed;;market for latex;7.222904553500754e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
937d9fdfb5039e3762c5ea6036432fb7;treatment of municipal solid waste, incineration;PT;heat, for reuse in municipal waste incineration only;;market for latex;2.75499747875911e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
942c93b00c297417247f9c9766d3c0ef;treatment of municipal solid waste, incineration;LU;electricity, for reuse in municipal waste incineration only;;market for latex;5.384202295470041e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
962e4424158c117177788fc58ea5a7d5;treatment of municipal solid waste, incineration;BG;iron scrap, sorted, pressed;;market for latex;7.281641682203567e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
973a7cca802a2045557e4941f754249f;graphic paper production, 100% recycled;RER;waste paper, unsorted;;market for latex;0.0041085271317829455;kilogram;latex;0.0;technosphere;RER;apos391;latex
9817cdc6955655539066d24f2dfba93d;treatment of municipal solid waste, incineration;NO;electricity, for reuse in municipal waste incineration only;;market for latex;5.03878864833315e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
991a1ce28ca7c0b8cca3b4aa74ba11c0;treatment of municipal solid waste, incineration;BE;electricity, for reuse in municipal waste incineration only;;market for latex;5.382649350686535e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
9b41d30a8e01e108eef65baff4142822;treatment of scrap steel, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for latex;5.359182005173279e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
9b4aa4a95b4d2fc2b3aede27c398a242;treatment of municipal solid waste, incineration;FI;heat, for reuse in municipal waste incineration only;;market for latex;2.74974294005984e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
9bf4d233e7155a2f73d14490af271011;treatment of waste graphical paper, municipal incineration;RoW;heat, for reuse in municipal waste incineration only;;market for latex;1.0150968108578702e-07;kilogram;latex;0.0;technosphere;RoW;apos391;latex
9da363695d9b7035f714b1f63b83696a;treatment of municipal solid waste, incineration;IT;iron scrap, sorted, pressed;;market for latex;7.27849153882578e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
9fa9e66841dfdfcaa31e61882fbdf31c;treatment of municipal solid waste, incineration;FR;heat, for reuse in municipal waste incineration only;;market for latex;2.754865159858373e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
a6328a45ba2631f49095e4eb725a8425;treatment of municipal solid waste, incineration;PL;iron scrap, sorted, pressed;;market for latex;7.279384273626343e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
aa0c248846ff40139a46e04ed504f54f;treatment of municipal solid waste, incineration;ES;heat, for reuse in municipal waste incineration only;;market for latex;5.107722540332488e-07;kilogram;latex;0.0;technosphere;RER;apos391;latex
aaa915be74daab048b821ced574bfc5b;paper production, woodcontaining, lightweight coated;RoW;paper, woodcontaining, lightweight coated;;market for latex;0.029199650283746346;kilogram;latex;0.0;technosphere;RoW;apos391;latex
aaf3bd1c63a6e97931a3425ab941759e;treatment of municipal solid waste, incineration;NL;electricity, for reuse in municipal waste incineration only;;market for latex;5.3603045536648164e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
ab0e51acd3b9ef12f0df5f07ed8da2bf;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RoW;aluminium, cast alloy;;market for latex;2.814435457691716e-05;kilogram;latex;0.0;technosphere;RoW;apos391;latex
ab0e51acd3b9ef12f0df5f07ed8da2bf;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RoW;aluminium, cast alloy;;market for latex;1.9166626100734393e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
ab8a6dd2b0e77187d1f2ff7fc34c6513;anode production, silicon coated graphite, NMC811, for Li-ion battery;RoW;anode, silicon coated graphite, for Li-ion battery;;market for latex;0.013388152967213952;kilogram;latex;0.0;technosphere;RoW;apos391;latex
ab8a6dd2b0e77187d1f2ff7fc34c6513;anode production, silicon coated graphite, NMC811, for Li-ion battery;RoW;anode, silicon coated graphite, for Li-ion battery;;market for latex;0.0066118470327860505;kilogram;latex;0.0;technosphere;RER;apos391;latex
ae21ea53e6c6879b57b9494dcb80282c;treatment of waste graphical paper, municipal incineration with fly ash extraction;CH;electricity, for reuse in municipal waste incineration only;;market for latex;2.9978302614245453e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
b14da091cf254c5bd867ccf15d9f9f51;treatment of municipal solid waste, incineration;GB;iron scrap, sorted, pressed;;market for latex;7.257135192037318e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
b3210f143f69807b26320690640e1f9a;treatment of municipal solid waste, incineration;IT;electricity, for reuse in municipal waste incineration only;;market for latex;5.381608456610299e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
b862e6cff341dde50c761fa0def97b64;treatment of municipal solid waste, incineration;BG;electricity, for reuse in municipal waste incineration only;;market for latex;5.383937625800236e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
ba3527df901ed27bab516ad837140aca;treatment of municipal solid waste, incineration;CZ;iron scrap, sorted, pressed;;market for latex;7.281532176691827e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
bc11c81d7edff91d2a3408e8662fdc56;treatment of municipal solid waste, incineration;FI;electricity, for reuse in municipal waste incineration only;;market for latex;5.374090436599036e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
bdabeadd950c35d7fbff8ac11dcd0fad;treatment of municipal solid waste, incineration;NO;heat, for reuse in municipal waste incineration only;;market for latex;2.5781801917304617e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
bdb7445b8a1d3086429e4e6f6c0458cb;treatment of waste graphical paper, municipal incineration;RoW;electricity, for reuse in municipal waste incineration only;;market for latex;1.983902561889391e-06;kilogram;latex;0.0;technosphere;RoW;apos391;latex
c3ae59a0ea0acb486df365a16b5939da;fibreboard production, soft, from wet & dry processes;Europe without Switzerland;waste paper, sorted;;market for latex;1.3120805369127517;kilogram;latex;0.0;technosphere;RER;apos391;latex
c42d06ee812297439071635be01c6e72;fibreboard production, soft, from wet & dry processes;RoW;waste paper, sorted;;market for latex;1.3120805369127517;kilogram;latex;0.0;technosphere;RoW;apos391;latex
c614baff6545443fe54c268d5a6737b7;treatment of municipal solid waste, incineration;GB;electricity, for reuse in municipal waste incineration only;;market for latex;5.365817891234765e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
c6584c738f70422e8f6b8ef6267725d4;paper production, woodcontaining, lightweight coated;RER;paper, woodcontaining, lightweight coated;;market for latex;0.029197380324636483;kilogram;latex;0.0;technosphere;RER;apos391;latex
c7b2f021b385afcd1c044625a2583af5;treatment of municipal solid waste, incineration;ES;electricity, for reuse in municipal waste incineration only;;market for latex;9.982519622799645e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
cc5bd21b083c484031e70588e18f7080;treatment of waste plastic, mixture, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only;;market for latex;1.066539229414921e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
cc652522422ebe105008e7f2968f7b18;treatment of sewage sludge, 97% water, WWT, WW from soft fibreboard production, landfarming;CH;organic nitrogen fertiliser, as N;;market for latex;0.005033764300765106;kilogram;latex;0.0;technosphere;RER;apos391;latex
cd6520af337e98f628c22278b97afa8b;paper production, woodfree, coated, at integrated mill;RER;paper, woodfree, coated;;market for latex;0.0409373390417188;kilogram;latex;0.0;technosphere;RER;apos391;latex
d20c9d4493d786f36f54f20a33f79332;treatment of municipal solid waste, incineration;HU;iron scrap, sorted, pressed;;market for latex;7.281823793209387e-05;kilogram;latex;0.0;technosphere;RER;apos391;latex
d7527de7c531615382e1ae3705fcec5b;treatment of raw sewage sludge, municipal incineration with fly ash extraction;CH;electricity, for reuse in municipal waste incineration only;;market for latex;0.000765675721445965;kilogram;latex;0.0;technosphere;RER;apos391;latex
d7671ef4d45a2e01e0e769c222e347c7;treatment of municipal solid waste, incineration;BE;heat, for reuse in municipal waste incineration only;;market for latex;2.754122251101277e-06;kilogram;latex;0.0;technosphere;RER;apos391;latex
d81f9e4003e15f91a5028cf24bf2cce1;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RER;iron scrap, unsorted;;market for latex;3.226063276372419e-06;kilogram;latex;0.0;technosphere;RoW;apos391;latex
