code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
05f7feb98a379a8e88b488910c2ee957;NMC111 oxide production, for Li-ion battery;CN;NMC111 oxide;;market for lithium carbonate;0.383;kilogram;lithium carbonate;0.0;technosphere;GLO;apos391;lithium
3ea8f9ba5cf574547355114e3ac3b96f;lithium manganese oxide production;GLO;lithium manganese oxide;;market for lithium carbonate;0.21486;kilogram;lithium carbonate;0.0;technosphere;GLO;apos391;lithium
4d53b7967281b282a3dc34c32ff79705;lithium iron phosphate production, solid state process;RoW;lithium iron phosphate;;market for lithium carbonate;0.234;kilogram;lithium carbonate;0.0;technosphere;GLO;apos391;lithium
60a845ec7d9b50e15a9bca72427c5be3;lithium fluoride production;CN;lithium fluoride;;market for lithium carbonate;1.4883;kilogram;lithium carbonate;0.0;technosphere;GLO;apos391;lithium
617624c4a1a9ee424e62e0ed564a0790;lithium fluoride production;RoW;lithium fluoride;;market for lithium carbonate;1.4883;kilogram;lithium carbonate;0.0;technosphere;GLO;apos391;lithium
8397b6dc1bf2b55f2364997c42724da3;NMC111 oxide production, for Li-ion battery;RoW;NMC111 oxide;;market for lithium carbonate;0.383;kilogram;lithium carbonate;0.0;technosphere;GLO;apos391;lithium
951e6b97659897d304dea143007de565;lithium iron phosphate production, solid state process;CN;lithium iron phosphate;;market for lithium carbonate;0.234;kilogram;lithium carbonate;0.0;technosphere;GLO;apos391;lithium
dd75e922d82005180b2d1c599b58861a;lithium hydroxide production;GLO;lithium hydroxide;;market for lithium carbonate;1.6227970530005518;kilogram;lithium carbonate;0.0;technosphere;GLO;apos391;lithium
ea8f72a506ce438bdd67493da50d2da8;lithium chloride production;GLO;lithium chloride;;market for lithium carbonate;0.92732;kilogram;lithium carbonate;0.0;technosphere;GLO;apos391;lithium
faec50dcd92fa5296e3b9166dae1663b;lithium sulfate production;GLO;lithium sulfate;;market for lithium carbonate;0.750478782234123;kilogram;lithium carbonate;0.0;technosphere;GLO;apos391;lithium
