code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for magnesium;4.346829932960521e-11;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
016e2f396e3075842701135a86740987;primary zinc production from concentrate;RoW;sulfuric acid;;market for magnesium;3.087034791418178e-07;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
057cf982853ce4303bc9f439353c0de4;beryllium production;US;beryllium;;market for magnesium;2.959264966418033;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
05f0dc9e95606de4a11a9795c9d407fe;treatment of precious metal from electronics scrap, in anode slime, precious metal extraction;SE;palladium;;market for magnesium;0.769327417089033;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
091ca1446f2b7b3a3fb5e11ea2de61cf;treatment of waste plastic, consumer electronics, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only;;market for magnesium;3.6776816644019554e-07;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
09394b1ddec84889b7c3537acd3e39c6;treatment of used cable;GLO;copper, cathode;;market for magnesium;0.00017360148721844157;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
09e0d4f0c8782d2238194b99f78e6c50;treatment of precious metal from electronics scrap, in anode slime, precious metal extraction;RoW;silver;;market for magnesium;0.04424288335666379;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
0b8ff108f1c401f5acd1e38834fc8cd6;primary zinc production from concentrate;RoW;indium rich leaching residues, from zinc production;;market for magnesium;2.1090208468414847e-08;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
0bbf94f0be160df7ee909790c37b8368;treatment of waste mineral oil, hazardous waste incineration, with energy recovery;Europe without Switzerland;electricity, medium voltage;;market for magnesium;4.964830316762126e-10;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
0c05a5e2b82fc0dffc49002617660947;primary zinc production from concentrate;RoW;cobalt;;market for magnesium;0.0001299423574471139;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
0cdd54021ed02414733ec35bd3dd4bd4;treatment of municipal solid waste, incineration;ES;iron scrap, sorted, pressed;;market for magnesium;6.990308599351125e-07;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
0f80a8b6702644a3c059f426b0e5951f;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RoW;iron scrap, unsorted;;market for magnesium;4.1804330030511446e-07;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
102f4c78cdeb009178bfa6c2c31997a5;aluminium alloy production, Metallic Matrix Composite;CA-QC;aluminium scrap, new;;market for magnesium;0.019999999999999938;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
1090bfc50ed18cacf483b6b9df2e4b88;primary zinc production from concentrate;RoW;copper concentrate, sulfide ore;;market for magnesium;4.120930227134809e-06;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
10c5504ccdcb598dc93794a36463122c;electrolysis of magnesium chloride, from hafnium sponge production;US;magnesium, for reuse in hafnium sponge production;;market for magnesium;2.87542049300821e-05;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
141f0266ffe798df4ac19b1f862c6adc;treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining;SE;nickel, class 1;;market for magnesium;0.001646978557238168;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
1593d55ba686148348916d5c3709c78c;primary zinc production from concentrate;RoW;zinc;;market for magnesium;5.0951280608219916e-06;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
16c94b87926d0d8391f6d92281902687;primary zinc production from concentrate;RoW;lead concentrate;;market for magnesium;1.8437689077075673e-06;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
1715221be8aa50a0a1207f20e8ec5466;primary zinc production from concentrate;RoW;gypsum, mineral;;market for magnesium;2.4702136684608307e-08;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
178876723b38f34994b8d23ee3df2463;treatment of residue from shredder fraction from manual dismantling, municipal waste incineration;RoW;iron scrap, sorted, pressed;;market for magnesium;1.0182248178336192e-05;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
185f48fe903181f9cca8ceda28e80f04;treatment of hazardous waste, hazardous waste incineration, with energy recovery;CH;electricity, medium voltage;;market for magnesium;1.7591023111583784e-09;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
1b4c001d4f14cbee093d5bc07e8b154e;fibre cement roof slate production;CH;fibre cement roof slate;;market for magnesium;1.2348175833218499e-08;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
1d435155b1b4ed3bbd3047aaaef0f793;treatment of used glider, passenger car, shredding;GLO;iron scrap, unsorted;;market for magnesium;1.120660297365953e-05;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
20a1828eefe5f5e452583dea102398d4;treatment of waste polystyrene, municipal incineration with fly ash extraction;CH;electricity, for reuse in municipal waste incineration only;;market for magnesium;5.445126503341142e-06;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
22c78d5a4d8281d0aaa80327b924533c;electrolysis of magnesium chloride, from titanium sponge production;CN;magnesium, for reuse in titanium sponge production;;market for magnesium;0.006103708341202307;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
2427ea947d4abc76dc7d6b471c52b5db;aluminium alloy production, Metallic Matrix Composite;RoW;aluminium scrap, new;;market for magnesium;0.019999999999999938;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
245aad1da8aaccbdcd7630e59cdcbf00;printer production, laser, black/white;GLO;printer, laser, black/white;;market for magnesium;0.07088483408063989;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
263243ece05f05ed2cd2d1b77086f1a2;primary zinc production from concentrate;RoW;iron scrap, unsorted;;market for magnesium;7.308002469287935e-07;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
26b2f50890c1a190e42fefef912ae7d0;treatment of waste rubber, unspecified, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only;;market for magnesium;5.307176230878346e-10;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
28330153bf922420dbeae2cc71f8f599;electrolysis of magnesium chloride, from zirconium sponge production;RoW;chlorine, for reuse in zirconium and hafnium tetrachloride production;;market for magnesium;0.00025951843517722924;kilogram;magnesium;0.0;technosphere;GLO;apos391;magnesium
