code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for nickel, class 1;3.4107521045601884e-08;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
00e8d6735d1bb818b229ce9ceae95731;aircraft production, belly-freight aircraft, very short haul;GLO;aircraft, belly freight, very short haul;;market for nickel, class 1;1104.8345710604701;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
01e7efd7bbae6e9bb30243ef7b9fc191;photovoltaic laminate production, multi-Si wafer;RER;photovoltaic laminate, multi-Si wafer;;market for nickel, class 1;0.0001627170532536224;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
022c2b3364e85519276065114cf1c899;petrol production, unleaded, petroleum refinery operation;Europe without Switzerland;petrol, unleaded;;market for nickel, class 1;2.4530066210491324e-06;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
028991a423e8ef8fd3e26b3777b4f143;treatment of wastewater from cathode ray tube production, wastewater treatment;CH;iron scrap, sorted, pressed;;market for nickel, class 1;0.00013398140246521936;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
02f13c7f1371fdafbc4a93d931dae2f6;treatment of blast furnace gas, in power plant;JP;heat, district or industrial, other than natural gas;;market for nickel, class 1;1.9477626958479515e-09;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
030f847e56c20c8bb1412913f135f873;treatment of blast furnace gas, in power plant;CN-FJ;heat, district or industrial, other than natural gas;;market for nickel, class 1;1.9477626958479515e-09;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
03fadf55c729cb3d5fa5ecd95f01d49d;hydrogen production, steam reforming;RoW;hydrogen, gaseous;;market for nickel, class 1;0.00020292014459767;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
03fe1b1b1a1772727b1e8f51826d2da2;naphtha production, petroleum refinery operation;CO;naphtha;;market for nickel, class 1;3.0730171743383955e-06;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
0433eb583d9d46a8956c41fdc691595f;treatment of blast furnace gas, in power plant;KR;heat, district or industrial, other than natural gas;;market for nickel, class 1;1.947762695847952e-09;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
045b0e007794515cfe178b93d1da42de;treatment of waste paint, hazardous waste incineration, with energy recovery;RoW;heat, district or industrial, other than natural gas;;market for nickel, class 1;1.978135339674861e-12;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
04897305c718fa97af74b6dd56b81a13;treatment of blast furnace gas, in power plant;FI;electricity, high voltage;;market for nickel, class 1;3.806702337162122e-08;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
048a554c86f4369497c18f7bfd42af3e;treatment of blast furnace gas, in power plant;NO;heat, district or industrial, other than natural gas;;market for nickel, class 1;1.947762695847951e-09;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
048d80a57dfc5ca15462fe156762e712;C3 hydrocarbon production, mixture, petroleum refinery operation;BR;C3 hydrocarbon mixture;;market for nickel, class 1;1.7335250307006783e-05;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
04b9fc664ea231c1fa7da56b0f7725e8;treatment of blast furnace gas, in power plant;TW;electricity, high voltage;;market for nickel, class 1;3.806702337162122e-08;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
0545685537dd84c9d621a34a91039cc3;diesel production, petroleum refinery operation;PE;diesel;;market for nickel, class 1;1.6889121849519174e-06;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
05678d2ff0a0f8beae7432dae206d6a4;treatment of blast furnace gas, in power plant;CN-JS;heat, district or industrial, other than natural gas;;market for nickel, class 1;1.9477626958479524e-09;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
05bd46e69e406da17c1c3d789542cd81;treatment of blast furnace gas, in power plant;CN-NX;heat, district or industrial, other than natural gas;;market for nickel, class 1;1.9477626958479515e-09;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
05d36fed076b9862bd91371eda2ea6fa;refinery gas production, petroleum refinery operation;ZA;refinery gas;;market for nickel, class 1;6.283259886284115e-07;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
063a5b9c579ac7fe86b6a85263e8bf1c;treatment of waste wood, untreated, municipal incineration;RoW;electricity, for reuse in municipal waste incineration only;;market for nickel, class 1;6.431424854758407e-08;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
068e1e35e2a6bc55fa9cd2a237e2c628;control cabinet production, heat and power co-generation unit, 160kW electrical;RoW;control cabinet, heat and power co-generation unit, 160kW electrical;;market for nickel, class 1;0.34;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
07884074db604a1c8c077bd2390c0876;petroleum coke production, petroleum refinery operation;Europe without Switzerland;petroleum coke;;market for nickel, class 1;6.759775958292228e-09;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
08448268e43f1ca77255a56b4110e3df;liquefied petroleum gas production, petroleum refinery operation;CO;liquefied petroleum gas;;market for nickel, class 1;1.2243450663315516e-06;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
088f4ad09d949e32ad8307a6f9d16e40;treatment of blast furnace gas, in power plant;CN-CQ;heat, district or industrial, other than natural gas;;market for nickel, class 1;1.9477626958479515e-09;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
09404c81975edb616ad87d41d6f69f47;treatment of blast furnace gas, in power plant;CN-HA;electricity, high voltage;;market for nickel, class 1;3.806702337162122e-08;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
09e5a18f0ed1a9b63e149e5abc6410f2;vegetable oil refinery construction;GLO;vegetable oil refinery;;market for nickel, class 1;35556.0;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
0a115b749a4366273072d2360f82d854;treatment of waste polypropylene, municipal incineration;RoW;heat, for reuse in municipal waste incineration only;;market for nickel, class 1;5.875974198414839e-07;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
0b52204a590a27510f024a26e8ff1ce3;treatment of blast furnace gas, in power plant;CN-GZ;heat, district or industrial, other than natural gas;;market for nickel, class 1;1.947762695847952e-09;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
0b8381797cf36d4598a374d23587aa60;treatment of waste paint, municipal incineration;RoW;electricity, for reuse in municipal waste incineration only;;market for nickel, class 1;2.41758366327305e-11;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
0bbf94f0be160df7ee909790c37b8368;treatment of waste mineral oil, hazardous waste incineration, with energy recovery;Europe without Switzerland;electricity, medium voltage;;market for nickel, class 1;4.485829478850101e-15;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
0cb0754bcba5da6ac601211f1f3502a8;coffee green bean production, arabica;RoW;coffee, green bean;;market for nickel, class 1;1.3669167728300986e-05;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
0cb2137c08d4586f4ceda8db262f2dcc;treatment of blast furnace gas, in power plant;ES;electricity, high voltage;;market for nickel, class 1;3.80670233716212e-08;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
0d433e180aa1325a5888eb305f404795;treatment of municipal solid waste, incineration;DK;electricity, for reuse in municipal waste incineration only;;market for nickel, class 1;2.483255680052708e-08;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
0dc344a77756753e403c4672dcf40427;methanol production, from synthetic gas;CH;methanol, from biomass;;market for nickel, class 1;2e-05;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
0dcf3ab713d223a7235c6fecd071d9f0;kerosene production, petroleum refinery operation;ZA;kerosene;;market for nickel, class 1;1.072687212474949e-06;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
0edcf8dc26465c3ec66aa7c1a05708d7;treatment of municipal solid waste, incineration;DK;iron scrap, sorted, pressed;;market for nickel, class 1;3.358545327140792e-08;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
0f28580df4b0396c4c9afa883d98c8c4;cathode-ray tube production, cathode ray tube display;GLO;cathode-ray tube, cathode ray tube display;;market for nickel, class 1;0.009173789447467122;kilogram;nickel, class 1;0.0;technosphere;GLO;apos391;nickel
