code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for palladium;1.8805446255366167e-12;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
0a115b749a4366273072d2360f82d854;treatment of waste polypropylene, municipal incineration;RoW;heat, for reuse in municipal waste incineration only;;market for palladium;1.2089244350430187e-12;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
0bbf94f0be160df7ee909790c37b8368;treatment of waste mineral oil, hazardous waste incineration, with energy recovery;Europe without Switzerland;electricity, medium voltage;;market for palladium;1.091425443515532e-12;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
0d433e180aa1325a5888eb305f404795;treatment of municipal solid waste, incineration;DK;electricity, for reuse in municipal waste incineration only;;market for palladium;1.3587646530146565e-12;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
0edcf8dc26465c3ec66aa7c1a05708d7;treatment of municipal solid waste, incineration;DK;iron scrap, sorted, pressed;;market for palladium;1.8517600139075946e-12;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
0f80a8b6702644a3c059f426b0e5951f;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RoW;iron scrap, unsorted;;market for palladium;9.048819626346086e-09;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
114fa4ea2377c1124a6905bf72a0281e;catalytic converter production, three-way, mini CHP plant;CH;catalytic converter, three-way, mini CHP plant;;market for palladium;0.00081;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
11ff1f1030bc813108426703711a4212;treatment of municipal solid waste, incineration;PL;heat, for reuse in municipal waste incineration only;;market for palladium;6.95350378681082e-14;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
1369efad0020da7ee07a41a81bee0b3c;treatment of municipal solid waste, incineration;NL;iron scrap, sorted, pressed;;market for palladium;1.8445105155055717e-12;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
1453f6648a5d035aaf59a1dcedc8f7c3;treatment of waste polypropylene, municipal incineration;RoW;electricity, for reuse in municipal waste incineration only;;market for palladium;2.362718765556389e-11;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
178876723b38f34994b8d23ee3df2463;treatment of residue from shredder fraction from manual dismantling, municipal waste incineration;RoW;iron scrap, sorted, pressed;;market for palladium;4.016867592602991e-09;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
18d2da5ac8264c3f44160bb8f960dec5;treatment of municipal solid waste, incineration;FR;iron scrap, sorted, pressed;;market for palladium;1.8526991042834533e-12;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
1a4439f8e85c3950d598577499cc5309;catalytic converter production, three-way, 19.1l;RER;catalytic converter, three-way, 19.1l;;market for palladium;0.0082;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
1a72127fee8803405f652a51094e304f;treatment of waste polypropylene, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only;;market for palladium;2.3872105893566976e-12;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
1c8b81f04a6ab5ec6ec149905ba47251;treatment of waste polyvinylchloride, municipal incineration;RoW;heat, for reuse in municipal waste incineration only;;market for palladium;2.1961834494309284e-12;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
20a1828eefe5f5e452583dea102398d4;treatment of waste polystyrene, municipal incineration with fly ash extraction;CH;electricity, for reuse in municipal waste incineration only;;market for palladium;3.218530049703508e-11;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
22be0a4fdbe8513b52d6a49f30a62edb;internal combustion engine production, passenger car;GLO;internal combustion engine, passenger car;;market for palladium;9.996659905408367e-07;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
2471c1cb1b0e188efdc67efd2f2a62d8;treatment of municipal solid waste, incineration;GB;heat, for reuse in municipal waste incineration only;;market for palladium;6.932250742972635e-14;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
26b2f50890c1a190e42fefef912ae7d0;treatment of waste rubber, unspecified, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only;;market for palladium;2.4128137722658606e-11;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
2a88ff9a407b97873148814986f68e73;nuclear power plant construction, pressure water reactor 650MW;RoW;nuclear power plant, pressure water reactor, 650MW;;market for palladium;14.946731309808685;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
2b219023bd6c7a89ce7b14be1ba97466;treatment of municipal solid waste, incineration;RoW;iron scrap, sorted, pressed;;market for palladium;1.249662012560487e-12;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
2bab0129a39ed63f52acb5599e895054;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RER;aluminium oxide, non-metallurgical;;market for palladium;1.700449325756312e-08;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
30df2c39141dd0f8ac25be3e11ef3602;petroleum refinery operation;CH;sulfur;;market for palladium;2.1947302241311324e-09;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
332a61ce4e94479985259e7b9353be01;treatment of municipal solid waste, incineration;NL;heat, for reuse in municipal waste incineration only;;market for palladium;6.92512790741611e-14;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
35aea448a7efa0d4ec97bc82d9753479;treatment of residue from shredder fraction from manual dismantling, municipal incineration with fly ash extraction;CH;electricity, for reuse in municipal waste incineration only;;market for palladium;2.947454129950439e-09;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
3734bbc19412ad4dd8c371c07e7b3607;aluminium alloy production, AlLi;RoW;aluminium alloy, AlLi;;market for palladium;3.464114141631128e-07;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
37c23d42c66616964fc81871b91ea6e9;treatment of municipal solid waste, incineration;AT;heat, for reuse in municipal waste incineration only;;market for palladium;6.953680550559262e-14;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
383585327d11c292d052c20b02f90cd9;treatment of sewage sludge, 97% water, WWT, WW, average, landfarming;Europe without Switzerland;organic phosphorus fertiliser, as P2O5;;market for palladium;9.948383640027474e-13;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
393e72e045c00a3948f82f55d7a75356;aluminium alloy production, AlLi;CA-QC;copper, cathode;;market for palladium;3.436253427614249e-07;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
39e7eab1c2f596dfd4966d8da637d68a;treatment of sewage sludge, 75% water, WWT, WW, average, sanitary landfill;Europe without Switzerland;heat, district or industrial, other than natural gas;;market for palladium;4.375637617605443e-14;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
3a3d450db8637c0e8b3ec5d90c30332d;aluminium alloy production, AlLi;CA-QC;aluminium alloy, AlLi;;market for palladium;3.4641141416311275e-07;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
3b17ea1ef36ad533b1199e5e3ca0cf53;treatment of sewage sludge, 70% water, WWT, WW, average, municipal incineration;Europe without Switzerland;electricity, for reuse in municipal waste incineration only;;market for palladium;4.12796001660891e-13;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
3cbee3c5f2afb650f307dce29a7e00c7;treatment of aluminium scrap, post-consumer, by collecting, sorting, cleaning, pressing;RER;iron scrap, unsorted;;market for palladium;1.2489023850514763e-08;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
3daceccd7dc1388603cfe6181bf64405;treatment of refinery sludge, hazardous waste incineration, with energy recovery;CH;heat, district or industrial, other than natural gas;;market for palladium;2.504888784132641e-11;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
418f048a525a43c6ec6236480d741171;petroleum refinery operation;CH;naphtha;;market for palladium;9.643578185378404e-08;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
41a62664240475e6d9775e36fc2fd9f1;palladium to generic market for metal catalyst for catalytic converter;GLO;metal catalyst for catalytic converter;;market for palladium;1.0;kilogram;palladium;0.0;technosphere;GLO;apos391;palladium
