code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for silver;6.062897340450969e-12;kilogram;silver;0.0;technosphere;GLO;apos391;silver
016e2f396e3075842701135a86740987;primary zinc production from concentrate;RoW;sulfuric acid;;market for silver;4.305752770507314e-08;kilogram;silver;0.0;technosphere;GLO;apos391;silver
0a115b749a4366273072d2360f82d854;treatment of waste polypropylene, municipal incineration;RoW;heat, for reuse in municipal waste incineration only;;market for silver;1.208924435043019e-11;kilogram;silver;0.0;technosphere;GLO;apos391;silver
0b8ff108f1c401f5acd1e38834fc8cd6;primary zinc production from concentrate;RoW;indium rich leaching residues, from zinc production;;market for silver;2.94163265655119e-09;kilogram;silver;0.0;technosphere;GLO;apos391;silver
0bbf94f0be160df7ee909790c37b8368;treatment of waste mineral oil, hazardous waste incineration, with energy recovery;Europe without Switzerland;electricity, medium voltage;;market for silver;6.924875596130397e-11;kilogram;silver;0.0;technosphere;GLO;apos391;silver
0c05a5e2b82fc0dffc49002617660947;primary zinc production from concentrate;RoW;cobalt;;market for silver;1.8124177516221948e-05;kilogram;silver;0.0;technosphere;GLO;apos391;silver
0cdd54021ed02414733ec35bd3dd4bd4;treatment of municipal solid waste, incineration;ES;iron scrap, sorted, pressed;;market for silver;9.749984257394777e-08;kilogram;silver;0.0;technosphere;GLO;apos391;silver
0f80a8b6702644a3c059f426b0e5951f;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RoW;iron scrap, unsorted;;market for silver;9.349494884470064e-11;kilogram;silver;0.0;technosphere;GLO;apos391;silver
101235347ae860bc42d4419a1583acdf;printed wiring board production, for surface mounting, Pb free surface;GLO;printed wiring board, for surface mounting, Pb free surface;;market for silver;0.00051474;kilogram;silver;0.0;technosphere;GLO;apos391;silver
1090bfc50ed18cacf483b6b9df2e4b88;primary zinc production from concentrate;RoW;copper concentrate, sulfide ore;;market for silver;5.747815603465102e-07;kilogram;silver;0.0;technosphere;GLO;apos391;silver
1453f6648a5d035aaf59a1dcedc8f7c3;treatment of waste polypropylene, municipal incineration;RoW;electricity, for reuse in municipal waste incineration only;;market for silver;2.3627187655563885e-10;kilogram;silver;0.0;technosphere;GLO;apos391;silver
1593d55ba686148348916d5c3709c78c;primary zinc production from concentrate;RoW;zinc;;market for silver;7.106613059548773e-07;kilogram;silver;0.0;technosphere;GLO;apos391;silver
16c94b87926d0d8391f6d92281902687;primary zinc production from concentrate;RoW;lead concentrate;;market for silver;2.5716629772384347e-07;kilogram;silver;0.0;technosphere;GLO;apos391;silver
1715221be8aa50a0a1207f20e8ec5466;primary zinc production from concentrate;RoW;gypsum, mineral;;market for silver;3.44541933129106e-09;kilogram;silver;0.0;technosphere;GLO;apos391;silver
185f48fe903181f9cca8ceda28e80f04;treatment of hazardous waste, hazardous waste incineration, with energy recovery;CH;electricity, medium voltage;;market for silver;2.4535711974909116e-10;kilogram;silver;0.0;technosphere;GLO;apos391;silver
1a72127fee8803405f652a51094e304f;treatment of waste polypropylene, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only;;market for silver;2.3872105893566973e-11;kilogram;silver;0.0;technosphere;GLO;apos391;silver
1b4c001d4f14cbee093d5bc07e8b154e;fibre cement roof slate production;CH;fibre cement roof slate;;market for silver;1.7223062225407135e-09;kilogram;silver;0.0;technosphere;GLO;apos391;silver
1c8b81f04a6ab5ec6ec149905ba47251;treatment of waste polyvinylchloride, municipal incineration;RoW;heat, for reuse in municipal waste incineration only;;market for silver;2.1961834494309285e-11;kilogram;silver;0.0;technosphere;GLO;apos391;silver
1fd6fc5fde6505bf47cdda02bbe3cc23;primary zinc production from concentrate;CA-QC;iron scrap, unsorted;;market for silver;1.488587424847735e-06;kilogram;silver;0.0;technosphere;GLO;apos391;silver
20a1828eefe5f5e452583dea102398d4;treatment of waste polystyrene, municipal incineration with fly ash extraction;CH;electricity, for reuse in municipal waste incineration only;;market for silver;3.2185300497035077e-10;kilogram;silver;0.0;technosphere;GLO;apos391;silver
263243ece05f05ed2cd2d1b77086f1a2;primary zinc production from concentrate;RoW;iron scrap, unsorted;;market for silver;1.0193099205258775e-07;kilogram;silver;0.0;technosphere;GLO;apos391;silver
2b219023bd6c7a89ce7b14be1ba97466;treatment of municipal solid waste, incineration;RoW;iron scrap, sorted, pressed;;market for silver;1.8068602175089982e-11;kilogram;silver;0.0;technosphere;GLO;apos391;silver
2bab0129a39ed63f52acb5599e895054;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RER;aluminium oxide, non-metallurgical;;market for silver;1.7569520588265893e-10;kilogram;silver;0.0;technosphere;GLO;apos391;silver
3734bbc19412ad4dd8c371c07e7b3607;aluminium alloy production, AlLi;RoW;aluminium alloy, AlLi;;market for silver;1.7227827010845398e-08;kilogram;silver;0.0;technosphere;GLO;apos391;silver
37c7d08d826e5c153c85b44f8d2f912b;treatment of scrap lead acid battery, remelting;RoW;lead;;market for silver;7.504198746413794e-07;kilogram;silver;0.0;technosphere;GLO;apos391;silver
383585327d11c292d052c20b02f90cd9;treatment of sewage sludge, 97% water, WWT, WW, average, landfarming;Europe without Switzerland;organic phosphorus fertiliser, as P2O5;;market for silver;1.676646386924492e-11;kilogram;silver;0.0;technosphere;GLO;apos391;silver
