code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
03cdea85265f5f5f49408ee139220f4a;treatment of sewage sludge, 70% water, WWT, WW from hard fibreboard production, municipal incineration;RoW;electricity, for reuse in municipal waste incineration only;;market for vegetable oil, refined;0.0010238973802395056;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
050288a2efe9a9de03c349461bd51dd3;fibreboard production, hard;RER;bark chips, wet, measured as dry mass;;market for vegetable oil, refined;0.00034924138520112363;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
05dfac1304140a5d6caaafc5c87417c3;treatment of waste polyethylene, for recycling, unsorted, sorting;RoW;waste polyethylene, for recycling, sorted;;market for vegetable oil, refined;0.0033636749828081006;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
060962164b7a07010b444a4c24c1c664;treatment of sewage sludge, 70% water, WWT, WW from glass production, municipal incineration FAE;CH;heat, for reuse in municipal waste incineration only;;market for vegetable oil, refined;0.00016609575560586434;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
0712bd0f754956cb02799d3a50bcde4b;treatment of sewage sludge, 70% water, WWT, WW from hard fibreboard production, municipal incineration;RoW;heat, for reuse in municipal waste incineration only;;market for vegetable oil, refined;0.00010853312230538759;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
08339ee5f1971655d3e7d0b4e85eb03b;harvesting, forestry harvester;RER;harvesting, forestry harvester;;market for vegetable oil, refined;0.35032390449965023;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
099372bd327fcbb10a3cde39f64ce2bc;yarn production, kenaf;IN;yarn, kenaf;;market for vegetable oil, refined;0.03;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
0bbf94f0be160df7ee909790c37b8368;treatment of waste mineral oil, hazardous waste incineration, with energy recovery;Europe without Switzerland;electricity, medium voltage;;market for vegetable oil, refined;6.24373660940427e-07;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
0f3346b088430d475b8de2e6310fd153;treatment of sewage sludge, 97% water, WWT, WW from hard fibreboard production, landfarming;RER;organic phosphorus fertiliser, as P2O5;;market for vegetable oil, refined;0.002464962882609475;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
0f80a8b6702644a3c059f426b0e5951f;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RoW;iron scrap, unsorted;;market for vegetable oil, refined;4.067341123429305e-05;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
102f4c78cdeb009178bfa6c2c31997a5;aluminium alloy production, Metallic Matrix Composite;CA-QC;aluminium scrap, new;;market for vegetable oil, refined;0.005451111111111099;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
1853b72ca7577d531ab5d702d5731d2e;treatment of wastewater from glass production, wastewater treatment;CH;iron scrap, sorted, pressed;;market for vegetable oil, refined;0.002742146908587383;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
185f48fe903181f9cca8ceda28e80f04;treatment of hazardous waste, hazardous waste incineration, with energy recovery;CH;electricity, medium voltage;;market for vegetable oil, refined;1.62046178182648e-07;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
1f61e2a64d63dbccbaf61f9e4c56e504;treatment of biowaste by anaerobic digestion;RoW;biogas;;market for vegetable oil, refined;8.955675922710316e-06;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
20ab7248add4a1a834b45f159dcaea52;aluminium production, primary, cast alloy slab from continuous casting;RoW;aluminium scrap, new;;market for vegetable oil, refined;0.00490666666666666;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
2427ea947d4abc76dc7d6b471c52b5db;aluminium alloy production, Metallic Matrix Composite;RoW;aluminium scrap, new;;market for vegetable oil, refined;0.005451111111111099;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
2bab0129a39ed63f52acb5599e895054;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RER;aluminium oxide, non-metallurgical;;market for vegetable oil, refined;7.643325601075209e-05;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
2cd896ac2bcd1478cee3df9babc0c073;treatment of biowaste, municipal incineration;GLO;electricity, for reuse in municipal waste incineration only;;market for vegetable oil, refined;1.0983474771128288e-05;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
2ef85672c67fca876154b3bde8c3caed;fish canning, small fish;RoW;fish canning, small fish;;market for vegetable oil, refined;0.2028771035240355;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
2f47a20454f5931e8273cb224af97f63;treatment of digester sludge, municipal incineration;GLO;heat, for reuse in municipal waste incineration only;;market for vegetable oil, refined;4.7316331867829884e-08;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
328d5a061a3fa197fd2eb018a82dafa7;fish canning, small fish;RoW;fish residues;;market for vegetable oil, refined;0.03475108182580295;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
32968c4b346699ac81cb9236f23077f0;fish curing, small fish;PE;fish residues;;market for vegetable oil, refined;0.026630905784274662;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
3316fc193c132697a7284b313ce6a5a1;treatment of biowaste, industrial composting;RoW;compost;;market for vegetable oil, refined;2.463778719136231e-06;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
334cbb680213c29301e36d7935b9b34c;treatment of scrap tin sheet, municipal incineration;RoW;iron scrap, sorted, pressed;;market for vegetable oil, refined;0.06767563112180208;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
3ce15a56b261e1eb145c0405bfd077d3;treatment of sewage sludge, 70% water, WWT, WW from vegetable oil refinery, municipal incineration;GLO;electricity, for reuse in municipal waste incineration only;;market for vegetable oil, refined;0.0016247525600206509;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
3defd1e8221a8643c7a72d1d998d6287;fibreboard production, hard;RoW;bark chips, wet, measured as dry mass;;market for vegetable oil, refined;0.0003492469733693822;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
3f01bc619d5a40ea5092747690468d22;fibreboard production, hard;RER;residual wood, dry;;market for vegetable oil, refined;0.2752219175365793;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
3f20a17134d826beccb5c9b58e328037;fish canning, large fish;RoW;fish canning, large fish;;market for vegetable oil, refined;0.22974524573217975;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
3ff14ada05b1878056ba8243082a6d21;treatment of wastewater from vegetable oil refinery, wastewater treatment;GLO;iron scrap, sorted, pressed;;market for vegetable oil, refined;0.0028253485309233505;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
4699b03751d47bc43219942e70a567c1;treatment of aluminium scrap, post-consumer, prepared for recycling, at remelter;RER;aluminium, wrought alloy;;market for vegetable oil, refined;0.00039308531662672467;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
4975b66208332f8da75a3219bc049566;treatment of biowaste, municipal incineration with fly ash extraction;CH;electricity, for reuse in municipal waste incineration only;;market for vegetable oil, refined;0.00036694674510821904;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
499d927f61296673877e4ffbeedca35b;yarn production, jute;IN;yarn, jute;;market for vegetable oil, refined;0.03;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
4a93375709c38b1c4cf6f9f7b5154518;treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RoW;aluminium oxide, non-metallurgical;;market for vegetable oil, refined;7.643325601075198e-05;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
4be3f07ad914154fe2b976e13d146059;treatment of waste glass from unsorted public collection, sorting;RoW;glass cullet, sorted;;market for vegetable oil, refined;0.034259365525773494;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
53b3fe1cb7b51f978c0d5d56e89f52f7;harvesting, forestry harvester;RoW;harvesting, forestry harvester;;market for vegetable oil, refined;0.3509719755673546;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
5772f06cc24b80bf2c9977303b96f54e;treatment of sewage sludge, 75% water, WWT, WW from hard fibreboard production, sanitary landfill;RER;heat, district or industrial, other than natural gas;;market for vegetable oil, refined;0.00010841745458780262;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
5774688bec6b806622cf6f802956cdb5;treatment of sewage sludge, 70% water, WWT, WW from vegetable oil refinery, municipal incineration;GLO;heat, for reuse in municipal waste incineration only;;market for vegetable oil, refined;0.0001722237713621891;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
5ab75b23954c0a416eb85c8df5e8bcf5;treatment of waste plastic, mixture, municipal incineration with fly ash extraction;CH;electricity, for reuse in municipal waste incineration only;;market for vegetable oil, refined;0.0003362147550807249;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
5b962d999a636379e636cee79212db61;fibreboard production, hard;RoW;fibreboard, hard;;market for vegetable oil, refined;4.21839970499299;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
5cf39070ca2664143b75378428c7c0dc;treatment of waste glass, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only;;market for vegetable oil, refined;2.7616081005576256e-06;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
5f2fbb9815c2ff1f02e78f9c6853d950;fish canning, large fish;RoW;fish residues;;market for vegetable oil, refined;0.021822777060897667;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
61b56844ea3cf00e77c5ceb2dcd2ea25;treatment of aluminium scrap, post-consumer, prepared for recycling, at remelter;RoW;aluminium, wrought alloy;;market for vegetable oil, refined;0.00039640429610223816;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
625da48a8a810e14475b239337c9a3a4;treatment of waste polyethylene, for recycling, unsorted, sorting;CH;waste polyethylene, for recycling, sorted;;market for vegetable oil, refined;0.0032384995232938403;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
63fb1ab3ae9b0ef47f11ca770d99a8ed;treatment of sewage sludge, 75% water, WWT, WW from hard fibreboard production, sanitary landfill;RoW;heat, district or industrial, other than natural gas;;market for vegetable oil, refined;0.00010853312230538763;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
67c01df53446f4e82fc95bce4a6286ac;treatment of biowaste, industrial composting;CH;compost;;market for vegetable oil, refined;8.228318604750589e-05;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
6812e5aa0378e000b670eeb90ab3ad12;treatment of sewage sludge, 97% water, WWT, WW from vegetable oil refinery, landfarming;GLO;organic phosphorus fertiliser, as P2O5;;market for vegetable oil, refined;0.003915653669649767;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
6920aeb1e2d1844c22f74811762cf422;treatment of waste glass from unsorted public collection, sorting;RER;glass cullet, sorted;;market for vegetable oil, refined;0.034259365525773494;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
6a569064cd7876816e5e0bac6c11508e;treatment of sewage sludge, 70% water, WWT, WW from hard fibreboard production, municipal incineration;RER;heat, for reuse in municipal waste incineration only;;market for vegetable oil, refined;0.00010841745458780262;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
6b48d08a9458d3c24710eca69c717531;treatment of digester sludge, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only;;market for vegetable oil, refined;4.7316331867829864e-08;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
6ba9f9798f9153d7a717e534b6897e3b;treatment of wastewater from hard fibreboard production, wastewater treatment;RoW;iron scrap, sorted, pressed;;market for vegetable oil, refined;0.0017918204154191355;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
6bb169e436c56fdbd05b3222a7563063;treatment of hazardous waste, hazardous waste incineration, with energy recovery;RoW;electricity, medium voltage;;market for vegetable oil, refined;8.530770965571183e-08;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
6cdd8d01f8f60119915805612864f31e;yarn production, kenaf;RoW;yarn, kenaf;;market for vegetable oil, refined;0.03;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
6fbc2dd4725dfc2f5d0ce174c4ab7437;treatment of digester sludge, municipal incineration;GLO;electricity, for reuse in municipal waste incineration only;;market for vegetable oil, refined;9.247491570259911e-07;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
73ae09aebdd15aa07370321d1f12a7b8;treatment of biowaste, municipal incineration;GLO;heat, for reuse in municipal waste incineration only;;market for vegetable oil, refined;5.619877924560642e-07;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
754519feae5dbe457ca2939deddb5d83;treatment of wastewater from hard fibreboard production, wastewater treatment;RER;heat, central or small-scale, other than natural gas;;market for vegetable oil, refined;0.00010841745458780265;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
786d7f604a53c7fd2e8828ceaff91069;power sawing, without catalytic converter;RoW;power sawing, without catalytic converter;;market for vegetable oil, refined;0.54;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
791cc41c11c73277edd181d6d16fa351;treatment of sewage sludge, 97% water, WWT, WW, average, landfarming;CH;organic nitrogen fertiliser, as N;;market for vegetable oil, refined;4.292540093546635e-06;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
79a4c0f31af75425298670122042a846;treatment of waste polyethylene, for recycling, unsorted, sorting;US;waste polyethylene, for recycling, sorted;;market for vegetable oil, refined;0.00323849952329384;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
79f825b2b8a1892c7f4791366715759b;treatment of wastewater, average, wastewater treatment;CH;iron scrap, sorted, pressed;;market for vegetable oil, refined;1.5881490832360695e-06;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
7b49087d616d0c98cfcb9ab8353aad20;fibreboard production, hard;RoW;residual wood, dry;;market for vegetable oil, refined;0.27631598775401117;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
7f74c2125321b43b131199e0509fa932;metalliferous hydroxide sludge to market for zinc concentrate;GLO;zinc concentrate;;market for vegetable oil, refined;6.087219670959657e-06;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
80ef5bd8099a6f1a3c7e2c688e8446ae;treatment of sewage sludge, 70% water, WWT, WW, average, municipal incineration FAE;CH;electricity, for reuse in municipal waste incineration only;;market for vegetable oil, refined;9.075137618491829e-07;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
8235cd6fe22c934a236ff1d2956e2801;treatment of sewage sludge, 75% water, WWT, WW from vegetable oil refinery, sanitary landfill;GLO;heat, district or industrial, other than natural gas;;market for vegetable oil, refined;0.00017113539673021435;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
87467e7e5304ae345df51093ffacdef3;yarn production, jute;RoW;yarn, jute;;market for vegetable oil, refined;0.012327992;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
893208a9efc41e16e30ee373499a4558;glass production, for liquid crystal display;GLO;glass, for liquid crystal display;;market for vegetable oil, refined;0.34345013939587926;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
8a300eca0fd94c169eb86cf7bab7a3ca;treatment of wastewater from hard fibreboard production, wastewater treatment;RER;iron scrap, sorted, pressed;;market for vegetable oil, refined;0.0017899108068741001;kilogram;vegetable oil, refined;0.0;technosphere;GLO;apos391;vegetable oil
