code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
000da06586ec36ea711a96158732bf32;electricity production, natural gas, conventional power plant;PE;electricity, high voltage;;market for water, completely softened;0.0747;kilogram;water, completely softened;0.0;technosphere;RoW;apos391;water
000da06586ec36ea711a96158732bf32;electricity production, natural gas, conventional power plant;PE;electricity, high voltage;;market for water, decarbonised;2.491;kilogram;water, decarbonised;0.0;technosphere;RoW;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for tap water;1.3324606569406453e-05;kilogram;tap water;0.0;technosphere;CA-QC;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for tap water;9.793343912561957e-05;kilogram;tap water;0.0;technosphere;IN;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for tap water;2.5904876065803717e-05;kilogram;tap water;0.0;technosphere;CO;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for tap water;0.0031629863709055216;kilogram;tap water;0.0;technosphere;CH;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for tap water;4.8337201876026504e-05;kilogram;tap water;0.0;technosphere;ZA;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for tap water;0.007475111877986052;kilogram;tap water;0.0;technosphere;RoW;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for tap water;1.699331700211925e-05;kilogram;tap water;0.0;technosphere;PE;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for tap water;0.0001302168758971501;kilogram;tap water;0.0;technosphere;BR;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for water, completely softened;2.4655064460467543e-05;kilogram;water, completely softened;0.0;technosphere;RoW;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for water, decarbonised;0.007065730835094865;kilogram;water, decarbonised;0.0;technosphere;ES;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for water, decarbonised;2.2267172174789703e-05;kilogram;water, decarbonised;0.0;technosphere;CH;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for water, decarbonised;0.03504912130616139;kilogram;water, decarbonised;0.0;technosphere;DE;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for water, decarbonised;0.023233481945587345;kilogram;water, decarbonised;0.0;technosphere;FR;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for water, decarbonised;0.0001227997311600601;kilogram;water, decarbonised;0.0;technosphere;RoW;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for water, decarbonised;0.001282625819578237;kilogram;water, decarbonised;0.0;technosphere;GB;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for water, deionised;2.2790737413616766e-06;kilogram;water, deionised;0.0;technosphere;CH;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for water, deionised;0.00063311938039943;kilogram;water, deionised;0.0;technosphere;Europe without Switzerland;apos391;water
001c1447884b00f30ae17f036420b66d;treatment of municipal solid waste, municipal incineration with fly ash extraction;CH;iron scrap, sorted, pressed;;market for water, deionised;3.1672992143222834e-05;kilogram;water, deionised;0.0;technosphere;RoW;apos391;water
00251be67dac8276200b377a7b113014;hard coal mine operation and hard coal preparation;RU;hard coal;;market for tap water;0.2882247343473571;kilogram;tap water;0.0;technosphere;RoW;apos391;water
00251be67dac8276200b377a7b113014;hard coal mine operation and hard coal preparation;RU;hard coal;;market for tap water;0.21477526565264285;kilogram;tap water;0.0;technosphere;Europe without Switzerland;apos391;water
00414e86456fc8e16f96faa6d68162f0;electricity production, natural gas, conventional power plant;BR-South-eastern/Mid-western grid;electricity, high voltage;;market for water, completely softened;0.0528117359413203;kilogram;water, completely softened;0.0;technosphere;RoW;apos391;water
00414e86456fc8e16f96faa6d68162f0;electricity production, natural gas, conventional power plant;BR-South-eastern/Mid-western grid;electricity, high voltage;;market for water, decarbonised;1.76039119804401;kilogram;water, decarbonised;0.0;technosphere;BR;apos391;water
004227029bb545751babacf923227ae6;heat and power co-generation, natural gas, conventional power plant, 100MW electrical;UA;heat, district or industrial, natural gas;;market for water, completely softened;0.004624102181274578;kilogram;water, completely softened;0.0;technosphere;RER;apos391;water
004227029bb545751babacf923227ae6;heat and power co-generation, natural gas, conventional power plant, 100MW electrical;UA;heat, district or industrial, natural gas;;market for water, decarbonised;0.1541367393758193;kilogram;water, decarbonised;0.0;technosphere;RoW;apos391;water
004846d033b3206d87ab8da9966637b6;oxidation of manganese dioxide;RoW;potassium permanganate;;market for tap water;4.8716999421344246e-05;kilogram;tap water;0.0;technosphere;CA-QC;apos391;water
004846d033b3206d87ab8da9966637b6;oxidation of manganese dioxide;RoW;potassium permanganate;;market for tap water;0.002030215716871247;kilogram;tap water;0.0;technosphere;IN;apos391;water
004846d033b3206d87ab8da9966637b6;oxidation of manganese dioxide;RoW;potassium permanganate;;market for tap water;8.051284590938174e-05;kilogram;tap water;0.0;technosphere;CO;apos391;water
