code;name;unit;location;activity type;reference product;database;production amount;material_group;ISIC;CPC
32aaa58f182c49b26b343428f6d162fd;market for electricity, medium voltage;kilowatt hour;MK;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
eba4e070e291f44f4a2ff44782b8c810;market for electricity, medium voltage;kilowatt hour;GR;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
7f3e3e6e9a96c83d4a7fcc9a573e4bd0;market for cobalt;kilogram;GLO;market activity;cobalt;apos391;1.0;cobalt;2420:Manufacture of basic precious and other non-ferrous metals;41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […]
9ecffed1f3ab9ad87d4ea2e91f237fb5;market for electricity, low voltage;kilowatt hour;ZA;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
566cece92b45ee3b7b704621716b0a32;market for electricity, medium voltage;kilowatt hour;NA;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
8ef2be7b86fbfb97f2460dd65cb503dd;market for electricity, low voltage;kilowatt hour;ET;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
e78176c833a9920a464c7b55b9dd6bf9;market for natural gas, low pressure;cubic meter;TR;market activity;natural gas, low pressure;apos391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
99702768f3233c608ea2effd0c663483;market for helium;kilogram;GLO;market activity;helium;apos391;1.0;helium;2011:Manufacture of basic chemicals;"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]"
32e934fa644a7d86a6af30b5d10e98f4;market for silicon, electronics grade;kilogram;GLO;market activity;silicon, electronics grade;apos391;1.0;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
196f87db9a9b61a53337c98ed5d8e4bb;market for natural gas, high pressure;cubic meter;US;market activity;natural gas, high pressure;apos391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
18e632832dc225ff7db283ac8aa693d2;market for electricity, low voltage;kilowatt hour;SD;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
adbf93d20ded05fba54a2859260f8324;market for electricity, medium voltage;kilowatt hour;AO;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
47030d0576e39883d2e7d0c010cd970d;market for electricity, high voltage;kilowatt hour;CA-BC;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
154d1b337847ff3d1eb12b53c3381cdd;market for electricity, high voltage;kilowatt hour;NG;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
cbfcb8c6ad3d4d31fc15a0cc07c48afb;market for silicon, single crystal, Czochralski process, photovoltaics;kilogram;RoW;market activity;silicon, single crystal, Czochralski process, photovoltaics;apos391;1.0;silicon;2011:Manufacture of basic chemicals;34: Basic chemicals
bcbe8a150ca011e574097b88eb424a5c;market for electricity, high voltage;kilowatt hour;SV;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d0f1a0503159bb1fa9a289999e61ca5b;market for electricity, medium voltage;kilowatt hour;BJ;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
b96ebd38e3b57811645fb693bb5a9b37;market for electricity, medium voltage;kilowatt hour;FI;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
c528b88fa4c74a637ff0ee9380908485;market for electricity, low voltage;kilowatt hour;PH;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
7425dc4fa5d307eef92ad0502cf8adbf;market for electricity, low voltage;kilowatt hour;DK;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d189319dcc2f9a242482a7296e9f091a;market for electricity, medium voltage;kilowatt hour;GA;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
8b9b07aea22f005e4689e31fe3511ac4;market for copper, anode;kilogram;GLO;market activity;copper, anode;apos391;1.0;copper;2420:Manufacture of basic precious and other non-ferrous metals;"41412: Unrefined copper; copper anodes for electrolytic refining"
723af788c0ef5560d924409ecb4a79eb;market for electricity, medium voltage;kilowatt hour;ER;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
9861d6afc74badd35029cd3db0f681c8;market for electricity, medium voltage;kilowatt hour;HN;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
dcadc7e4f7c7985bcef08d84d87a1dad;market for natural gas, high pressure;cubic meter;RO;market activity;natural gas, high pressure;apos391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
baa38ea2ff184443d48cdec6f50bd0f0;market for electricity, low voltage;kilowatt hour;TT;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
77736509fc60f27d1efffc340d8e6dee;market for electricity, medium voltage;kilowatt hour;US-PR;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
f62370a64344819cfb9564bffc7628ba;market for electricity, high voltage;kilowatt hour;NO;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
3165d9523be2ea6b4788f9210c036f64;market for electricity, medium voltage;kilowatt hour;IN-Western grid;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
3d30cb2d18bfed56f7a8266c6fbab0d1;market for electricity, low voltage;kilowatt hour;GE;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
51c69fecf147757bac90be6fdf24eedd;market for electricity, medium voltage;kilowatt hour;RU;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
792a2110c7eb28b725788e8218da76f2;market for electricity, low voltage;kilowatt hour;CW;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
2d1324d885316c4783d275bdff9da05d;market for electricity, low voltage;kilowatt hour;US-HICC;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
a910d5247d818d8664f8bc9ad54815da;market for tap water;kilogram;PE;market activity;tap water;apos391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
0ce6ea974207d77532649cdf4e0a8bb8;market for electricity, high voltage;kilowatt hour;TJ;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
eb20b9dec9e65ef61035d22e6f7ec017;market for natural gas, low pressure;cubic meter;ES;market activity;natural gas, low pressure;apos391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
a2dc08d38dcb03ea545a2a211c0caa89;market for electricity, medium voltage;kilowatt hour;CN-NCGC;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
758e954248ac519fdfc1835432c421ec;market for electricity, low voltage;kilowatt hour;US-PR;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
c682f04d5c3a8a0635157e04b13a5c12;market for electricity, low voltage;kilowatt hour;NA;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
