code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
004e49346ab68f740df17883ec600c47;protein pea production;CA-AB;protein pea;;market for magnesium;2.9927e-05;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
00efafa69dd66f5cd7b291debb26f565;beryllium production;RoW;beryllium;;market for magnesium;3.0;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
01e3d5f68ed97daedf80cc762607b587;zirconium sponge production, from zirconium tetrachloride;FR;zirconium sponge, nuclear-grade;;market for magnesium;0.021232671561086;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
074502c53fae55e384b8c823d173c660;titanium sponge production, from titanium tetrachloride;CN;titanium sponge;;market for magnesium;0.041;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
0ef4f02110b3ef294aa4e6a6cad5a6ae;magnesium-alloy production, AZ91;RER;magnesium-alloy, AZ91;;market for magnesium;0.909;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
13730ebb30b851527d52381b688ed37b;beryllium production;US;beryllium;;market for magnesium;3.0;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
25c28b28a2024165f0b3e845b3815b9e;magnesium-alloy production, AZ91;RoW;magnesium-alloy, AZ91;;market for magnesium;0.909;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
26296605c136e13aff07ac03c196da5b;zirconium sponge production, from zirconium tetrachloride;US;zirconium sponge, nuclear-grade;;market for magnesium;0.021232671561086;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
26d64122a4baa4139e813b46bffe301f;magnesium, for reuse in zirconium sponge production, to generic market for magnesium;RoW;magnesium, for reuse in zirconium sponge production;;market for magnesium;1.0;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
2c93dccd7e01aac231a4addf20efaf41;magnesium, for reuse in zirconium sponge production, to generic market for magnesium;US;magnesium, for reuse in zirconium sponge production;;market for magnesium;1.0;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
2de5ae9a39829d33868eb53250aabdbb;printer production, laser, colour;GLO;printer, laser, colour;;market for magnesium;0.0774;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
36e1d6440c488ccf68cff6cd8d5ee971;magnesium, for reuse in titanium sponge production, to generic market for magnesium;RoW;magnesium, for reuse in titanium sponge production;;market for magnesium;1.0;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
3f5176dad4a03ecf2fd6ace705ec0a1c;titanium sponge production, from titanium tetrachloride;JP;titanium sponge;;market for magnesium;0.041;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
3fa116c712b2dffc04ce6b1c19d8fcb4;glider production, passenger car;GLO;glider, passenger car;;market for magnesium;0.0008509;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
420d006975332387db0af64ceadfe987;hafnium sponge production, from hafnium tetrachloride;FR;hafnium sponge;;market for magnesium;0.01085220880279;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
4b50bf2f76ecd119bd6a6ed183c0233f;aluminium alloy production, AlMg3;RoW;aluminium alloy, AlMg3;;market for magnesium;0.0305;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
5b9a68a05b8debe928e330010f244555;magnesium, for reuse in titanium sponge production, to generic market for magnesium;CN;magnesium, for reuse in titanium sponge production;;market for magnesium;1.0;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
5d5260c7dadc43c37357fdbc4bcfd7b6;titanium sponge production, from titanium tetrachloride;RoW;titanium sponge;;market for magnesium;0.041;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
70a36da0c72f8d154c47c9be52880243;tantalum powder production, capacitor-grade;CN;tantalum powder, capacitor-grade;;market for magnesium;0.336;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
71cd97d79e040bb74a9a5cf7a6339d1b;magnesium, for reuse in hafnium sponge production, to generic market for magnesium;FR;magnesium, for reuse in hafnium sponge production;;market for magnesium;1.0;kilogram;magnesium;0.0;technosphere;GLO;con391;magnesium
