code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
0209b9cc44e95271bc62deb913d7f86b;kerosene production, petroleum refinery operation;ZA;kerosene;;market for platinum;1.6095082770686423e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
024931a36ca2301c60b77318fc2d03c1;liquefied petroleum gas production, petroleum refinery operation;RoW;liquefied petroleum gas;;market for platinum;1.3203488373857423e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
030a2807285110a5d4d409549bf20941;C3 hydrocarbon production, mixture, petroleum refinery operation;CO;C3 hydrocarbon mixture;;market for platinum;2.857014626448107e-07;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
064030e346779577f331764afd8edb88;white spirit production, petroleum refinery operation;ZA;white spirit;;market for platinum;5.550555968763058e-10;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
080f5fd0138e9c7f4113c1f6dc7ee1c5;petroleum refinery operation;CH;liquefied petroleum gas;;market for platinum;6.89059672266531e-10;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
082eeca2264ebb6aacffa65b1bc0a3bb;white spirit production, petroleum refinery operation;IN;white spirit;;market for platinum;6.594749616570839e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
090b85dbd953be247ffc975a27b41cb1;C3 hydrocarbon production, mixture, petroleum refinery operation;PE;C3 hydrocarbon mixture;;market for platinum;2.6005656910270005e-07;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
0a5d88688b6d7df62425b169ba0eb179;petrol production, unleaded, petroleum refinery operation;CO;petrol, unleaded;;market for platinum;4.6767055821116875e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
0bc8011fc1752e9d45aaccf54c66f099;reformate production, petroleum refinery operation;CO;reformate;;market for platinum;5.2227997140838796e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
0c9210bbaa625c91068cbbdda9fd2398;naphtha production, petroleum refinery operation;CO;naphtha;;market for platinum;4.609525761507596e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
1057e687b5adcdd1a9aeca0349ab9721;sulfur production, petroleum refinery operation;RoW;sulfur;;market for platinum;2.8119419445439794e-10;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
1245915f4e6f76d910ab5369c6e350e0;nuclear power plant construction, pressure water reactor 650MW;CA-QC;nuclear power plant, pressure water reactor, 650MW;;market for platinum;1000.0;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
12a8a335678c07003d0ab02dfdc2fa4f;petrol production, unleaded, petroleum refinery operation;ZA;petrol, unleaded;;market for platinum;3.364865971530604e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
1521629ac955f0a2d4e651066a75626d;C3 hydrocarbon production, mixture, petroleum refinery operation;Europe without Switzerland;C3 hydrocarbon mixture;;market for platinum;2.682572731676874e-07;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
15816f6dda5698a777ae701fff8d6daf;heavy fuel oil production, petroleum refinery operation;CO;heavy fuel oil;;market for platinum;3.4502025852225784e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
16cc3d7d93f6b5a8dc5758ce0d6725b4;white spirit production, petroleum refinery operation;RoW;white spirit;;market for platinum;7.457096956015627e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
1848ea02d42cf7c45c607d000e8fabb8;fuel cell production, polymer electrolyte membrane, 2kW electrical, future;CH;fuel cell, polymer electrolyte membrane, 2kW electrical, future;;market for platinum;0.0012;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
187a424fee872edd46aef1a8516055e5;pitch production, petroleum refinery operation;IN;pitch;;market for platinum;5.876105015864636e-10;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
18b3d397dc11743361c8f1f2e37524e2;refinery gas production, petroleum refinery operation;CO;refinery gas;;market for platinum;1.7220138898237967e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
19e5d1ca77a5c9caab393cbd3b484f68;hydrogen production, gaseous, petroleum refinery operation;Europe without Switzerland;hydrogen, gaseous;;market for platinum;1.3962774387173345e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
1b4f34642808cec00ac91b8b0d0700cd;internal combustion engine production, passenger car;GLO;internal combustion engine, passenger car;;market for platinum;5.8181818181818185e-06;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
1d1dc0faf3a0dbbde9210495968a9cf8;petroleum slack wax production, petroleum refinery operation;CO;petroleum slack wax;;market for platinum;2.4213253093225423e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
2123085068f99ac8968bee4b1912db87;diesel production, petroleum refinery operation;ZA;diesel;;market for platinum;1.6080110599152915e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
23a3deee3005c0f2cb274f6ba65ec2d0;white spirit production, petroleum refinery operation;CO;white spirit;;market for platinum;3.1165271525037685e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
241cc66159dbe7e0b462c5b8f5edaf91;fuel cell production, stack polymer electrolyte membrane, 2kW electrical, future;CH;fuel cell, stack polymer electrolyte membrane, 2kW electrical, future;;market for platinum;0.0015;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
254428e1e5d4ea9e898edc6bfa1b7e5d;electric parts production, heat and power co-generation unit, 160kW electrical;RER;electric parts, heat and power co-generation unit, 160kW electrical;;market for platinum;0.0013;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
255cde4e177b7a0afd66a56d86256f35;hydrogen production, gaseous, petroleum refinery operation;BR;hydrogen, gaseous;;market for platinum;1.4668685412400519e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
25a64f48b54fed174bf1c76036d27bf5;catalytic converter production, three-way, 19.1l;RoW;catalytic converter, three-way, 19.1l;;market for platinum;0.0409;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
2c536ec5e497e573092c3eaa584575b9;reformate production, petroleum refinery operation;ZA;reformate;;market for platinum;4.690133223690383e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
2d284067f722fda3bf24fb004875c66a;heavy fuel oil production, petroleum refinery operation;IN;heavy fuel oil;;market for platinum;4.315206272965218e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
2f59934baf08750fd13f8e1b27f6fe3b;petrol production, unleaded, petroleum refinery operation;BR;petrol, unleaded;;market for platinum;6.72297844197622e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
301d5f8a45dc52e40df80f26017e9dd7;pitch production, petroleum refinery operation;RoW;pitch;;market for platinum;3.450569520968772e-10;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
31ac00ae749d1c22bbbd2ab029c1b0a9;electric parts production, mini CHP plant;RoW;electric parts, mini CHP plant;;market for platinum;0.0005;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
3282474c25d0c3e0242b51bd24e23ae7;base oil production, petroleum refinery operation;IN;base oil;;market for platinum;3.6933984730192656e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
36eac5432e67d7d5ad477af88f9c36b9;refinery gas production, petroleum refinery operation;ZA;refinery gas;;market for platinum;9.424889829426144e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
37c6cd6182b8278cc23f669874488a71;kerosene production, petroleum refinery operation;RoW;kerosene;;market for platinum;1.8421445709912424e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
3931eae59123cdd59533774c1e971435;white spirit production, petroleum refinery operation;Europe without Switzerland;white spirit;;market for platinum;7.457096956015627e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
3a545abeba4bd1861083d0bbe77bafd2;white spirit production, petroleum refinery operation;PE;white spirit;;market for platinum;1.70139596580869e-10;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
3c186a8a1f2fe06756e92ac3c7ec0b49;kerosene production, petroleum refinery operation;CO;kerosene;;market for platinum;2.178247427004859e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
3e67695156015f9da02439695ef36787;heavy fuel oil production, petroleum refinery operation;ZA;heavy fuel oil;;market for platinum;2.481926266993438e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
41249925b8b4924faa4fc8bc9307333e;reformate production, petroleum refinery operation;BR;reformate;;market for platinum;5.074104329465395e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
439553b41b8f6c58d7de058938f4dfe8;refinery gas production, petroleum refinery operation;RoW;refinery gas;;market for platinum;1.1716975768257628e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
44ccfdfdc9ff2cc14d99a949fe6e0d96;hydrogen production, gaseous, petroleum refinery operation;CO;hydrogen, gaseous;;market for platinum;1.4334905612427757e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
452c22bd10dee6cb107748a877f9f489;refinery gas production, petroleum refinery operation;Europe without Switzerland;refinery gas;;market for platinum;1.1716975768257628e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
494f3bb573a63d757cbcb6e0265e1607;light fuel oil production, petroleum refinery operation;ZA;light fuel oil;;market for platinum;1.5994020620206038e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
49906c5049a7e78d947d3197f7d9c0ec;motor scooter production;RER;motor scooter, 50 cubic cm engine;;market for platinum;0.00010706;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
49be1bbd137a971859820987963c93f4;naphtha production, petroleum refinery operation;PE;naphtha;;market for platinum;1.7013959658086742e-10;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
4ae785ab9879c69bd5103ec69679f832;sulfur production, petroleum refinery operation;Europe without Switzerland;sulfur;;market for platinum;2.8119419445439794e-10;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
4b76f6ce24a61cce784bb77fb7eb096f;base oil production, petroleum refinery operation;ZA;base oil;;market for platinum;1.7602825989823996e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
4d3ade32abc86dba3e70a94c6921df5d;C3 hydrocarbon production, mixture, petroleum refinery operation;ZA;C3 hydrocarbon mixture;;market for platinum;2.5998040244337855e-07;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
4db5a4a6ac71258f927e187a8716c1f9;liquefied petroleum gas production, petroleum refinery operation;CO;liquefied petroleum gas;;market for platinum;1.8369629938833342e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
4fb3bda52b1a4a4df4b4189244a0e614;kerosene production, petroleum refinery operation;IN;kerosene;;market for platinum;1.7677171192644467e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
514181f94503a62243f62a47ccde264e;hydrogen production, gaseous, petroleum refinery operation;ZA;hydrogen, gaseous;;market for platinum;1.3972140508971614e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
54bb85854557c07828a3cc1de192aa1d;ascorbic acid production;RoW;ascorbic acid;;market for platinum;1.10761664154827e-06;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
551e7cfa8d88ff94706e4cca1dd74c8c;diesel production, low-sulfur, petroleum refinery operation;Europe without Switzerland;diesel, low-sulfur;;market for platinum;2.027311505546227e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
5626c3521ea9a3a9fb19bcd3ddbdef1a;petroleum refinery operation;CH;naphtha;;market for platinum;3.1869009842327056e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
565e8b6917ec17a86659409e729d25eb;catalytic converter production, oxidation, 20 litre;RoW;catalytic converter, oxidation, 20 litre;;market for platinum;0.0225;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
5ae3c68e0a4d2fbd3f58015d67a68b11;platinum to generic market for metal catalyst for catalytic converter;GLO;metal catalyst for catalytic converter;;market for platinum;1.0;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
5b5fd1829337e86f8079648ee9455f90;pitch production, petroleum refinery operation;PE;pitch;;market for platinum;4.499715849009784e-10;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
5c615008a47f30e2e9452b12c54e8eea;platinum group metal mine operation, ore with high palladium content;RU;palladium;;market for platinum;-0.3424657534246575;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
5d5db65137e00a1b38ebfd46f1715856;light fuel oil production, petroleum refinery operation;IN;light fuel oil;;market for platinum;1.7566175001172313e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
5f0f567dbeb16a3cc0040083ccf7ce86;petroleum coke production, petroleum refinery operation;RoW;petroleum coke;;market for platinum;1.0155189324938303e-10;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
600e8403e96c9409ceda6e0d35110eee;refinery gas production, petroleum refinery operation;PE;refinery gas;;market for platinum;2.256979505994685e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
61da1e97a4b0dd4d8ab1e2a15aae0fc2;diesel production, low-sulfur, petroleum refinery operation;ZA;diesel, low-sulfur;;market for platinum;1.7794883499597334e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
62654dd6d7539887752ea9891d9d0850;petroleum slack wax production, petroleum refinery operation;ZA;petroleum slack wax;;market for platinum;1.5029319955184367e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
63b35ede968f9006aaddfe52e70593b2;sodium perchlorate production;GLO;sodium perchlorate;;market for platinum;4.5e-06;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
63e59441b41ffb66f1042254be5d7d5f;refinery gas production, petroleum refinery operation;BR;refinery gas;;market for platinum;2.2574868126909573e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
64ee15424beadb8f22fa462de3b4acaf;base oil production, petroleum refinery operation;CO;base oil;;market for platinum;2.8675423676634292e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
652194b2320aafecb6362a8bcf0e456b;naphtha production, petroleum refinery operation;RoW;naphtha;;market for platinum;9.991650113867688e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
66f3760c13cd0d99b1654b866cc31aaa;electricity production, medium voltage, petroleum refinery operation;Europe without Switzerland;electricity, medium voltage;;market for platinum;3.175770183329275e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
66f54f5a0df88bff2ce787d2d9bfc822;base oil production, petroleum refinery operation;Europe without Switzerland;base oil;;market for platinum;1.995084532591719e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
6893e92e489a1954fdef262bfe2aa38d;petroleum refinery operation;CH;petrol, unleaded;;market for platinum;3.1869009842327056e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
69b8a3b384bb3a08e6191a9c99bb3438;liquefied petroleum gas production, petroleum refinery operation;ZA;liquefied petroleum gas;;market for platinum;1.0999755535921915e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
6e5acda6dd95f82e6b7ba10fb71d4766;motor scooter production;RoW;motor scooter, 50 cubic cm engine;;market for platinum;0.00010706;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
6fc467892678c0a89fb5ed4e3420d9ba;sulfur production, petroleum refinery operation;BR;sulfur;;market for platinum;3.328401619264795e-10;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
75cd36c2f18e675f2bdf6b0ae66af684;fuel cell production, polymer electrolyte membrane, 2kW electrical, future;RoW;fuel cell, polymer electrolyte membrane, 2kW electrical, future;;market for platinum;0.0012;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
7b523946d3d4ac3834e93c6116b7adcd;diesel production, low-sulfur, petroleum refinery operation;BR;diesel, low-sulfur;;market for platinum;2.7147527873715323e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
7d651d7c3da6d48264c7dc9da2a53299;diesel production, petroleum refinery operation;PE;diesel;;market for platinum;2.533977612156822e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
7da9f2f8e51f0f69b8a4037626e25e6a;sulfur production, petroleum refinery operation;CO;sulfur;;market for platinum;5.879420466654821e-10;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
7eba985bd028c863d984ba4c496746a8;kerosene production, petroleum refinery operation;Europe without Switzerland;kerosene;;market for platinum;1.8421445709912424e-08;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
8007d73e1a7685eca688b5a7b095918a;sulfur production, petroleum refinery operation;IN;sulfur;;market for platinum;7.38001333390128e-10;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
83ba6bb5162d57fbdb441724f909865f;reformate production, petroleum refinery operation;PE;reformate;;market for platinum;5.068910794606711e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
87135357533e190117ae03ca05f8f028;power saw production, with catalytic converter;GLO;power saw, with catalytic converter;;market for platinum;0.00016;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
8a7fd58b3e99ab2e76610d3e8cfa7437;fuel cell production, stack polymer electrolyte membrane, 2kW electrical, future;RoW;fuel cell, stack polymer electrolyte membrane, 2kW electrical, future;;market for platinum;0.0015;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
8bfe708e2e525c030054c6025f71f070;petroleum slack wax production, petroleum refinery operation;PE;petroleum slack wax;;market for platinum;1.967068252844871e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
8c131d03318e280dc222da3d4e628db2;petroleum slack wax production, petroleum refinery operation;IN;petroleum slack wax;;market for platinum;3.090225310332794e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
8c53626dde3393962bb5af5b5ecbf3cc;petroleum slack wax production, petroleum refinery operation;RoW;petroleum slack wax;;market for platinum;1.6970691995801671e-09;kilogram;platinum;0.0;technosphere;GLO;con391;platinum
