code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
0f57c2d85e58e22b1cfc80d93f49975c;microwave oven production;GLO;microwave oven;;market for silver;6e-05;kilogram;silver;0.0;technosphere;GLO;con391;silver
2232f7836548823b530025e276063334;gold-silver mine operation with refinery;RoW;gold;;market for silver;-0.480388007431402;kilogram;silver;0.0;technosphere;GLO;con391;silver
245451cab885704ea44fa00e0ecd6d57;battery production, lead acid, rechargeable, stationary;US;battery, lead acid, rechargeable, stationary;;market for silver;0.0001;kilogram;silver;0.0;technosphere;GLO;con391;silver
2bbf8c07fc7360a1551464e9fd39e20c;printed wiring board production, for surface mounting, Pb free surface;GLO;printed wiring board, for surface mounting, Pb free surface;;market for silver;0.00051474;kilogram;silver;0.0;technosphere;GLO;con391;silver
42ebafd49b42f4e2b4406859b52fb16b;gold-silver mine operation with refinery;CA-QC;gold;;market for silver;-0.526;kilogram;silver;0.0;technosphere;GLO;con391;silver
44b06de226ec37bb06448efb325b78a5;treatment of waste x-ray film;GLO;waste x-ray film;;market for silver;-0.02;kilogram;silver;0.0;technosphere;GLO;con391;silver
56755a5da5ee0745c72f94f99cbff517;sodium silver thiosulfate production;GLO;sodium silver thiosulfate;;market for silver;0.291759819567376;kilogram;silver;0.0;technosphere;GLO;con391;silver
57051483382350c4388302dcd21dc898;primary zinc production from concentrate;CA-QC;zinc;;market for silver;1.153e-05;kilogram;silver;0.0;technosphere;GLO;con391;silver
57349280af278d788130b87e4f98f59f;metallization paste production, back side;RER;metallization paste, back side;;market for silver;0.6767;kilogram;silver;0.0;technosphere;GLO;con391;silver
5d31a91f7918696c9d2f3c235a0437fe;capacitor production, tantalum-, for through-hole mounting;GLO;capacitor, tantalum-, for through-hole mounting;;market for silver;0.03848;kilogram;silver;0.0;technosphere;GLO;con391;silver
6bf57bfdc90c8672d13b2f18dee0e867;gold-silver mine operation with refinery;PG;gold;;market for silver;-1.0182435299109036;kilogram;silver;0.0;technosphere;GLO;con391;silver
7bba86b4c3fe9c7c338dc55ba5f8d896;metallization paste production, back side;RoW;metallization paste, back side;;market for silver;0.6767;kilogram;silver;0.0;technosphere;GLO;con391;silver
7c3a8b2f63264a5bc6ea4ac74fa997c9;gold mine operation and refining;SE;copper, cathode;;market for silver;-0.0012322070844686648;kilogram;silver;0.0;technosphere;GLO;con391;silver
7edf988c3a18b228e53ad8acbe39a36b;treatment of precious metal from electronics scrap, in anode slime, precious metal extraction;RoW;precious metal from electronics scrap, in anode slime;;market for silver;-0.921040123025304;kilogram;silver;0.0;technosphere;GLO;con391;silver
86f5a7dbd061daabaec779bd6da52f39;metallization paste production, front side;RER;metallization paste, front side;;market for silver;0.8383;kilogram;silver;0.0;technosphere;GLO;con391;silver
8ec167776a5f4310d9ed764f9802afb1;processing of anode slime from electrorefining of copper, anode;GLO;copper telluride cement;;market for silver;-4.906054323;kilogram;silver;0.0;technosphere;GLO;con391;silver
90b1b11aea0c410ae5afdf79c68c5b83;treatment of precious metal from electronics scrap, in anode slime, precious metal extraction;SE;precious metal from electronics scrap, in anode slime;;market for silver;-0.9210401230253041;kilogram;silver;0.0;technosphere;GLO;con391;silver
975eea79f28da323ade1d01fb3410773;resistor production, surface-mounted;GLO;resistor, surface-mounted;;market for silver;0.0123;kilogram;silver;0.0;technosphere;GLO;con391;silver
9bf7b9eadc6049ba5f2b1b3c8036d781;integrated circuit production, memory type;GLO;integrated circuit, memory type;;market for silver;0.0021;kilogram;silver;0.0;technosphere;GLO;con391;silver
beca084751857573b4e01a48572d781e;capacitor production, for surface-mounting;GLO;capacitor, for surface-mounting;;market for silver;0.03922;kilogram;silver;0.0;technosphere;GLO;con391;silver
bf8cc6f309ac374de548c427cc408229;aluminium alloy production, AlLi;CA-QC;aluminium alloy, AlLi;;market for silver;0.003;kilogram;silver;0.0;technosphere;GLO;con391;silver
c23bc65c059f3fa114e1278f0076fa1c;aluminium alloy production, AlLi;RoW;aluminium alloy, AlLi;;market for silver;0.003;kilogram;silver;0.0;technosphere;GLO;con391;silver
c7d8b6e38e21a902c68b428061b85f7a;battery production, lead acid, rechargeable, stationary;RoW;battery, lead acid, rechargeable, stationary;;market for silver;0.0001;kilogram;silver;0.0;technosphere;GLO;con391;silver
cff5c3ae1f77635a9155f7f3bb8819d2;primary zinc production from concentrate;RoW;zinc;;market for silver;-0.0001272418673350922;kilogram;silver;0.0;technosphere;GLO;con391;silver
dc7448996d571daf66b3b364e42f95a9;metallization paste production, front side;RoW;metallization paste, front side;;market for silver;0.8383;kilogram;silver;0.0;technosphere;GLO;con391;silver
e2a6c76ae7cb37756fda1168603310f1;solder production, bar, Sn95.5Ag3.9Cu0.6, for electronics industry;GLO;solder, bar, Sn95.5Ag3.9Cu0.6, for electronics industry;;market for silver;0.039;kilogram;silver;0.0;technosphere;GLO;con391;silver
e533fa70a13b001e9f987615da2de4a0;capacitor production, electrolyte type, < 2cm height;GLO;capacitor, electrolyte type, < 2cm height;;market for silver;0.02516;kilogram;silver;0.0;technosphere;GLO;con391;silver
e961035b3f6223a04b7df5711dbcecbf;treatment of crust from Parkes process for lead production;GLO;crust from Parkes process for lead production;;market for silver;-0.17318116481651455;kilogram;silver;0.0;technosphere;GLO;con391;silver
f11ee8ada627cb3715255bcd6cd2836d;integrated circuit production, logic type;GLO;integrated circuit, logic type;;market for silver;0.0075;kilogram;silver;0.0;technosphere;GLO;con391;silver
f68a77335c7844b76dea2a83e4f3b051;printed wiring board production, for through-hole mounting, Pb free surface;GLO;printed wiring board, for through-hole mounting, Pb free surface;;market for silver;0.00081053;kilogram;silver;0.0;technosphere;GLO;con391;silver
