code;name;unit;location;activity type;reference product;database;production amount;material_group;ISIC;CPC
9083db46fce1c7c438d7c0c565e80e5f;market for electricity, medium voltage;kilowatt hour;GE;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
f3fbc061ef83dcb89f20f4ae35d64727;market for natural gas, high pressure;cubic meter;DE;market activity;natural gas, high pressure;con391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
1a61a39a3b06d65f3aef3265549f6c62;market for electricity, low voltage;kilowatt hour;GT;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
b2a0d6f79f958bf523014b58a19bef76;market for electricity, low voltage;kilowatt hour;KE;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
09cf849da29ca719321757249d8e8e53;market for electricity, low voltage;kilowatt hour;SE;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
b1614d941dc62d605f367d568ec73873;market for electricity, medium voltage;kilowatt hour;HR;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
4969a3f16ff542315c262107e2ddb27b;market for water, decarbonised;kilogram;RU;market activity;water, decarbonised;con391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
d36cae2169f48bfa128f1cdfb139c093;market for electricity, medium voltage;kilowatt hour;OM;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
84a3c2a8e4c879a9bb656bad1d759843;market for electricity, low voltage;kilowatt hour;SD;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
33fc6755fe766abecbb851124bc6d429;market for electricity, medium voltage;kilowatt hour;SK;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
ad16b5a7388d3cacef7cbd6edf7db447;market for natural gas, high pressure;cubic meter;FR;market activity;natural gas, high pressure;con391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
149af613364ed8cff645dfcb75af1d01;market for natural gas, high pressure;cubic meter;TR;market activity;natural gas, high pressure;con391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
e3eaed749ad06ba58b4722ed761dee54;market for electricity, high voltage;kilowatt hour;CN-ECGC;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
4e5864204436ccaa892784de9cef5778;market for electricity, high voltage;kilowatt hour;HR;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
cd2897e1c78679314e3413f9402ab665;market for electricity, high voltage;kilowatt hour;IN-Northern grid;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
5dcbe663b619c6635b07de93f05aab35;market for electricity, high voltage;kilowatt hour;BY;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
8db867b439c4769bc88612740ef63bf0;market for silicon, single crystal, Czochralski process, photovoltaics;kilogram;RoW;market activity;silicon, single crystal, Czochralski process, photovoltaics;con391;1.0;silicon;2011:Manufacture of basic chemicals;34: Basic chemicals
c0f46da37cbf3fe8a4574f3a2859f49d;market for electricity, low voltage;kilowatt hour;NL;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
0e7cea4bbf5fdaaaf5c19308ddfb4808;market for electricity, medium voltage;kilowatt hour;CA-AB;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
b8b5b9c0ddcf06b3deb660f31f1adb5b;market for electricity, low voltage;kilowatt hour;CN-CSG;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
65b68980a8fbd9d4b37ad546d64ea9bc;market for electricity, low voltage;kilowatt hour;JP;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
182696ba9fee9ccc14328183aab06309;market for electricity, high voltage;kilowatt hour;BR-Southern grid;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
07f1f43c914b087bce0968ab42d4c547;market for sand;kilogram;IN;market activity;sand;con391;1.0;sand;0810:Quarrying of stone, sand and clay;15310: Natural sands
28084d124933cdc0b772a98fc90abe44;market for electricity, medium voltage;kilowatt hour;BA;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
b8c65c078999e5c7f1c9892a9efeb242;market for electricity, low voltage;kilowatt hour;CN-NCGC;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d45789ea1243d74fdc663f4358fcd997;market for electricity, low voltage;kilowatt hour;MN;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
c604fe8b4379a3e37aedcd706c72f3fa;market for natural gas, high pressure;cubic meter;LY;market activity;natural gas, high pressure;con391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
c80021ca85117d7ed6a5f348af3ec97f;market for electricity, low voltage;kilowatt hour;LT;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
65d0d2b7bd77a2c7847056fa0def2834;market for rare earth carbonate concentrate;kilogram;GLO;market activity;rare earth carbonate concentrate;con391;1.0;rare earth;0729:Mining of other non-ferrous metal ores;34290: Compounds of rare earth metals, of yttrium or of scandium
5310440cd74b306d69062635dd50db44;market for electricity, high voltage;kilowatt hour;US-TRE;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
3f8708974132cdbab4f9c8c5a88f0409;market for tap water;kilogram;RoW;market activity;tap water;con391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
a8d5b023db5d07c7f3b5dc36f773dee7;market for electricity, medium voltage;kilowatt hour;RS;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
e65a795abd16d0e05ca8a717024ff929;market for water, harvested from rainwater;kilogram;GLO;market activity;water, harvested from rainwater;con391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
365fd5af54e39b4e990e7cf7059d0842;market for tantalum concentrate, 30% Ta2O5;kilogram;GLO;market activity;tantalum concentrate, 30% Ta2O5;con391;1.0;tantalum;0729:Mining of other non-ferrous metal ores;41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […]
ffed162257d8ef286081425257408e06;market for electricity, medium voltage;kilowatt hour;TJ;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
5f2dccae35326193822a7ee69639829b;market for electricity, high voltage;kilowatt hour;AR;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
bf80e8a3bc7a268c411fe60e04b640ab;market for electricity, medium voltage;kilowatt hour;CA-MB;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
df6bb5319042f87d96d62dc95be06c41;market for water, completely softened;kilogram;US;market activity;water, completely softened;con391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
344febfc601a5d56a70ebbe09df86bf8;market for electricity, medium voltage;kilowatt hour;SV;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
ffb704f389a8ff3b3c73215d73225a82;market for electricity, medium voltage;kilowatt hour;RU;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
9744fccc78ec1ee987f7cedc3dafce52;market for electricity, high voltage;kilowatt hour;NG;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
29136f2f9d81b43d1e9856e09be8c665;market for natural gas, high pressure;cubic meter;AE;market activity;natural gas, high pressure;con391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
3ef4b2fa1e61dbe349083fb5c0e5a36e;market for electricity, high voltage;kilowatt hour;CD;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
68ff8de05cb0e0374295d9f82fe92e6e;market for electricity, medium voltage;kilowatt hour;US-ASCC;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
8eed7b7c1c5e71fecb41512624ebed5a;market for electricity, high voltage;kilowatt hour;BH;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
b6e747e4e3867a1a0a85c117c9f91941;market for tap water;kilogram;CH;market activity;tap water;con391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
