code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
3c2db7178843f4ff931ecffbe0e505c3;gold production;AU;gold;;market for zinc;2.8946;kilogram;zinc;0.0;technosphere;GLO;cutoff391;gold
400a1f3815270b8d5a0f67cb103860af;platinum group metal, extraction and refinery operations;ZA;gold;;market for tap water;90954.5544383706;kilogram;tap water;0.0;technosphere;ZA;cutoff391;gold
45561eed9ef3f34bc4e9f01043344380;gold production;US;gold;;market for zinc;2.8946;kilogram;zinc;0.0;technosphere;GLO;cutoff391;gold
56848fdd9a23458bc5aba04728660eae;gold production;CA;gold;;market for zinc;2.8946;kilogram;zinc;0.0;technosphere;GLO;cutoff391;gold
7d255f9c37803616182abf5b72b63f2d;gold-silver mine operation with refinery;RoW;gold;;market for zinc;2.890536142635193;kilogram;zinc;0.0;technosphere;GLO;cutoff391;gold
7e2f728122151192e9b5c6de0bd68eff;gold production;TZ;gold;;market for zinc;2.8946;kilogram;zinc;0.0;technosphere;GLO;cutoff391;gold
815f2b5f528cd11eed046142cb45caf6;gold refinery operation;ZA;gold;;market for tap water;105.22;kilogram;tap water;0.0;technosphere;ZA;cutoff391;gold
883b45be5d99e412f1a2e4744c1462e9;gold-silver mine operation with refinery;PG;gold;;market for zinc;2.8570600542572637;kilogram;zinc;0.0;technosphere;GLO;cutoff391;gold
8c0a62935bb20badf656f6c54d2118d9;gold mine operation and refining;SE;gold;;market for tap water;2.5223433657405665;kilogram;tap water;0.0;technosphere;Europe without Switzerland;cutoff391;gold
8c0a62935bb20badf656f6c54d2118d9;gold mine operation and refining;SE;gold;;market for zinc;0.6716377811146365;kilogram;zinc;0.0;technosphere;GLO;cutoff391;gold
960b2e091f1e6aaf46d7cb95413b7e74;gold refinery operation;RoW;gold;;market for tap water;0.19610887223342174;kilogram;tap water;0.0;technosphere;CO;cutoff391;gold
960b2e091f1e6aaf46d7cb95413b7e74;gold refinery operation;RoW;gold;;market for tap water;0.12864528764103328;kilogram;tap water;0.0;technosphere;PE;cutoff391;gold
960b2e091f1e6aaf46d7cb95413b7e74;gold refinery operation;RoW;gold;;market for tap water;0.11866225454095919;kilogram;tap water;0.0;technosphere;CA-QC;cutoff391;gold
960b2e091f1e6aaf46d7cb95413b7e74;gold refinery operation;RoW;gold;;market for tap water;4.945090564483382;kilogram;tap water;0.0;technosphere;IN;cutoff391;gold
960b2e091f1e6aaf46d7cb95413b7e74;gold refinery operation;RoW;gold;;market for tap water;0.9857867921499072;kilogram;tap water;0.0;technosphere;BR;cutoff391;gold
960b2e091f1e6aaf46d7cb95413b7e74;gold refinery operation;RoW;gold;;market for tap water;56.589182534080514;kilogram;tap water;0.0;technosphere;RoW;cutoff391;gold
9f5c2cc5f317d90a1fa0ea883ed163c0;silver-gold mine operation with refinery;RoW;gold;;market for zinc;1.9511931045749311;kilogram;zinc;0.0;technosphere;GLO;cutoff391;gold
d13d9b122847bb6e559b9bebf098f17a;silver-gold mine operation with refinery;CL;gold;;market for zinc;1.9511931045749313;kilogram;zinc;0.0;technosphere;GLO;cutoff391;gold
d7887c75c3e4127548a9caf0f4bac50a;primary zinc production from concentrate;RoW;gold;;market for antimony;0.07992690978810083;kilogram;antimony;0.0;technosphere;GLO;cutoff391;gold
d7887c75c3e4127548a9caf0f4bac50a;primary zinc production from concentrate;RoW;gold;;market for copper, cathode;0.274104658368188;kilogram;copper, cathode;0.0;technosphere;GLO;cutoff391;gold
d7887c75c3e4127548a9caf0f4bac50a;primary zinc production from concentrate;RoW;gold;;market for magnesium;0.12319937409687723;kilogram;magnesium;0.0;technosphere;GLO;cutoff391;gold
d7887c75c3e4127548a9caf0f4bac50a;primary zinc production from concentrate;RoW;gold;;market for silver;0.017183675668867374;kilogram;silver;0.0;technosphere;GLO;cutoff391;gold
d7887c75c3e4127548a9caf0f4bac50a;primary zinc production from concentrate;RoW;gold;;market for tap water;6.009773876786402;kilogram;tap water;0.0;technosphere;ZA;cutoff391;gold
d7887c75c3e4127548a9caf0f4bac50a;primary zinc production from concentrate;RoW;gold;;market for tap water;3.220758368697989;kilogram;tap water;0.0;technosphere;CO;cutoff391;gold
d7887c75c3e4127548a9caf0f4bac50a;primary zinc production from concentrate;RoW;gold;;market for tap water;2.112782466416147;kilogram;tap water;0.0;technosphere;PE;cutoff391;gold
d7887c75c3e4127548a9caf0f4bac50a;primary zinc production from concentrate;RoW;gold;;market for tap water;81.21479481342392;kilogram;tap water;0.0;technosphere;IN;cutoff391;gold
d7887c75c3e4127548a9caf0f4bac50a;primary zinc production from concentrate;RoW;gold;;market for tap water;16.189889954543645;kilogram;tap water;0.0;technosphere;BR;cutoff391;gold
d7887c75c3e4127548a9caf0f4bac50a;primary zinc production from concentrate;RoW;gold;;market for tap water;929.3821393632812;kilogram;tap water;0.0;technosphere;RoW;cutoff391;gold
d7887c75c3e4127548a9caf0f4bac50a;primary zinc production from concentrate;RoW;gold;;market for zinc;49.92369023838093;kilogram;zinc;0.0;technosphere;GLO;cutoff391;gold
