code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
1247d879acb79d23368ab2b2cb125ba7;gravel and sand quarry operation;RoW;sand;;market for tap water;0.004036834098972861;kilogram;tap water;0.0;technosphere;Europe without Switzerland;cutoff391;sand
1247d879acb79d23368ab2b2cb125ba7;gravel and sand quarry operation;RoW;sand;;market for tap water;3.503093215918817e-05;kilogram;tap water;0.0;technosphere;ZA;cutoff391;sand
1247d879acb79d23368ab2b2cb125ba7;gravel and sand quarry operation;RoW;sand;;market for tap water;1.877377921835026e-05;kilogram;tap water;0.0;technosphere;CO;cutoff391;sand
1247d879acb79d23368ab2b2cb125ba7;gravel and sand quarry operation;RoW;sand;;market for tap water;1.2315395015781036e-05;kilogram;tap water;0.0;technosphere;PE;cutoff391;sand
1247d879acb79d23368ab2b2cb125ba7;gravel and sand quarry operation;RoW;sand;;market for tap water;1.1359705162406144e-05;kilogram;tap water;0.0;technosphere;CA-QC;cutoff391;sand
1247d879acb79d23368ab2b2cb125ba7;gravel and sand quarry operation;RoW;sand;;market for tap water;0.00047340050154312297;kilogram;tap water;0.0;technosphere;IN;cutoff391;sand
1247d879acb79d23368ab2b2cb125ba7;gravel and sand quarry operation;RoW;sand;;market for tap water;9.437076141134453e-05;kilogram;tap water;0.0;technosphere;BR;cutoff391;sand
1247d879acb79d23368ab2b2cb125ba7;gravel and sand quarry operation;RoW;sand;;market for tap water;0.0054173623403291;kilogram;tap water;0.0;technosphere;RoW;cutoff391;sand
466bcc5d00156f18ab5881c2d8be09ee;gravel and sand quarry operation;CH;sand;;market for tap water;0.0101;kilogram;tap water;0.0;technosphere;CH;cutoff391;sand
f007664e950c070b9ea44a7364bbbd77;zinc mine operation;GLO;sand;;market for copper, cathode;5.41520956990331e-07;kilogram;copper, cathode;0.0;technosphere;GLO;cutoff391;sand
