code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
1a5654b42884d8d190670e5b6d6a2b74;primary zinc production from concentrate;CA-QC;zinc;;market for copper, cathode;0.00010852693121982049;kilogram;copper, cathode;0.0;technosphere;GLO;cutoff391;zinc
1a5654b42884d8d190670e5b6d6a2b74;primary zinc production from concentrate;CA-QC;zinc;;market for silver;1.0307376581256428e-05;kilogram;silver;0.0;technosphere;GLO;cutoff391;zinc
3bcb366bcc27d2f245651122c5be3869;gold mine operation and refining;SE;zinc;;market for tap water;0.00010439335972580031;kilogram;tap water;0.0;technosphere;Europe without Switzerland;cutoff391;zinc
3bcb366bcc27d2f245651122c5be3869;gold mine operation and refining;SE;zinc;;market for zinc;2.77973750289754e-05;kilogram;zinc;0.0;technosphere;GLO;cutoff391;zinc
c28fea90ce64b01bee44487232ad77bf;primary zinc production from concentrate;RoW;zinc;;market for antimony;3.307970975962279e-06;kilogram;antimony;0.0;technosphere;GLO;cutoff391;zinc
c28fea90ce64b01bee44487232ad77bf;primary zinc production from concentrate;RoW;zinc;;market for copper, cathode;1.1344492820527038e-05;kilogram;copper, cathode;0.0;technosphere;GLO;cutoff391;zinc
c28fea90ce64b01bee44487232ad77bf;primary zinc production from concentrate;RoW;zinc;;market for magnesium;5.09890792537386e-06;kilogram;magnesium;0.0;technosphere;GLO;cutoff391;zinc
c28fea90ce64b01bee44487232ad77bf;primary zinc production from concentrate;RoW;zinc;;market for silver;7.111885161538553e-07;kilogram;silver;0.0;technosphere;GLO;cutoff391;zinc
c28fea90ce64b01bee44487232ad77bf;primary zinc production from concentrate;RoW;zinc;;market for tap water;0.00024872921534450964;kilogram;tap water;0.0;technosphere;ZA;cutoff391;zinc
c28fea90ce64b01bee44487232ad77bf;primary zinc production from concentrate;RoW;zinc;;market for tap water;0.0001332989756827395;kilogram;tap water;0.0;technosphere;CO;cutoff391;zinc
c28fea90ce64b01bee44487232ad77bf;primary zinc production from concentrate;RoW;zinc;;market for tap water;8.744267851660531e-05;kilogram;tap water;0.0;technosphere;PE;cutoff391;zinc
c28fea90ce64b01bee44487232ad77bf;primary zinc production from concentrate;RoW;zinc;;market for tap water;0.0033612732529480897;kilogram;tap water;0.0;technosphere;IN;cutoff391;zinc
c28fea90ce64b01bee44487232ad77bf;primary zinc production from concentrate;RoW;zinc;;market for tap water;0.0006700582596729743;kilogram;tap water;0.0;technosphere;BR;cutoff391;zinc
c28fea90ce64b01bee44487232ad77bf;primary zinc production from concentrate;RoW;zinc;;market for tap water;0.03846475674766001;kilogram;tap water;0.0;technosphere;RoW;cutoff391;zinc
c28fea90ce64b01bee44487232ad77bf;primary zinc production from concentrate;RoW;zinc;;market for zinc;0.002066214229466954;kilogram;zinc;0.0;technosphere;GLO;cutoff391;zinc
