code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
06c3159728fe99ffea3414c3ad78d748;stone wool production;CH;stone wool;;market for coke;5.2453;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
078fa6a9cc8fcae2ec7bcef3cf1e1005;pig iron production;RoW;pig iron;;market for coke;9.724;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
0e3337b8ddaff414089ae9ff30851003;steel production, converter, unalloyed;RoW;steel, unalloyed;;market for coke;0.000183215956619923;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
0fdf313c797bcb81d33f8ca0a02c9a8d;ferrosilicon production;CN;ferrosilicon;;market for coke;28.0;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
11d3ff087d2ddbd48fa2d2ab5963237f;maintenance, locomotive;RoW;maintenance, locomotive;;market for coke;2330.0;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
1abc7fa0b18e006dad05f971d75e89e1;aluminium production, primary, liquid, prebake;UN-OCEANIA;aluminium, primary, liquid;;market for coke;0.127;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
1e8025067d80afe316a4e63859ad5540;pig iron production;IN;pig iron;;market for coke;13.025;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
25ba501c7922a7b39555d5f2f8b0e1cc;aluminium production, primary, liquid, Söderberg;RoW;aluminium, primary, liquid;;market for coke;0.127;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
26ee624f33246b5b068780299af836e8;cathode production, for aluminium electrolysis;RER;cathode, for aluminium electrolysis;;market for coke;12.9;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
333f1d31242e031ed98653f93040d0a0;boron carbide production;GLO;boron carbide;;market for coke;1.4987;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
34f3e221b9610571328cd09a62ac6510;aluminium production, primary, liquid, prebake;CA;aluminium, primary, liquid;;market for coke;0.127;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
42162f409c5e39c93ab1bc63ff1dc212;aluminium production, primary, liquid, prebake;IAI Area, Gulf Cooperation Council;aluminium, primary, liquid;;market for coke;0.127;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
462ce98e968b00e55add878df73d1ab7;steel production, converter, low-alloyed;RoW;steel, low-alloyed;;market for coke;0.000183215956619923;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
4ae894541c2e03f15dfe841d1f232834;aluminium production, primary, liquid, Söderberg;IAI Area, EU27 & EFTA;aluminium, primary, liquid;;market for coke;0.127;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
4b88c6d6dd29b430c25475580407bb17;graphite production, battery grade;CN;graphite, battery grade;;market for coke;40.0;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
59ed4040025466d0ad29a745c07550fd;silicon production, metallurgical grade;NO;silicon, metallurgical grade;;market for coke;23.12;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
5be5980df38b41296c0774fca9373606;barium carbonate production;GLO;barium carbonate;;market for coke;5.25633643331192;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
652500a16df9cf260be0bf37e675a465;quicklime production, in pieces, loose;RoW;quicklime, in pieces, loose;;market for coke;0.0007464;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
6859ea111247e4e980428a33d547064a;silicon production, metallurgical grade;RoW;silicon, metallurgical grade;;market for coke;23.12;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
6a3b9c0975db71e421ab55ad51264ee8;sulfate pulp production, from eucalyptus, bleached;RER;sulfate pulp, bleached;;market for coke;0.0709180113564016;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
6a77aa039bda0e26dde51f519b99cc52;steel production, electric, low-alloyed;IN;steel, low-alloyed;;market for coke;0.0123;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
77d88fb400eae4ef8682049e516e9cc9;heat production, at coal coke industrial furnace 1-10MW;CA-QC;heat, district or industrial, other than natural gas;;market for coke;1.249925;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
7a45d4acf2195d6ea480bafa38e7023a;heat production, hard coal coke, stove 5-15kW;Europe without Switzerland;heat, central or small-scale, other than natural gas;;market for coke;1.43;megajoule;coke;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;coke
