code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
00234a76e566b25c2000eb5c3479b353;folding boxboard carton production;RoW;folding boxboard carton;;market for latex;0.0149810204919419;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
0038e09962d7f54a85713312a6404d7c;folding boxboard carton production;RER;folding boxboard carton;;market for latex;0.0149810204919419;kilogram;latex;0.0;technosphere;RER;ecoinvent_3.9.1_consequential;latex
00f64225057010298daa7647399b85e5;paper production, woodfree, coated, at integrated mill;RoW;paper, woodfree, coated;;market for latex;0.041;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
03b9c4f3ba51baa1c54af70c92dfdc8d;fibreboard production, soft, from wet & dry processes;Europe without Switzerland;fibreboard, soft;;market for latex;0.782;kilogram;latex;0.0;technosphere;RER;ecoinvent_3.9.1_consequential;latex
16b8ac6b5dd3b0771557f61e64e72a84;graphic paper production, 100% recycled;RoW;graphic paper, 100% recycled;;market for latex;0.00371;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
1ae212c5aa316d3b26873fa39798ef09;white lined chipboard carton production;RER;white lined chipboard carton;;market for latex;0.0146479245463218;kilogram;latex;0.0;technosphere;RER;ecoinvent_3.9.1_consequential;latex
1b435ab9310f005f12b0fc3818b67fc6;fibreboard production, soft, from wet & dry processes;RoW;fibreboard, soft;;market for latex;0.782;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
2f56bb90732ce99c10c535ebab461828;toner production, colour, powder;GLO;toner, colour, powder;;market for latex;0.5522613098975755;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
2f56bb90732ce99c10c535ebab461828;toner production, colour, powder;GLO;toner, colour, powder;;market for latex;0.2727386901024246;kilogram;latex;0.0;technosphere;RER;ecoinvent_3.9.1_consequential;latex
311230338929f42f3a338ab639d6903e;fibreboard production, soft, from wet & dry processes;CA-QC;fibreboard, soft;;market for latex;0.782;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
5014541fb5676ab2a85a66ac304ed3cf;solid bleached and unbleached board carton production;CA-QC;solid bleached and unbleached board carton;;market for latex;0.01484687008554;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
561e46b9ef2fa13824e7747e311c4c4c;anode production, silicon coated graphite, NCA, for Li-ion battery;CN;anode, silicon coated graphite, for Li-ion battery;;market for latex;0.02;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
619917ff39726d5908b109651f3f7507;fibreboard production, soft, latex bonded;CH;fibreboard, soft, latex bonded;;market for latex;5.4;kilogram;latex;0.0;technosphere;RER;ecoinvent_3.9.1_consequential;latex
64de1111ccec76a533de5edacdfd5edf;cathode production, LiMn2O4, for Li-ion battery;CN;cathode, LiMn2O4, for Li-ion battery;;market for latex;0.0098932;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
8226dbd1ac103106f0eefcf218a95e57;paper production, woodcontaining, lightweight coated;RoW;paper, woodcontaining, lightweight coated;;market for latex;0.0292;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
8855b5cff215b98daacf67eab384a396;solid bleached and unbleached board carton production;RoW;solid bleached and unbleached board carton;;market for latex;0.01484687008554;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
97dcb33db0f6418dd5bdb44f141ef19d;white lined chipboard carton production;RoW;white lined chipboard carton;;market for latex;0.0146479245463218;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
a0e29fc26e79e0ef7ece3166dbabf9fb;anode production, graphite, for Li-ion battery;RoW;anode, graphite, for Li-ion battery;;market for latex;0.013388152967213952;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
a0e29fc26e79e0ef7ece3166dbabf9fb;anode production, graphite, for Li-ion battery;RoW;anode, graphite, for Li-ion battery;;market for latex;0.0066118470327860505;kilogram;latex;0.0;technosphere;RER;ecoinvent_3.9.1_consequential;latex
a2a4e6402f9de2414fe16ca07564be34;paper production, woodfree, coated, at integrated mill;RER;paper, woodfree, coated;;market for latex;0.041;kilogram;latex;0.0;technosphere;RER;ecoinvent_3.9.1_consequential;latex
a6acad557f497b90887f5cb7b702e174;paper production, woodcontaining, lightweight coated;CA-QC;paper, woodcontaining, lightweight coated;;market for latex;0.0292;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
a7d1e30738059dae728d3feab9fcb54b;pitch despergents production, in paper production;RER;pitch despergents, in paper production;;market for latex;0.333;kilogram;latex;0.0;technosphere;RER;ecoinvent_3.9.1_consequential;latex
ad4cd83068873020d70d59522cc105d5;paper production, woodcontaining, lightweight coated;RER;paper, woodcontaining, lightweight coated;;market for latex;0.0292;kilogram;latex;0.0;technosphere;RER;ecoinvent_3.9.1_consequential;latex
b059747734e97b8a1ca26ba4c2c70551;anode production, silicon coated graphite, NMC811, for Li-ion battery;CN;anode, silicon coated graphite, for Li-ion battery;;market for latex;0.02;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
b76c1abbf311dae197d76f1d3f6a7b75;pitch despergents production, in paper production;RoW;pitch despergents, in paper production;;market for latex;0.333;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
c7fa123544c1128c0f3c23a61a4cc358;anode production, silicon coated graphite, NMC811, for Li-ion battery;RoW;anode, silicon coated graphite, for Li-ion battery;;market for latex;0.013388152967213952;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
c7fa123544c1128c0f3c23a61a4cc358;anode production, silicon coated graphite, NMC811, for Li-ion battery;RoW;anode, silicon coated graphite, for Li-ion battery;;market for latex;0.0066118470327860505;kilogram;latex;0.0;technosphere;RER;ecoinvent_3.9.1_consequential;latex
cc171d6423a83c798edb36df3d2c3b35;toner production, black, powder;GLO;toner, black, powder;;market for latex;0.46858535385248823;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
cc171d6423a83c798edb36df3d2c3b35;toner production, black, powder;GLO;toner, black, powder;;market for latex;0.23141464614751173;kilogram;latex;0.0;technosphere;RER;ecoinvent_3.9.1_consequential;latex
d7e58fd20d13f75e0157e1135c1dcd95;anode production, silicon coated graphite, NCA, for Li-ion battery;RoW;anode, silicon coated graphite, for Li-ion battery;;market for latex;0.013388152967213952;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
d7e58fd20d13f75e0157e1135c1dcd95;anode production, silicon coated graphite, NCA, for Li-ion battery;RoW;anode, silicon coated graphite, for Li-ion battery;;market for latex;0.0066118470327860505;kilogram;latex;0.0;technosphere;RER;ecoinvent_3.9.1_consequential;latex
e7178c6a5f605c9084dbf8cdd5123768;anode production, graphite, for Li-ion battery;CN;anode, graphite, for Li-ion battery;;market for latex;0.02;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
ece3ef00fc9d3a8267ed5f271747dffa;solid bleached and unbleached board carton production;RER;solid bleached and unbleached board carton;;market for latex;0.01484687008554;kilogram;latex;0.0;technosphere;RER;ecoinvent_3.9.1_consequential;latex
ece444fff081f6ed22023d826b89c371;graphic paper production, 100% recycled;RER;graphic paper, 100% recycled;;market for latex;0.00371;kilogram;latex;0.0;technosphere;RER;ecoinvent_3.9.1_consequential;latex
f1ac36362a608ea63fa1810a983e37cc;cathode production, LiMn2O4, for Li-ion battery;RoW;cathode, LiMn2O4, for Li-ion battery;;market for latex;0.006622583746762053;kilogram;latex;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;latex
f1ac36362a608ea63fa1810a983e37cc;cathode production, LiMn2O4, for Li-ion battery;RoW;cathode, LiMn2O4, for Li-ion battery;;market for latex;0.0032706162532379476;kilogram;latex;0.0;technosphere;RER;ecoinvent_3.9.1_consequential;latex
