code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
080f5fd0138e9c7f4113c1f6dc7ee1c5;petroleum refinery operation;CH;liquefied petroleum gas;;market for rhodium;6.89059672266531e-10;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;rhodium
140c66c5a4d695576a17bdaa2d132d3f;catalytic converter production, three-way, mini CHP plant;RoW;catalytic converter, three-way, mini CHP plant;;market for rhodium;0.00016;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;rhodium
25a64f48b54fed174bf1c76036d27bf5;catalytic converter production, three-way, 19.1l;RoW;catalytic converter, three-way, 19.1l;;market for rhodium;0.0082;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;rhodium
5626c3521ea9a3a9fb19bcd3ddbdef1a;petroleum refinery operation;CH;naphtha;;market for rhodium;3.1869009842327056e-09;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;rhodium
5c615008a47f30e2e9452b12c54e8eea;platinum group metal mine operation, ore with high palladium content;RU;palladium;;market for rhodium;-0.027397260273972605;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;rhodium
6893e92e489a1954fdef262bfe2aa38d;petroleum refinery operation;CH;petrol, unleaded;;market for rhodium;3.1869009842327056e-09;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;rhodium
771d0dcec8b268532d95d75096747892;catalytic converter production, three-way, mini CHP plant;CH;catalytic converter, three-way, mini CHP plant;;market for rhodium;0.00016;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;rhodium
ccb7265c62a0541b0f417c9c86fc2301;treatment of automobile catalyst;RER;spent automobile catalyst;;market for rhodium;-0.00052;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;rhodium
d3975778e834f74912bf16742c86a330;platinum group metal, extraction and refinery operations;ZA;platinum;;market for rhodium;-0.157;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;rhodium
e9d59f9c8c54b253c17e2ebfa29af192;treatment of automobile catalyst;RoW;spent automobile catalyst;;market for rhodium;-0.00052;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;rhodium
eca46c2a27f742fb47c2bb94701577f0;catalytic converter production, three-way, 19.1l;RER;catalytic converter, three-way, 19.1l;;market for rhodium;0.0082;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;rhodium
