code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
02a0e44fb5e1e33014bbd72ebd4fc193;single-Si wafer production, for electronics;RER;single-Si wafer, for electronics;;market for silicon carbide;2.63;kilogram;silicon carbide;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
02a0e44fb5e1e33014bbd72ebd4fc193;single-Si wafer production, for electronics;RER;single-Si wafer, for electronics;;market for silicon, single crystal, Czochralski process, electronics;1.0748;kilogram;silicon, single crystal, Czochralski process, electronics;0.0;technosphere;RER;ecoinvent_3.9.1_consequential;silicon
02b64a961dc785b522633d57b5420296;aluminium production, primary, ingot;RoW;aluminium, primary, ingot;;market for silicon, metallurgical grade;0.0108;kilogram;silicon, metallurgical grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
0a15521754aa8ad4ad0cf431e432de37;offshore platform production, natural gas;GLO;offshore platform, natural gas;;market for silicon, metallurgical grade;379.0;kilogram;silicon, metallurgical grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
0ef4f02110b3ef294aa4e6a6cad5a6ae;magnesium-alloy production, AZ91;RER;magnesium-alloy, AZ91;;market for silicon, metallurgical grade;0.00203;kilogram;silicon, metallurgical grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
0fd6f05dc1d35c2e9382cc5bfc8c6e28;treatment of aluminium scrap, new, at remelter;RER;aluminium scrap, new;;market for silicon, metallurgical grade;0.01503102;kilogram;silicon, metallurgical grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
10469a1fc956920b0d855656189a41d4;treatment of spent sawing slurry from Si-wafer cutting;RoW;spent sawing slurry from Si-wafer cutting;;market for silicon carbide;-0.700002;kilogram;silicon carbide;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
1446ec63bedf3c669255e07d120bff20;cyclic N-compound production;RoW;cyclic N-compound;;market for silicon, metallurgical grade;0.0085691;kilogram;silicon, metallurgical grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
1522c6f15bb81760059116cdb826c41f;treatment of aluminium scrap, new, at refiner;RER;aluminium scrap, new;;market for silicon, metallurgical grade;0.00953304;kilogram;silicon, metallurgical grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
1611ade230ee3b9ec8802b14cab0b814;multi-Si wafer production, ribbon;RER;multi-Si wafer, ribbon;;market for silicon, electronics grade;0.1076996;kilogram;silicon, electronics grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
1611ade230ee3b9ec8802b14cab0b814;multi-Si wafer production, ribbon;RER;multi-Si wafer, ribbon;;market for silicon, solar grade;0.63230188;kilogram;silicon, solar grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
19713b97e6a94262f73f3ffc01162539;treatment of aluminium scrap, new, at refiner;RoW;aluminium scrap, new;;market for silicon, metallurgical grade;0.00953304;kilogram;silicon, metallurgical grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
199b0f9f78f2c13cb0212fe4ed924cc4;aluminium production, primary, ingot;IAI Area, South America;aluminium, primary, ingot;;market for silicon, metallurgical grade;0.0108;kilogram;silicon, metallurgical grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
1eb6ccb949899db4d5cf2a68651af516;silicon production, single crystal, Czochralski process, photovoltaics;RER;silicon, single crystal, Czochralski process, photovoltaics;;market for silicon, electronics grade;0.1557278;kilogram;silicon, electronics grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
1eb6ccb949899db4d5cf2a68651af516;silicon production, single crystal, Czochralski process, photovoltaics;RER;silicon, single crystal, Czochralski process, photovoltaics;;market for silicon, solar grade;0.91427434;kilogram;silicon, solar grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
1f6ad5aafb15c36a75a2ad73e1fcd826;polyurethane production, flexible foam, TDI-based, flame retardant;RER;polyurethane, flexible foam, flame retardant;;market for silicon, metallurgical grade;0.021478913;kilogram;silicon, metallurgical grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
25c28b28a2024165f0b3e845b3815b9e;magnesium-alloy production, AZ91;RoW;magnesium-alloy, AZ91;;market for silicon, metallurgical grade;0.00203;kilogram;silicon, metallurgical grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
28cb88dfdf69b80b7e5b2358d8ff490b;photovoltaic laminate production, a-Si;US;photovoltaic laminate, a-Si;;market for silicon tetrahydride;0.0035777;kilogram;silicon tetrahydride;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
2caa64f229f11c77d6a578f977e04805;aluminium production, primary, ingot;UN-OCEANIA;aluminium, primary, ingot;;market for silicon, metallurgical grade;0.0108;kilogram;silicon, metallurgical grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
3229a40512ba4e40dd4da1284c7f8e12;aluminium production, primary, ingot;CN;aluminium, primary, ingot;;market for silicon, metallurgical grade;0.0108;kilogram;silicon, metallurgical grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
38838e971d830200383329e7a2764247;multi-Si wafer production;RoW;multi-Si wafer;;market for silicon carbide;2.63;kilogram;silicon carbide;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
38838e971d830200383329e7a2764247;multi-Si wafer production;RoW;multi-Si wafer;;market for silicon, multi-Si, casted;1.1300685085714286;kilogram;silicon, multi-Si, casted;0.0;technosphere;RoW;ecoinvent_3.9.1_consequential;silicon
38838e971d830200383329e7a2764247;multi-Si wafer production;RoW;multi-Si wafer;;market for silicon, multi-Si, casted;0.010131491428571409;kilogram;silicon, multi-Si, casted;0.0;technosphere;CA-QC;ecoinvent_3.9.1_consequential;silicon
3b762391c88ac2690226f4b63bbf2cb3;silicon production, electronics grade;DE;silicon, electronics grade;;market for silicon, metallurgical grade;1.4802534193854;kilogram;silicon, metallurgical grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
3b762391c88ac2690226f4b63bbf2cb3;silicon production, electronics grade;DE;silicon, electronics grade;;market for silicon, solar grade;-0.124998519746581;kilogram;silicon, solar grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
41244f5bd4ca0f0c1c8e6c22d0e54f07;silicone product production;RER;silicone product;;market for silicon, metallurgical grade;0.085674;kilogram;silicon, metallurgical grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
41d56aedc4ff42ebf477e3a2a3d6f8a1;silicon production, solar grade, modified Siemens process;RoW;silicon, solar grade;;market for silicon, metallurgical grade;1.13;kilogram;silicon, metallurgical grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
4423c1545380f3610f09986ae6bc1468;treatment of aluminium scrap, post-consumer, by collecting, sorting, cleaning, pressing;RER;aluminium scrap, post-consumer;;market for silicon, metallurgical grade;0.00096;kilogram;silicon, metallurgical grade;0.0;technosphere;GLO;ecoinvent_3.9.1_consequential;silicon
