code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
0387196a56eb12762f38ea31ff35839f;primary zinc production from concentrate;RoW;gypsum, mineral;;market for magnesium;2.451398041045125e-08;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_3.9.1_cutoff;magnesium
06fa6535512bae8751edf30f86e68026;aluminium alloy production, Metallic Matrix Composite;CA-QC;aluminium alloy, metal matrix composite;;market for magnesium;0.0032727124668988548;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_3.9.1_cutoff;magnesium
07236f344f9b55d260e7e26e69aebb46;printer production, laser, colour;GLO;printer, laser, colour;;market for magnesium;0.0774;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_3.9.1_cutoff;magnesium
082f1769136fdaab9f3927b0f0824655;aluminium alloy production, AlMg3;RER;aluminium alloy, AlMg3;;market for magnesium;0.0305;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_3.9.1_cutoff;magnesium
08f985840a0cf7f5a228edda4967bb0f;titanium sponge production, from titanium tetrachloride;JP;titanium sponge;;market for magnesium;0.041;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_3.9.1_cutoff;magnesium
15108886942d1155095e9046404afdbe;tantalum powder production, capacitor-grade;CN;tantalum powder, capacitor-grade;;market for magnesium;0.336;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_3.9.1_cutoff;magnesium
1608ce808018afb0c784c6021a07d4e2;primary zinc production from concentrate;RoW;sulfur;;market for magnesium;2.705252759663306e-07;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_3.9.1_cutoff;magnesium
178ae88acaf1fe54bedcfa16c770660c;glider production, passenger car;GLO;glider, passenger car;;market for magnesium;0.0008509;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_3.9.1_cutoff;magnesium
203d506dca9b1ea303c8226ed0f1437e;aluminium alloy production, Metallic Matrix Composite;RoW;aluminium alloy, metal matrix composite;;market for magnesium;0.0032727124668988548;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_3.9.1_cutoff;magnesium
23a3a4a6bff00eb688e7e8c324c4d109;hafnium sponge production, from hafnium tetrachloride;US;hafnium sponge;;market for magnesium;0.01085220880279;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_3.9.1_cutoff;magnesium
29e941cd05298a6bb4c5eec99ea042a8;tantalum powder production, capacitor-grade;RoW;tantalum powder, capacitor-grade;;market for magnesium;0.336;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_3.9.1_cutoff;magnesium
2a6c43899b5f1c6566ef4714a8856c5b;primary zinc production from concentrate;RoW;copper, cathode;;market for magnesium;1.7508112305605746e-05;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_3.9.1_cutoff;magnesium
2dadda4658633dcb08181486572a7795;hafnium sponge production, from hafnium tetrachloride;FR;hafnium sponge;;market for magnesium;0.01085220880279;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_3.9.1_cutoff;magnesium
2e6f40bdf4316dd34e15f6caefcc5eaf;mandarin production;ZA;mandarin;;market for magnesium;3.10458e-05;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_3.9.1_cutoff;magnesium
2f1c7e5e9dbbea46985e6b737ce326c9;primary zinc production from concentrate;RoW;cadmium sludge from zinc electrolysis;;market for magnesium;4.853297278996015e-06;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_3.9.1_cutoff;magnesium
34d959358311c13e722d76aa8831a987;primary zinc production from concentrate;RoW;copper sulfate;;market for magnesium;1.8483541229480245e-05;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_3.9.1_cutoff;magnesium
3aaa763f7222f3475e0f0b33267a944a;printer production, laser, black/white;GLO;printer, laser, black/white;;market for magnesium;0.0774;kilogram;magnesium;0.0;technosphere;GLO;ecoinvent_3.9.1_cutoff;magnesium
