code;name;unit;location;reference product;database;material_group;ISIC;CPC
ecddc793de057b056c38a2a378711ece;market for silicon carbide;kilogram;GLO;silicon carbide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;silicon;2391:Manufacture of refractory products;373: Refractory products and structural non-refractory clay products
76253aca7f4c45701935634546516c34;market for silicon, single crystal, Czochralski process, electronics;kilogram;RER;silicon, single crystal, Czochralski process, electronics;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
b9ed569ca351f4620cfe5b8fbd1e3bb7;market for natural gas, high pressure;cubic meter;FI;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
21f289ca8150d47229f9d6b839ec92ef;market for natural gas, high pressure;cubic meter;IQ;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
6eb08a7183a7d47abc2fe15a924aa4f1;market for natural gas, low pressure;cubic meter;TR;natural gas, low pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
9390b5fbceab4a98b1ce4730d42f70b0;market for natural gas, high pressure;cubic meter;IND;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
3e30c3faf44cedb720e45de628f4ece8;market for bauxite;kilogram;GLO;bauxite;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;bauxite;0729:Mining of other non-ferrous metal ores;14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
52e763f4695c75deb689a809de0926c3;market for cement, unspecified;kilogram;US;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
adf6b256c5f441d689a3ed948004f9b0;market for cement, unspecified;kilogram;JPN;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
856e61df08151a0ade129c99b8e63b94;market for indium;kilogram;GLO;indium;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;indium;2011:Manufacture of basic chemicals;"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]"
