CPC;EcoSpold01Categories;ISIC rev.4 ecoinvent;code;database;location;material_group;name;production amount;reference product;unit
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;4f14499e10cf4f8e94b58e5a7f82f79a;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;IND;cement;market for cement, CEM II/A;;cement, CEM II/A;kilogram
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;95f51343438842d993617ae0c2fccacb;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;NEU;hydrogen;market for hydrogen, gaseous, 20-year period;;hydrogen, gaseous;kilogram
17100: Electrical energy;;3821:Treatment and disposal of non-hazardous waste;c5a026e5a23642051aab6aa454f067b2;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;KR;electricity;market for electricity, for reuse in municipal waste incineration only;;electricity, for reuse in municipal waste incineration only;kilowatt hour
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;46ac2f3e23c0d85cb0f163d5b874eea7;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;GA;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
342: Basic inorganic chemicals n.e.c.;metals/extraction;2011:Manufacture of basic chemicals;ae337939d6b260592d04d58fe36e3ce6;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;GLO;cadmium;market for cadmium telluride, semiconductor-grade;;cadmium telluride, semiconductor-grade;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;05f0f991be4841cab859defc0603d005;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;LAM;cement;market for cement, CP II-F;;cement, CP II-F;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;0a806c2341a542548d5729f7887e17cd;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;EUR;cement;market for cement, CEM III/C;;cement, CEM III/C;kilogram
17100: Electrical energy;photovoltaic/power plants;3510:Electric power generation, transmission and distribution;3a8accbf06701a9a4510fcce80e2c083;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;CW;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";c32e5fc77a7f4e40a9373f9e6a382f59;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;JPN;natural gas;market for natural gas, high pressure, 40-year period;;natural gas, high pressure;cubic meter
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;a59a11d4f05a43f98ca15d0dda4393e4;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;CHA;cement;market for cement, CEM III/B;;cement, CEM III/B;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;f59e5a9b02fa4f5082d2280fe4e71210;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;JPN;cement;market for cement, CP II-E;;cement, CP II-E;kilogram
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;f5f5aea9a7bf917a3839f15f3fb1c717;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;EC;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;81d053aa448640aea440f017cd8da3a9;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;LAM;cement;market for cement, type I (SM);;cement, type I (SM);kilogram
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;4d47d762769443a0a9de329cebeff458;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;World;cement;market for cement, CEM II/B;;cement, CEM II/B;kilogram
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";e0cca72629574ede8ae494cacc9a1f96;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;USA;natural gas;market for natural gas, high pressure;;natural gas, high pressure;cubic meter
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;80a1e147db49fa1b01a32e486aba6792;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;BJ;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
17100: Electrical energy;photovoltaic/power plants;3510:Electric power generation, transmission and distribution;2e53fd8817bd1966bf0ef9411073aadc;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;GH;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";fc3a273c48fd4808bdb1b3c90180548e;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;REF;natural gas;market for natural gas, high pressure, 40-year period;;natural gas, high pressure;cubic meter
"34220: Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…]";chemicals/inorganics;2011:Manufacture of basic chemicals;8cd173a669094cbf914bd42b379dfbe9;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;GLO;lithium;market for lithium hydroxide, battery grade;;lithium hydroxide, battery grade;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;9ab8b6957ad448b88adba59d918e79c6;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;LAM;cement;market for cement, CEM III/C;;cement, CEM III/C;kilogram
34290: Compounds of rare earth metals, of yttrium or of scandium;;0729:Mining of other non-ferrous metal ores;54d28d7cfde49e7718bdf0bb474b78c1;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;GLO;europium;market for europium oxide;;europium oxide;kilogram
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;db791a41b05545c38bde4526bdc88de9;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;CAZ;hydrogen;market for hydrogen, gaseous, 60-year period;;hydrogen, gaseous;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;d4d1029b141ebc5c9064bf196a373e52;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;BR;cement;market for cement, CP IV;;cement, CP IV;kilogram
17100: Electrical energy;photovoltaic/power plants;3510:Electric power generation, transmission and distribution;779c8d24ff01f597fd512d65e32b8431;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;ZW;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;bab6ca9a17f243efbb34ec3920e21747;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;OAS;cement;market for cement, CEM IV/A;;cement, CEM IV/A;kilogram
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;c6343bbacf6112213284c0b0c2d1cfc0;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;GI;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
17100: Electrical energy;;3821:Treatment and disposal of non-hazardous waste;ac3d27d96ee23de615c012f6c90916c1;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;PT;electricity;market for electricity, for reuse in municipal waste incineration only;;electricity, for reuse in municipal waste incineration only;kilowatt hour
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;a8d289d2e82c406ab0362ec15f13610e;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;LAM;hydrogen;market for hydrogen, gaseous, 40-year period;;hydrogen, gaseous;kilogram
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";56673abed84e84127218c13c4e72a080;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;KZ;natural gas;market for natural gas, high pressure;;natural gas, high pressure;cubic meter
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;dae5b6f30d092398a57e85f6b3986e3e;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;BJ;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
17100: Electrical energy;photovoltaic/power plants;3510:Electric power generation, transmission and distribution;af2f8a3d8659fd79087b6a3d232d1b7f;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;IQ;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;430debab821cc15c63f695cc837ff415;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;LU;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";ba304b1232104b17a20d766332bc80f6;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;IND;natural gas;market for natural gas, high pressure, 60-year period;;natural gas, high pressure;cubic meter
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;52e763f4695c75deb689a809de0926c3;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;US;cement;market for cement, unspecified;;cement, unspecified;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;45fef9b4da04dbafc0163ee22a5bcc58;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;AR;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;09a9e20b99fb3f7cb97bd5bcddb765a4;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;CI;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;1ec1235f41d74f629a4783c4521789d5;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;SSA;cement;market for cement, CEM III/C;;cement, CEM III/C;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;57b61625251c49caab161ee73fbf4eda;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;MEA;cement;market for cement, Portland;;cement, Portland;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;b302590cbc3b4ae3911e158e97bb4eb2;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;NEU;cement;market for cement, CP III;;cement, CP III;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;aed7b443445f51ce1f51d1659e9d637f;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;GA;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;9b67c7d8271163aa39af878b1cb5ea92;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;TG;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;435297cc217054adafbd65873ebe9b54;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;TZ;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;7a212f49a7e34d03a2b6491d9afd8dd8;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;MEA;cement;market for cement, CEM II/A-L;;cement, CEM II/A-L;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;16756026f67f45b0ac51a7b171947700;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;CHA;cement;market for cement, type I (SM);;cement, type I (SM);kilogram
14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates);construction materials/additives;0729:Mining of other non-ferrous metal ores;c3f8dcd117ff5691f137f0957f08e412;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;GLO;strontium;market for strontium sulfate, 90% SrSO4;;strontium sulfate, 90% SrSO4;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;c279dfe051978e642ae5ddf63603638f;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;KP;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;7e4893a7b78b4ae3a9beadcdeef5bcba;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;IND;cement;market for cement, CEM IV/A;;cement, CEM IV/A;kilogram
342: Basic inorganic chemicals n.e.c.;chemicals/inorganics;2011:Manufacture of basic chemicals;d8df5bd8a8623ef92ee10dd07f6ee7de;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;GLO;graphite;market for graphite, battery grade;;graphite, battery grade;kilogram
"33620: Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products[…]";nuclear power/production;2011:Manufacture of basic chemicals;144a8b0d13ced3b2c6974045fa91eaa5;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;GLO;uranium;market for uranium, enriched 3.0%, per separative work unit;;uranium, enriched 3.0%, per separative work unit;unit
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;896fbfff5846433175f6b669901ced70;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;BR;cement;market for cement, CP II-F;;cement, CP II-F;kilogram
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;9dda7f224e77fc74fb02afe71813d089;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;PE;cement;market for cement, unspecified;;cement, unspecified;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;7cbd7ed2de514ee5ab9e0d5299637b11;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;World;cement;market for cement, type ICo;;cement, type ICo;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;919ffdb8ad1340488d3cbeb2a83b4ffd;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;NEU;cement;market for cement, CEM II/B-S;;cement, CEM II/B-S;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;dee24e32bc2348928ec01f3d0070bb5b;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;IND;cement;market for cement, CP V RS;;cement, CP V RS;kilogram
34: Basic chemicals;;3600:Water collection, treatment and supply;bec4943f036846262e88a40916df453d;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;RoW;water;market for water, ultrapure;;water, ultrapure;kilogram
17100: Electrical energy;hard coal/power plants;3510:Electric power generation, transmission and distribution;3480e8698bb2d64c2053e942ab4fdac2;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;GLO;electricity;market for electricity, high voltage, for internal use in coal mining;;electricity, high voltage, for internal use in coal mining;kilowatt hour
17100: Electrical energy;photovoltaic/power plants;3510:Electric power generation, transmission and distribution;96a9ea13aa5b03ff9f94862b9a9f419a;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;UZ;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
41310: Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder […];metals/extraction;0729:Mining of other non-ferrous metal ores;e82e91c0b572e044b71a69b32bf53388;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;GLO;silver;market for silver;;silver;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;5c131f9461706b86395e67c08bd23185;ecoinvent_cutoff_3.9_remind_SSP1-Base_2025;UA;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
