code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
01681cdd81bf3911a2475a926c000316;uranium production, centrifuge, enriched 4.2%;GB;uranium, enriched 4.2%, per separative work unit;;market for uranium enrichment centrifuge facility;2.22e-08;unit;uranium enrichment centrifuge facility;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
01681cdd81bf3911a2475a926c000316;uranium production, centrifuge, enriched 4.2%;GB;uranium, enriched 4.2%, per separative work unit;;market for uranium hexafluoride;1.43;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
01f1fd12acc2e482521eaf49e3da78f3;uranium fuel element production, enriched 4%, for light water reactor;DE;uranium, enriched 4%, in fuel element for light water reactor;;market for uranium, enriched 4.0%, per separative work unit;5.72;unit;uranium, enriched 4.0%, per separative work unit;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
0919171fc84f3dd3ed892700571f313b;electricity production, nuclear, boiling water reactor;ES;electricity, high voltage;;market for uranium, enriched 3.8%, in fuel element for light water reactor;2.68e-06;kilogram;uranium, enriched 3.8%, in fuel element for light water reactor;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
09c7b3e2b03cf85777f2799988098c70;nuclear fuel element production, for pressure water reactor, UO2 3.9% & MOX;RoW;nuclear fuel element, for pressure water reactor, UO2 3.9% & MOX;;market for uranium, enriched 3.9%, in fuel element for light water reactor;0.87;kilogram;uranium, enriched 3.9%, in fuel element for light water reactor;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
0a76ac369e204afc863457d3c1f5a5f2;uranium, enriched 4.8%, at centrifuge enrichment plant;FR;uranium, enriched 4.8%, at centrifuge enrichment plant;;market for uranium enrichment centrifuge facility;2.22e-08;unit;uranium enrichment centrifuge facility;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
0a76ac369e204afc863457d3c1f5a5f2;uranium, enriched 4.8%, at centrifuge enrichment plant;FR;uranium, enriched 4.8%, at centrifuge enrichment plant;;market for uranium hexafluoride;1.38;kilogram;uranium hexafluoride;;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
156bb62d6d54f22dbdcb7135d6d98d9c;electricity production, nuclear, pressure water reactor, heavy water moderated;RU;electricity, high voltage;;market for uranium hexafluoride;2.36373748609566e-05;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
15a0b93e0a9b3ded8b498afd5aa591d8;uranium hexafluoride production;RoW;uranium hexafluoride;;market for uranium conversion facility;3.13e-09;unit;uranium conversion facility;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
15a0b93e0a9b3ded8b498afd5aa591d8;uranium hexafluoride production;RoW;uranium hexafluoride;;market for uranium, in yellowcake;1.0;kilogram;uranium, in yellowcake;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
16a521558b6f49eea49caf2a30d94964;electricity production, nuclear, pressure water reactor, heavy water moderated;KR;electricity, high voltage;;market for uranium hexafluoride;2.36373748609566e-05;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
173424c42f7cba353ca814c320f93a17;electricity production, nuclear, pressure water reactor, heavy water moderated;IN-GJ;electricity, high voltage;;market for uranium hexafluoride;2.36373748609566e-05;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
180b190f6b1de4a881eb0b49229ccf8b;electricity production, nuclear, boiling water reactor;IN-MH;electricity, high voltage;;market for uranium, enriched 3.8%, in fuel element for light water reactor;2.68e-06;kilogram;uranium, enriched 3.8%, in fuel element for light water reactor;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
1a62e13cac71f505fcfc3e2e78f3c290;uranium production, diffusion, enriched 3.8%;FR;uranium, enriched 3.8%, per separative work unit;;market for uranium enrichment diffusion facility;3.81e-09;unit;uranium enrichment diffusion facility;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
1a62e13cac71f505fcfc3e2e78f3c290;uranium production, diffusion, enriched 3.8%;FR;uranium, enriched 3.8%, per separative work unit;;market for uranium hexafluoride;1.48;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
1ad8da79e11c0d6a3a8a175d985b464a;uranium fuel element production, enriched 3.8%, for light water reactor;CN;uranium, enriched 3.8%, in fuel element for light water reactor;;market for uranium, enriched 3.8%, per separative work unit;5.31;unit;uranium, enriched 3.8%, per separative work unit;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
25db6dcc4def1eec67d8b43c2409bd3e;electricity production, nuclear, boiling water reactor;CH;electricity, high voltage;;market for uranium, enriched 3.8%, in fuel element for light water reactor;2.68e-06;kilogram;uranium, enriched 3.8%, in fuel element for light water reactor;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
26063b44795f7227843b000632a02666;uranium fuel element production, enriched 3.0%, for light water reactor;US;uranium, enriched 3.0%, in fuel element for light water reactor;;market for uranium, enriched 3.0%, per separative work unit;3.73;unit;uranium, enriched 3.0%, per separative work unit;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
26df5d63281ca67d66ce8647302966c0;uranium production, centrifuge, enriched 3.8%;RoW;uranium, enriched 3.8%, per separative work unit;;market for uranium enrichment centrifuge facility;2.22e-08;unit;uranium enrichment centrifuge facility;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
26df5d63281ca67d66ce8647302966c0;uranium production, centrifuge, enriched 3.8%;RoW;uranium, enriched 3.8%, per separative work unit;;market for uranium hexafluoride;0.2827551533433882;kilogram;uranium hexafluoride;0.0;technosphere;US;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
26df5d63281ca67d66ce8647302966c0;uranium production, centrifuge, enriched 3.8%;RoW;uranium, enriched 3.8%, per separative work unit;;market for uranium hexafluoride;1.197244846656612;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
2a74611bdd5682ac697b0255c8efc025;uranium production, diffusion, enriched 4.0%;FR;uranium, enriched 4.0%, per separative work unit;;market for uranium enrichment diffusion facility;3.81e-09;unit;uranium enrichment diffusion facility;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
2a74611bdd5682ac697b0255c8efc025;uranium production, diffusion, enriched 4.0%;FR;uranium, enriched 4.0%, per separative work unit;;market for uranium hexafluoride;1.45;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
2dd2d84dc722640a9e58f0e82940619e;electricity production, nuclear, pressure water reactor, heavy water moderated;CA-NB;electricity, high voltage;;market for uranium hexafluoride;2.36373748609566e-05;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
2e64482b20101b7a8043ee03287707cf;electricity production, nuclear, pressure water reactor, heavy water moderated;CA-ON;electricity, high voltage;;market for uranium hexafluoride;2.36373748609566e-05;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
2f4ba0f94670070849a05030c40dc7f8;electricity production, nuclear, boiling water reactor;JP;electricity, high voltage;;market for uranium, enriched 3.8%, in fuel element for light water reactor;2.68e-06;kilogram;uranium, enriched 3.8%, in fuel element for light water reactor;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
2fd0a8be09830eb5d25a07a06614252d;uranium fuel element production, enriched 4%, for light water reactor;RoW;uranium, enriched 4%, in fuel element for light water reactor;;market for uranium, enriched 4.0%, per separative work unit;5.72;unit;uranium, enriched 4.0%, per separative work unit;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
31cd3eb03c4442955ac4ce17db9bbf0f;electricity production, nuclear, boiling water reactor;SE;electricity, high voltage;;market for uranium, enriched 3.8%, in fuel element for light water reactor;2.68e-06;kilogram;uranium, enriched 3.8%, in fuel element for light water reactor;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
351ff8cf2a3672039b6b6d878c495c70;electricity production, nuclear, pressure water reactor, heavy water moderated;RO;electricity, high voltage;;market for uranium hexafluoride;2.36373748609566e-05;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
3d8dd5bfeb5ed05a5b0f028d0fa8e37a;electricity production, nuclear, boiling water reactor;US-TRE;electricity, high voltage;;market for uranium, enriched 3.8%, in fuel element for light water reactor;2.68e-06;kilogram;uranium, enriched 3.8%, in fuel element for light water reactor;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
3eb414cecf71ad39f9b0df5dc57b69c5;electricity production, nuclear, boiling water reactor;GB;electricity, high voltage;;market for uranium, enriched 3.8%, in fuel element for light water reactor;2.68e-06;kilogram;uranium, enriched 3.8%, in fuel element for light water reactor;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
4276518d8e93ef65a435b1ef4a8101aa;uranium production, centrifuge, enriched 4.0%;RU;uranium, enriched 4.0%, per separative work unit;;market for uranium hexafluoride;1.45;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
4560c57a2a2603685335e884b8a95c57;electricity production, nuclear, boiling water reactor;US-WECC;electricity, high voltage;;market for uranium, enriched 3.8%, in fuel element for light water reactor;2.68e-06;kilogram;uranium, enriched 3.8%, in fuel element for light water reactor;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
47a8dff29a497718b4043ce2fe9568b8;uranium hexafluoride production;CN;uranium hexafluoride;;market for uranium, in yellowcake;1.0;kilogram;uranium, in yellowcake;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
48ff26f27817072f40d40f1adfe88654;uranium production, centrifuge, enriched 3.8%;RU;uranium, enriched 3.8%, per separative work unit;;market for uranium hexafluoride;1.48;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
49395af5abbb49bb471bb7cf7b0dae39;electricity production, nuclear, pressure water reactor, heavy water moderated;JP;electricity, high voltage;;market for uranium hexafluoride;2.36373748609566e-05;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
4b1c59e02f53d381afb29d540128aab7;uranium production, diffusion, enriched 3.9%;FR;uranium, enriched 3.9%, per separative work unit;;market for uranium enrichment diffusion facility;3.81e-09;unit;uranium enrichment diffusion facility;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
4b1c59e02f53d381afb29d540128aab7;uranium production, diffusion, enriched 3.9%;FR;uranium, enriched 3.9%, per separative work unit;;market for uranium hexafluoride;1.47;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
4b4debd4533195c92b2a626a85ab0b67;uranium production, diffusion, enriched 3.8%;US;uranium, enriched 3.8%, per separative work unit;;market for uranium hexafluoride;1.48;kilogram;uranium hexafluoride;0.0;technosphere;US;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
513b8c447914ae1a34c86d1aad207d64;uranium production, centrifuge, enriched 3.9%;GB;uranium, enriched 3.9%, per separative work unit;;market for uranium enrichment centrifuge facility;2.22e-08;unit;uranium enrichment centrifuge facility;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
513b8c447914ae1a34c86d1aad207d64;uranium production, centrifuge, enriched 3.9%;GB;uranium, enriched 3.9%, per separative work unit;;market for uranium hexafluoride;1.47;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
529ff75a62c9819e6a3f4b1a1a0a88b6;uranium production, in yellowcake;RNA;uranium, in yellowcake;;market for uranium mill;1.35e-07;unit;uranium mill;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
529ff75a62c9819e6a3f4b1a1a0a88b6;uranium production, in yellowcake;RNA;uranium, in yellowcake;;market for uranium ore, as U;1.05;kilogram;uranium ore, as U;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
53e5d27e43c4ada912a48c121142449d;uranium production, centrifuge, enriched 4.2%;RU;uranium, enriched 4.2%, per separative work unit;;market for uranium hexafluoride;1.43;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
58554dd5caacd933400a8455adb0e6a2;uranium production, in yellowcake;RoW;uranium, in yellowcake;;market for uranium mill;1.35e-07;unit;uranium mill;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
58554dd5caacd933400a8455adb0e6a2;uranium production, in yellowcake;RoW;uranium, in yellowcake;;market for uranium ore, as U;1.05;kilogram;uranium ore, as U;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
5a5d8a81fcde425527b2eb3bc72971bb;uranium fuel element production, enriched 3.8%, for light water reactor;RoW;uranium, enriched 3.8%, in fuel element for light water reactor;;market for uranium, enriched 3.8%, per separative work unit;5.31;unit;uranium, enriched 3.8%, per separative work unit;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
5a830628e97d4bbac264b8c605dfbd4b;electricity production, nuclear, pressure water reactor, heavy water moderated;IN-UP;electricity, high voltage;;market for uranium hexafluoride;2.36373748609566e-05;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
5aeb3fbb68351b44f49852bd4886de38;uranium production, centrifuge, enriched 4.0%;RoW;uranium, enriched 4.0%, per separative work unit;;market for uranium enrichment centrifuge facility;2.22e-08;unit;uranium enrichment centrifuge facility;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
5aeb3fbb68351b44f49852bd4886de38;uranium production, centrifuge, enriched 4.0%;RoW;uranium, enriched 4.0%, per separative work unit;;market for uranium hexafluoride;0.040792838874680395;kilogram;uranium hexafluoride;0.0;technosphere;CN;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
5aeb3fbb68351b44f49852bd4886de38;uranium production, centrifuge, enriched 4.0%;RoW;uranium, enriched 4.0%, per separative work unit;;market for uranium hexafluoride;1.4092071611253194;kilogram;uranium hexafluoride;0.0;technosphere;US;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
6144d7f8c252897b0241b8d4bdf1f5f6;nuclear fuel element production, for boiling water reactor, UO2 4.0% & MOX;UCTE without Germany;nuclear fuel element, for boiling water reactor, UO2 4.0% & MOX;;market for uranium, enriched 4%, in fuel element for light water reactor;0.92;kilogram;uranium, enriched 4%, in fuel element for light water reactor;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
61eb02013d0a9ae65dc86671f9ee44b5;uranium production, diffusion, enriched 3.9%;US;uranium, enriched 3.9%, per separative work unit;;market for uranium hexafluoride;1.47;kilogram;uranium hexafluoride;0.0;technosphere;US;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
6391da3313f16825ff49f364cb3e0417;electricity production, nuclear, boiling water reactor;US-MRO;electricity, high voltage;;market for uranium, enriched 3.8%, in fuel element for light water reactor;2.68e-06;kilogram;uranium, enriched 3.8%, in fuel element for light water reactor;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
648da6fa822261c38e2d4d808fcb4eeb;uranium production, centrifuge, enriched 3.0%;RoW;uranium, enriched 3.0%, per separative work unit;;market for uranium enrichment centrifuge facility;2.22e-08;unit;uranium enrichment centrifuge facility;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
648da6fa822261c38e2d4d808fcb4eeb;uranium production, centrifuge, enriched 3.0%;RoW;uranium, enriched 3.0%, per separative work unit;;market for uranium hexafluoride;0.3114127702362991;kilogram;uranium hexafluoride;0.0;technosphere;US;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
648da6fa822261c38e2d4d808fcb4eeb;uranium production, centrifuge, enriched 3.0%;RoW;uranium, enriched 3.0%, per separative work unit;;market for uranium hexafluoride;1.318587229763701;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
698dd5d61fe0262b6eab89b7b71bd75c;electricity production, nuclear, pressure water reactor, heavy water moderated;IN-MH;electricity, high voltage;;market for uranium hexafluoride;2.36373748609566e-05;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
6cca52b10377e29e2617d106d609c210;uranium production, diffusion, enriched 4.0%;US;uranium, enriched 4.0%, per separative work unit;;market for uranium hexafluoride;1.45;kilogram;uranium hexafluoride;0.0;technosphere;US;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
6d3da79235e5ae81b46961a6fcd00c8a;uranium production, centrifuge, enriched 4.2%;DE;uranium, enriched 4.2%, per separative work unit;;market for uranium enrichment centrifuge facility;2.22e-08;unit;uranium enrichment centrifuge facility;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
6d3da79235e5ae81b46961a6fcd00c8a;uranium production, centrifuge, enriched 4.2%;DE;uranium, enriched 4.2%, per separative work unit;;market for uranium hexafluoride;1.43;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
6d9bd6fb795e1454edd7391eef708ec1;uranium production, centrifuge, enriched 4.2%;NL;uranium, enriched 4.2%, per separative work unit;;market for uranium enrichment centrifuge facility;2.22e-08;unit;uranium enrichment centrifuge facility;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
6d9bd6fb795e1454edd7391eef708ec1;uranium production, centrifuge, enriched 4.2%;NL;uranium, enriched 4.2%, per separative work unit;;market for uranium hexafluoride;1.43;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
6e15bcee03dd0bcd9a9f7c82472c093c;electricity production, nuclear, pressure water reactor, heavy water moderated;AR;electricity, high voltage;;market for uranium hexafluoride;2.36373748609566e-05;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
753b1f6a2e5db1681f769c48a96d6879;electricity production, nuclear, boiling water reactor;US-SERC;electricity, high voltage;;market for uranium, enriched 3.8%, in fuel element for light water reactor;2.68e-06;kilogram;uranium, enriched 3.8%, in fuel element for light water reactor;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
75e01c373075bad6ffbfa16e401f27b0;uranium production, centrifuge, enriched 3.8%;NL;uranium, enriched 3.8%, per separative work unit;;market for uranium enrichment centrifuge facility;2.22e-08;unit;uranium enrichment centrifuge facility;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
75e01c373075bad6ffbfa16e401f27b0;uranium production, centrifuge, enriched 3.8%;NL;uranium, enriched 3.8%, per separative work unit;;market for uranium hexafluoride;1.48;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
76f922e8c39c56e4a4e7cbabf42a5dab;uranium production, diffusion, enriched 4.2%;US;uranium, enriched 4.2%, per separative work unit;;market for uranium hexafluoride;1.43;kilogram;uranium hexafluoride;0.0;technosphere;US;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
7717fde6f4f1534ccc48fcaf044d9c09;electricity production, nuclear, pressure water reactor, heavy water moderated;RoW;electricity, high voltage;;market for uranium hexafluoride;2.36373748609566e-05;kilogram;uranium hexafluoride;0.0;technosphere;US;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
7a636611ff1a003f5be5034bf881e46d;nuclear fuel element production, for pressure water reactor, UO2 4.0% & MOX;DE;nuclear fuel element, for pressure water reactor, UO2 4.0% & MOX;;market for uranium, enriched 4%, in fuel element for light water reactor;0.85;kilogram;uranium, enriched 4%, in fuel element for light water reactor;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
7ae0c3b1d6145c9e4eff219c680d0bb6;uranium fuel element production, enriched 3.8%, for light water reactor;US;uranium, enriched 3.8%, in fuel element for light water reactor;;market for uranium, enriched 3.8%, per separative work unit;5.31;unit;uranium, enriched 3.8%, per separative work unit;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
80cb9e766034762126671c253aaef0df;nuclear fuel element production, for pressure water reactor, UO2 4.0% & MOX;RoW;nuclear fuel element, for pressure water reactor, UO2 4.0% & MOX;;market for uranium, enriched 4%, in fuel element for light water reactor;0.85;kilogram;uranium, enriched 4%, in fuel element for light water reactor;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
8a2b3ec36466ed71c9eb29ba5d5ad7f1;uranium production, centrifuge, enriched 3.9%;DE;uranium, enriched 3.9%, per separative work unit;;market for uranium enrichment centrifuge facility;2.22e-08;unit;uranium enrichment centrifuge facility;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
8a2b3ec36466ed71c9eb29ba5d5ad7f1;uranium production, centrifuge, enriched 3.9%;DE;uranium, enriched 3.9%, per separative work unit;;market for uranium hexafluoride;1.47;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
8cae80f3dc9ccd28ce0ffcc36326b7f2;electricity production, nuclear, pressure water reactor, heavy water moderated;CA-QC;electricity, high voltage;;market for uranium hexafluoride;2.36373748609566e-05;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
8cb35ce13867e9a4c3b5585ee9759ea9;uranium production, centrifuge, enriched 3.8%;DE;uranium, enriched 3.8%, per separative work unit;;market for uranium enrichment centrifuge facility;2.22e-08;unit;uranium enrichment centrifuge facility;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
8cb35ce13867e9a4c3b5585ee9759ea9;uranium production, centrifuge, enriched 3.8%;DE;uranium, enriched 3.8%, per separative work unit;;market for uranium hexafluoride;1.48;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
8e03136c3daf5325d62689a117849851;electricity production, nuclear, boiling water reactor;US-RFC;electricity, high voltage;;market for uranium, enriched 3.8%, in fuel element for light water reactor;2.68e-06;kilogram;uranium, enriched 3.8%, in fuel element for light water reactor;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
8e693304a8fdc372c0350ac58e086dee;uranium production, centrifuge, enriched 3.9%;NL;uranium, enriched 3.9%, per separative work unit;;market for uranium enrichment centrifuge facility;2.22e-08;unit;uranium enrichment centrifuge facility;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
8e693304a8fdc372c0350ac58e086dee;uranium production, centrifuge, enriched 3.9%;NL;uranium, enriched 3.9%, per separative work unit;;market for uranium hexafluoride;1.47;kilogram;uranium hexafluoride;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
93948b858a0f6fd5593c2ab559ba0d66;electricity production, nuclear, boiling water reactor;RoW;electricity, high voltage;;market for uranium, enriched 3.8%, in fuel element for light water reactor;2.68e-06;kilogram;uranium, enriched 3.8%, in fuel element for light water reactor;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
96da856d3a0768f061ecf841ebc2c6fa;uranium fuel element production, enriched 3.8%, for light water reactor;CH;uranium, enriched 3.8%, in fuel element for light water reactor;;market for uranium, enriched 3.8%, per separative work unit;5.31;unit;uranium, enriched 3.8%, per separative work unit;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
97437b7eb6b5820b8b890f953424cd50;uranium fuel element production, enriched 3.8%, for light water reactor;FR;uranium, enriched 3.8%, in fuel element for light water reactor;;market for uranium, enriched 3.8%, per separative work unit;5.31;unit;uranium, enriched 3.8%, per separative work unit;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
9825be9ef54526822e1919b70e11fbf3;uranium production, centrifuge, enriched 3.9%;RoW;uranium, enriched 3.9%, per separative work unit;;market for uranium enrichment centrifuge facility;2.22e-08;unit;uranium enrichment centrifuge facility;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
9825be9ef54526822e1919b70e11fbf3;uranium production, centrifuge, enriched 3.9%;RoW;uranium, enriched 3.9%, per separative work unit;;market for uranium hexafluoride;0.04135549872122771;kilogram;uranium hexafluoride;0.0;technosphere;CN;ecoinvent_cutoff_3.9_remind_SSP1-Base_2045;uranium
