code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
3dd1937dfad789d9e7661ce91352cc12;petroleum refinery operation;CH;naphtha;;market for rhodium;3.053313910697948e-09;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2050;rhodium
415c11b96985fb5adfe9c04f27a23f72;petroleum refinery operation;CH;refinery gas;;market for rhodium;2.0148796178814885e-10;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2050;rhodium
44f38d24eb72c0e846d71cd56db1451a;rhodium to generic market for metal catalyst for catalytic converter;GLO;metal catalyst for catalytic converter;;market for rhodium;1.0;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2050;rhodium
457364de5a2a798f5dd4645f24bdc104;petroleum refinery operation;CH;electricity, high voltage;;market for rhodium;1.2303358666688834e-10;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2050;rhodium
47c42108a24e69fe2233d824322a8b81;petroleum refinery operation;CH;sulfur;;market for rhodium;6.948533239245205e-11;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2050;rhodium
703449dd6dc87f2c2e1b568aabd731b3;catalytic converter production, three-way, 19.1l;RoW;catalytic converter, three-way, 19.1l;;market for rhodium;0.0082;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2050;rhodium
b42642b41f907c4b302fe026ca81f405;petroleum refinery operation;CH;petrol, unleaded;;market for rhodium;3.1356957424487043e-09;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2050;rhodium
b7e80540edceeec98aa24816d696e2b5;catalytic converter production, three-way, mini CHP plant;RoW;catalytic converter, three-way, mini CHP plant;;market for rhodium;0.00016;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2050;rhodium
ce2b7bac9fbc144a8f1ecb742b19ff03;petroleum refinery operation;CH;liquefied petroleum gas;;market for rhodium;6.612807340709302e-10;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2050;rhodium
ea4b4f03e2e1b41e5cfca24c05937d28;catalytic converter production, three-way, 19.1l;RER;catalytic converter, three-way, 19.1l;;market for rhodium;0.0082;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2050;rhodium
f3541da28327b6759dfa1bb31c20606b;catalytic converter production, three-way, mini CHP plant;CH;catalytic converter, three-way, mini CHP plant;;market for rhodium;0.00016;kilogram;rhodium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2050;rhodium
