code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
002fce5de370d96ffed2555e6010b9f1;treatment of hard coal ash, municipal incineration;RoW;hard coal ash;;market for titanium dioxide;8.5557e-06;kilogram;titanium dioxide;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
00441e351532792ba3d5b23b8994dc63;treatment of municipal solid waste, incineration;CZ;municipal solid waste;;market for titanium dioxide;4.3794e-05;kilogram;titanium dioxide;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
005963c6bc8604befbe9e5db9aef0ca1;treatment of sewage sludge, 70% water, WWT, WW from plywood production, municipal incineration;GLO;sewage sludge, 70% water, WWT, WW from plywood production;;market for titanium dioxide;5.091339566666666e-06;kilogram;titanium dioxide;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
005963c6bc8604befbe9e5db9aef0ca1;treatment of sewage sludge, 70% water, WWT, WW from plywood production, municipal incineration;GLO;sewage sludge, 70% water, WWT, WW from plywood production;;market for titanium dioxide;1.0182679133333332e-05;kilogram;titanium dioxide;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
0180544f80ca89ce5028ef689e8a4eb2;treatment of waste building wood, chrome preserved, municipal incineration with fly ash extraction;CH;waste building wood, chrome preserved;;market for titanium dioxide;2.8818e-05;kilogram;titanium dioxide;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
02411f4d0c231829b12f15aeb0b08ba4;aircraft production, passenger aircraft, short haul;GLO;aircraft, passenger, short haul;;market for titanium;2027.481945;kilogram;titanium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
02468870e1d28d544ba2dfc774a7e0bf;treatment of waste rubber, unspecified, municipal incineration;Europe without Switzerland;waste rubber, unspecified;;market for titanium dioxide;6.3872e-05;kilogram;titanium dioxide;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
03e4a1bb54470555791ac9013e05847d;acrylic filler production;RoW;acrylic filler;;market for titanium dioxide;0.02;kilogram;titanium dioxide;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
042ca442106a699ea05217172d5a9541;polypropylene production, granulate;RER;polypropylene, granulate;;market for titanium tetrachloride;0.00109493311153674;kilogram;titanium tetrachloride;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
045638062f279dda332a87c7caabfff6;casting, aluminium, lost-wax;RoW;casting, aluminium, lost-wax;;market for titanium dioxide;0.011070051333333332;kilogram;titanium dioxide;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
045638062f279dda332a87c7caabfff6;casting, aluminium, lost-wax;RoW;casting, aluminium, lost-wax;;market for titanium dioxide;0.022140102666666665;kilogram;titanium dioxide;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
05f3bcea2adc0750ebeb720a82945eac;treatment of waste polypropylene, municipal incineration with fly ash extraction;CH;waste polypropylene;;market for titanium dioxide;6.1403e-05;kilogram;titanium dioxide;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
06023bc9a33671d30648cffd4f207e4d;treatment of municipal solid waste, incineration;CA-PE;municipal solid waste;;market for titanium dioxide;4.3794e-05;kilogram;titanium dioxide;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
0626e0bf64939f440a51fa7fc81dd767;treatment of waste polystyrene, sanitary landfill;RoW;waste polystyrene;;market for titanium dioxide;1.95e-09;kilogram;titanium dioxide;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
065d53726723619db26276578a61ed6b;treatment of municipal solid waste, incineration;NL;municipal solid waste;;market for titanium dioxide;4.3794e-05;kilogram;titanium dioxide;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
069a30f8f1d87eeb4b6762659658e2df;acrylic filler production;RER;acrylic filler;;market for titanium dioxide;0.02;kilogram;titanium dioxide;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
06fa6535512bae8751edf30f86e68026;aluminium alloy production, Metallic Matrix Composite;CA-QC;aluminium alloy, metal matrix composite;;market for titanium;0.013181758547231527;kilogram;titanium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
0735ee97729c433548acbb9b6fd57855;treatment of sewage sludge, 70% water, WWT, WW from glass production, municipal incineration FAE;CH;sewage sludge, 70% water, WWT, WW from glass production;;market for titanium dioxide;5.69415914e-05;kilogram;titanium dioxide;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
077792f9a6734364acaece347a503bd5;window frame production, wood-metal, U=1.6 W/m2K;RER;window frame, wood-metal, U=1.6 W/m2K;;market for titanium dioxide;0.0004674573558847749;kilogram;titanium dioxide;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
07bfffb3102a35742382d5285c7e2916;treatment of sewage sludge, 70% water, WWT, WW from tube collector production, municipal incineration FAE;CH;sewage sludge, 70% water, WWT, WW from tube collector production;;market for titanium dioxide;9.06750362e-07;kilogram;titanium dioxide;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
08226d919de951dbcdb417158fcfbce8;casting, aluminium, lost-wax;CA-QC;casting, aluminium, lost-wax;;market for titanium dioxide;0.033210154;kilogram;titanium dioxide;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
098dd7f69863452d196a31551cffaaa7;treatment of residue from mechanical treatment, industrial device, municipal incineration with fly ash extraction;CH;residue from mechanical treatment, industrial device;;market for titanium dioxide;0.00011237;kilogram;titanium dioxide;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
09d807917a88ec55700e7f8dd4582064;treatment of municipal solid waste, incineration;RoW;municipal solid waste;;market for titanium dioxide;4.3794e-05;kilogram;titanium dioxide;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
0b0fbade74cb4e364460f40f271e1365;treatment of waste emulsion paint, municipal incineration;Europe without Switzerland;waste emulsion paint;;market for titanium dioxide;2.1827e-05;kilogram;titanium dioxide;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
0b4349334177e5bec8490ccc2ab01a9d;treatment of bilge oil, hazardous waste incineration, with energy recovery;RoW;bilge oil;;market for titanium dioxide;1.4321e-06;kilogram;titanium dioxide;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
0bc4c9da43d04ce85f3a2832643e32dc;treatment of hazardous waste, hazardous waste incineration;CH;hazardous waste, for incineration;;market for titanium dioxide;1.0597e-05;kilogram;titanium dioxide;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
0bd8e09e59ead45ffec1c4c838a463a4;treatment of sewage sludge, 70% water, WWT, WW, average, municipal incineration;RoW;sewage sludge, 70% water, WWT, WW, average;;market for titanium dioxide;9.22360221e-05;kilogram;titanium dioxide;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
0c02ce37615aaed6008f4a4cc66511e0;treatment of sewage sludge, 70% water, WWT, rainwater mineral oil storage, municipal incineration FAE;CH;sewage sludge, 70% water, WWT, rainwater mineral oil storage;;market for titanium dioxide;3.23237049e-05;kilogram;titanium dioxide;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
0c3c6e493e1d3bb364f28be10a811647;aircraft production, dedicated freight aircraft, long haul;GLO;aircraft, dedicated freight, long haul;;market for titanium;7486.363946;kilogram;titanium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
0d35bea6fdac4010b23c180f224ce9f8;treatment of fly ash and scrubber sludge, hazardous waste incineration;CH;fly ash and scrubber sludge;;market for titanium dioxide;3.8946e-09;kilogram;titanium dioxide;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
0dd2b397085b0a4d08506c029dccc931;treatment of sewage sludge, 70% water, WWT, WW from medium density board production, municipal incineration;RER;sewage sludge, 70% water, WWT, WW from medium density board production;;market for titanium dioxide;4.55053192e-05;kilogram;titanium dioxide;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
0e08861ec6e4a9e073f5d6c68e073240;treatment of fly ash and scrubber sludge, hazardous waste incineration;RoW;fly ash and scrubber sludge;;market for titanium dioxide;3.8946e-09;kilogram;titanium dioxide;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
0e64b1d5328431f261378341f409b1e0;treatment of municipal solid waste, sanitary landfill;RoW;municipal solid waste;;market for titanium dioxide;6.35e-08;kilogram;titanium dioxide;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
0ea52d5d6aba24e4ddaa369a332bda60;wood cladding production, softwood;CA-QC;wood chips, dry, measured as dry mass;;market for titanium dioxide;0.00044765233746788083;kilogram;titanium dioxide;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP1-PkBudg500_2045;titanium
