code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
0543008688cc86343a2ff5931e37be6c;sputtering target production, sintered, indium tin oxide;RER;sputtering target, sintered, indium tin oxide;;market for indium;0.022688;kilogram;indium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;indium
0543008688cc86343a2ff5931e37be6c;sputtering target production, sintered, indium tin oxide;RER;sputtering target, sintered, indium tin oxide;;market for indium tin oxide powder, nanoscale, for sputtering target;1.0;kilogram;indium tin oxide powder, nanoscale, for sputtering target;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;indium
05464d68708e48a38cf9eeb13bdecabb;indium rich leaching residues, from zinc production stockpiling;US;indium rich leaching residues, from zinc production stockpiling;;market for indium rich leaching residues, from zinc production;1.0;kilogram;indium rich leaching residues, from zinc production;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;indium
484ed4ed4737fac9849242b16d5a23c7;photovoltaic laminate production, a-Si;US;photovoltaic laminate, a-Si;;market for indium;0.00089368;kilogram;indium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;indium
4925993ad37792748cd8578608765623;indium tin oxide powder production, nanoscale, for sputtering target;RER;indium tin oxide powder, nanoscale, for sputtering target;;market for indium;0.097577;kilogram;indium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;indium
7fb590a337fa33962950982b71cf95fc;sputtering target production, sintered, indium tin oxide;RoW;sputtering target, sintered, indium tin oxide;;market for indium;0.022688;kilogram;indium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;indium
7fb590a337fa33962950982b71cf95fc;sputtering target production, sintered, indium tin oxide;RoW;sputtering target, sintered, indium tin oxide;;market for indium tin oxide powder, nanoscale, for sputtering target;1.0;kilogram;indium tin oxide powder, nanoscale, for sputtering target;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;indium
afae9a6bf9909b6e29fabc8fdafbecf2;photovoltaic laminate production, a-Si;RoW;photovoltaic laminate, a-Si;;market for indium;0.00089368;kilogram;indium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;indium
c15a417acce2dc6d301385fc58ac0f5a;indium tin oxide powder production, nanoscale, for sputtering target;RoW;indium tin oxide powder, nanoscale, for sputtering target;;market for indium;0.097577;kilogram;indium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;indium
c242d04c68708b27ffc01fc8cdd502ca;photovoltaic laminate production, CIS;RoW;photovoltaic laminate, CIS;;market for indium;0.0054898;kilogram;indium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;indium
d871c79dccb7efd9023e9f73485d5e77;photovoltaic laminate production, CIS;DE;photovoltaic laminate, CIS;;market for indium;0.0054898;kilogram;indium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;indium
fe182e23fa3bcbee8480bc1015554daf;indium production;RoW;indium;;market for indium rich leaching residues, from zinc production;10000.0;kilogram;indium rich leaching residues, from zinc production;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;indium
ff5a5d7000d7c0490ba2ad0c023d4968;indium production;RER;indium;;market for indium rich leaching residues, from zinc production;10000.0;kilogram;indium rich leaching residues, from zinc production;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;indium
