code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
031250817cec4c8abc52a55897a9b69a;inverter, Mont Soleil installation, at plant;CH;inverter, Mont Soleil installation, at plant;;market for silver;0.24;kilogram;silver;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;silver
0387196a56eb12762f38ea31ff35839f;primary zinc production from concentrate;RoW;gypsum, mineral;;market for silver;3.4191755584319963e-09;kilogram;silver;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;silver
0f73a478573dac55d327af6b3e636c2c;primary zinc production from concentrate;CA-QC;copper cake;;market for silver;2.4066847723741135e-05;kilogram;silver;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;silver
10af21108f18346347c7479c8d4a1cc9;primary zinc production from concentrate;CA-QC;sulfur dioxide, liquid;;market for silver;1.2983330116774924e-06;kilogram;silver;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;silver
1608ce808018afb0c784c6021a07d4e2;primary zinc production from concentrate;RoW;sulfur;;market for silver;3.77324855464026e-08;kilogram;silver;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;silver
1a5654b42884d8d190670e5b6d6a2b74;primary zinc production from concentrate;CA-QC;zinc;;market for silver;1.0307376581256428e-05;kilogram;silver;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;silver
26475499eff5745d774555017cea5b9a;integrated circuit production, memory type;GLO;integrated circuit, memory type;;market for silver;0.0021;kilogram;silver;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;silver
2a6c43899b5f1c6566ef4714a8856c5b;primary zinc production from concentrate;RoW;copper, cathode;;market for silver;2.442006914719064e-06;kilogram;silver;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;silver
2f1c7e5e9dbbea46985e6b737ce326c9;primary zinc production from concentrate;RoW;cadmium sludge from zinc electrolysis;;market for silver;6.76931088150536e-07;kilogram;silver;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;silver
2fa5112f5afd5bd41cf39c2df257bb01;primary zinc production from concentrate;CA-QC;sulfuric acid;;market for silver;6.243891582876489e-07;kilogram;silver;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;silver
34d959358311c13e722d76aa8831a987;primary zinc production from concentrate;RoW;copper sulfate;;market for silver;2.5780583710577255e-06;kilogram;silver;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;silver
38b4317187a596b150947a291b2f223d;primary zinc production from concentrate;CA-QC;cadmium sludge from zinc electrolysis;;market for silver;9.810877828654094e-06;kilogram;silver;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;silver
