code;name;unit;location;reference product;database;production amount;material_group;ISIC;CPC
af1b9da369e14cc9f20170a17290ac5d;market for natural gas, high pressure;cubic meter;RU;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
234bef98671292c886679c2bf2528f1f;market for zinc;kilogram;GLO;zinc;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;zinc;2420:Manufacture of basic precious and other non-ferrous metals;41442: Zinc, unwrought
ab6a81dd5e1ed8e4c69d8a1f27b9099d;market for natural gas, high pressure;cubic meter;CA;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
7845ed1832169311d801fdda085439ff;market for natural gas, high pressure;cubic meter;AZ;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
1ffe09506f70be4dcd98071865e8a549;market for silicon, metallurgical grade;kilogram;GLO;silicon, metallurgical grade;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;silicon;2420:Manufacture of basic precious and other non-ferrous metals;342: Basic inorganic chemicals n.e.c.
af7929b977949d47873d533201e9c654;market for natural gas, high pressure;cubic meter;ES;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
9dda7f224e77fc74fb02afe71813d089;market for cement, unspecified;kilogram;PE;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
c1d640ff8fbdfe4c82fc24666478ebf4;market for silicon, multi-Si, casted;kilogram;CA-QC;silicon, multi-Si, casted;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
72c658c580d76797ae9f9dcf32b23e70;market for natural gas, high pressure;cubic meter;TR;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
67ece99ef0c5d14c8608c570092a6ee5;market for silicon, single crystal, Czochralski process, photovoltaics;kilogram;RoW;silicon, single crystal, Czochralski process, photovoltaics;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;silicon;2011:Manufacture of basic chemicals;34: Basic chemicals
