code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
10b055f715f256b8d08736dd32546ac8;photovoltaic laminate production, CdTe;RoW;photovoltaic laminate, CdTe;;market for cadmium telluride, semiconductor-grade;0.024442857;kilogram;cadmium telluride, semiconductor-grade;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2025;cadmium
3fc90040083e0b3e89272c523511d17a;photovoltaic laminate production, CdTe;US;photovoltaic laminate, CdTe;;market for cadmium telluride, semiconductor-grade;0.0251;kilogram;cadmium telluride, semiconductor-grade;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2025;cadmium
431fb73608c4776aef3d60494471cc81;photovoltaic laminate production, CdTe;VN;photovoltaic laminate, CdTe;;market for cadmium telluride, semiconductor-grade;0.0241;kilogram;cadmium telluride, semiconductor-grade;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2025;cadmium
469bff7f63fb65a8e344f747a530e62a;nuclear power plant construction, pressure water reactor 650MW;CA-QC;nuclear power plant, pressure water reactor, 650MW;;market for cadmium;168.0;kilogram;cadmium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2025;cadmium
4b439dc4db0fe9812a74896df2db2b31;nuclear power plant construction, pressure water reactor 650MW;RoW;nuclear power plant, pressure water reactor, 650MW;;market for cadmium;168.0;kilogram;cadmium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2025;cadmium
8472a48b9ea0667e14de0e6ac91c82c4;cadmium chloride production, semiconductor-grade;RoW;cadmium chloride, semiconductor-grade;;market for cadmium, semiconductor-grade;0.64597;kilogram;cadmium, semiconductor-grade;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2025;cadmium
95db470906d99ca5db947cd3c4c9c402;cadmium production, primary;CA-QC;cadmium;;market for cadmium sludge from zinc electrolysis;1.875418151436;kilogram;cadmium sludge from zinc electrolysis;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2025;cadmium
9bba42b2b5a23c144cac5160614c8999;cadmium sulfide production, semiconductor-grade;RoW;cadmium sulfide, semiconductor-grade;;market for cadmium chloride, semiconductor-grade;1.3353;kilogram;cadmium chloride, semiconductor-grade;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2025;cadmium
a5c0a8ffbb9adc293c1d5fde8d6d8b0e;cadmium telluride production, semiconductor-grade;RoW;cadmium telluride, semiconductor-grade;;market for cadmium, semiconductor-grade;0.49298;kilogram;cadmium, semiconductor-grade;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2025;cadmium
ad74c46f5b77b75eff907908c5645150;cadmium sludge from zinc electrolysis stockpiling;US;cadmium sludge from zinc electrolysis stockpiling;;market for cadmium sludge from zinc electrolysis;1.0;kilogram;cadmium sludge from zinc electrolysis;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2025;cadmium
afae9a6bf9909b6e29fabc8fdafbecf2;photovoltaic laminate production, a-Si;RoW;photovoltaic laminate, a-Si;;market for cadmium telluride, semiconductor-grade;0.00089368;kilogram;cadmium telluride, semiconductor-grade;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2025;cadmium
b79caa7a0eb259d3f0eae8b8eb4e89a2;photovoltaic laminate production, CdTe;MY;photovoltaic laminate, CdTe;;market for cadmium telluride, semiconductor-grade;0.0243;kilogram;cadmium telluride, semiconductor-grade;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2025;cadmium
c242d04c68708b27ffc01fc8cdd502ca;photovoltaic laminate production, CIS;RoW;photovoltaic laminate, CIS;;market for cadmium sulfide, semiconductor-grade;0.034037;kilogram;cadmium sulfide, semiconductor-grade;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2025;cadmium
c2f832e1f649c7915a7e8dc4838b49dc;cadmium production, semiconductor-grade;RoW;cadmium, semiconductor-grade;;market for cadmium;1.0;kilogram;cadmium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2025;cadmium
c5af64be587042b442b7a9ad19208215;cadmium production, primary;RoW;cadmium;;market for cadmium sludge from zinc electrolysis;1.875418151436;kilogram;cadmium sludge from zinc electrolysis;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2025;cadmium
d2e9c92a3a95a65d3839ad30022372d9;cadmium production, semiconductor-grade;US;cadmium, semiconductor-grade;;market for cadmium;1.0;kilogram;cadmium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2025;cadmium
d871c79dccb7efd9023e9f73485d5e77;photovoltaic laminate production, CIS;DE;photovoltaic laminate, CIS;;market for cadmium sulfide, semiconductor-grade;0.034037;kilogram;cadmium sulfide, semiconductor-grade;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2025;cadmium
