code;name;unit;location;reference product;database;production amount;material_group;ISIC;CPC
76b12bf592d66cca52bb36136818e27a;market for electricity, low voltage;kilowatt hour;MY;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
e7bb282744e6bbf0ab868a80ba3ce1bd;market for natural gas, high pressure;cubic meter;HU;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
c32b1e2045bb05de05f5a28710b58587;market for electricity, low voltage;kilowatt hour;CL;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
5fda318fb5208f47965f2ffe29549a38;market for electricity, high voltage;kilowatt hour;EG;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
722254812ed22b8ed8917f78b0b96988;market for electricity, low voltage;kilowatt hour;MA;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
b95294d879348444fa9371324ab1f8fd;market for electricity, low voltage;kilowatt hour;SA;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
9126b44bdfdac417caaf2ed060b54413;market for water, completely softened;kilogram;RER;water, completely softened;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;water;3600:Water collection, treatment and supply;18000: Natural water
201308f5ce66d500ec612403410ed7b7;market for electricity, medium voltage;kilowatt hour;MK;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
16bd793f3c48e0d0cc29f5434c45015d;market for electricity, medium voltage;kilowatt hour;NI;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
5d09af47bbc25230b8dbd59392add9d1;market for electricity, low voltage;kilowatt hour;SY;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
ece73076f6d5b81d360eeef1a7048a81;market for electricity, low voltage;kilowatt hour;TJ;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
