code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
00018a2608c38f1e5cdf5f6dbec86312;fibre cement facing tile production, small format;RoW;fibre cement facing tile, small format;;market for tap water;0.18702356463818473;kilogram;tap water;0.0;technosphere;Europe without Switzerland;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
00018a2608c38f1e5cdf5f6dbec86312;fibre cement facing tile production, small format;RoW;fibre cement facing tile, small format;;market for tap water;0.001622957407805487;kilogram;tap water;0.0;technosphere;ZA;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
00018a2608c38f1e5cdf5f6dbec86312;fibre cement facing tile production, small format;RoW;fibre cement facing tile, small format;;market for tap water;0.0008697754292254713;kilogram;tap water;0.0;technosphere;CO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
00018a2608c38f1e5cdf5f6dbec86312;fibre cement facing tile production, small format;RoW;fibre cement facing tile, small format;;market for tap water;0.0005705632233845701;kilogram;tap water;0.0;technosphere;PE;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
00018a2608c38f1e5cdf5f6dbec86312;fibre cement facing tile production, small format;RoW;fibre cement facing tile, small format;;market for tap water;0.0005262868130381073;kilogram;tap water;0.0;technosphere;CA-QC;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
00018a2608c38f1e5cdf5f6dbec86312;fibre cement facing tile production, small format;RoW;fibre cement facing tile, small format;;market for tap water;0.021932298214243393;kilogram;tap water;0.0;technosphere;IN;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
00018a2608c38f1e5cdf5f6dbec86312;fibre cement facing tile production, small format;RoW;fibre cement facing tile, small format;;market for tap water;0.0043721281984959665;kilogram;tap water;0.0;technosphere;BR;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
00018a2608c38f1e5cdf5f6dbec86312;fibre cement facing tile production, small format;RoW;fibre cement facing tile, small format;;market for tap water;0.25098242607562227;kilogram;tap water;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
0013eecac5d35ec768cc8e933c69deb8;treatment of blast furnace gas, in power plant;CN-JS;heat, district or industrial, other than natural gas;;market for water, completely softened;0.0025763369838813603;kilogram;water, completely softened;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
0013eecac5d35ec768cc8e933c69deb8;treatment of blast furnace gas, in power plant;CN-JS;heat, district or industrial, other than natural gas;;market for water, decarbonised;0.08587789946254594;kilogram;water, decarbonised;0.0;technosphere;CN;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
001d0d73228572b9594a582327070e2b;electricity production, oil;IN-OR;electricity, high voltage;;market for water, completely softened;0.13984133864043996;kilogram;water, completely softened;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
001d0d73228572b9594a582327070e2b;electricity production, oil;IN-OR;electricity, high voltage;;market for water, decarbonised;0.6965775588618807;kilogram;water, decarbonised;0.0;technosphere;IN;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
0038f30a6953ace6e773d680271fa1a3;autoclaved aerated concrete block production;CH;autoclaved aerated concrete block;;market for tap water;0.184;kilogram;tap water;0.0;technosphere;CH;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
0043977a3a6c2b84a7826bf8dfb558b6;electricity production, natural gas, conventional power plant;IN-UP;electricity, high voltage;;market for water, completely softened;0.0499379545968861;kilogram;water, completely softened;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
0043977a3a6c2b84a7826bf8dfb558b6;electricity production, natural gas, conventional power plant;IN-UP;electricity, high voltage;;market for water, decarbonised;1.66459848656287;kilogram;water, decarbonised;0.0;technosphere;IN;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
00441e351532792ba3d5b23b8994dc63;treatment of municipal solid waste, incineration;CZ;municipal solid waste;;market for water, decarbonised;1.39;kilogram;water, decarbonised;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
00472037470347b8a6c8ee73cc494119;market for petrol, low-sulfur, 20-year period;CHA;petrol, low-sulfur;;market for tap water;0.0006889999999999999;kilogram;tap water;;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
00526caed75b53426b1973a2c47ab7b6;[sulfonyl]urea-compound production;RER;[sulfonyl]urea-compound;;market for water, decarbonised;2.9656810069085435e-05;kilogram;water, decarbonised;0.0;technosphere;CH;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
00526caed75b53426b1973a2c47ab7b6;[sulfonyl]urea-compound production;RER;[sulfonyl]urea-compound;;market for water, decarbonised;0.04670589411846306;kilogram;water, decarbonised;0.0;technosphere;DE;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
00526caed75b53426b1973a2c47ab7b6;[sulfonyl]urea-compound production;RER;[sulfonyl]urea-compound;;market for water, decarbonised;0.0017092064933535711;kilogram;water, decarbonised;0.0;technosphere;GB;ecoinvent_cutoff_3.9_remind_SSP5-Base_2035;water
