code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
001bb858213941d3a472206a33d36d23;steel production, converter, low-alloyed;World;steel, low-alloyed;;market for natural gas, high pressure;0.0012021857923497302;cubic meter;natural gas, high pressure;;technosphere;World;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;natural gas
0041626a3079496a9747362f4581d745;transport, freight, lorry, compressed gas, 26t gross weight, 2040, EURO-VI, regional delivery;SSA;transport, freight, lorry, EURO-VI;;market for natural gas, low pressure, vehicle grade;0.02254743919340753;kilogram;natural gas, low pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;natural gas
0043977a3a6c2b84a7826bf8dfb558b6;electricity production, natural gas, conventional power plant;IN-UP;electricity, high voltage;;market for natural gas, high pressure;0.251146422233384;cubic meter;natural gas, high pressure;;technosphere;IND;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;natural gas
00526caed75b53426b1973a2c47ab7b6;[sulfonyl]urea-compound production;RER;[sulfonyl]urea-compound;;market for natural gas, high pressure;6.120383363908997e-05;cubic meter;natural gas, high pressure;;technosphere;EUR;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;natural gas
0096d8cd88f144efb1f2468e3e71915d;transport, passenger car, compressed gas, Lower medium, 2040, EURO-6d;CHA;transport, passenger car, EURO-6d;;market for natural gas, medium pressure, vehicle grade;0.02671891911336469;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;natural gas
00a12f75de8c49c7bb4846488edde7ea;transport, passenger car, compressed gas, Medium, 2035, EURO-6d;IND;transport, passenger car, EURO-6d;;market for natural gas, medium pressure, vehicle grade;0.03363887943061242;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;natural gas
00dbb761ab6d4918a051fd6c654b8285;steel production, converter, unalloyed;NEU;steel, unalloyed;;market for natural gas, high pressure;0.00116905428851781;cubic meter;natural gas, high pressure;;technosphere;NEU;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;natural gas
00f578817b4b59bd5647ca886e0d07bf;electricity production, natural gas, combined cycle power plant;IR;electricity, high voltage;;market for natural gas, high pressure;0.1545308281179139;cubic meter;natural gas, high pressure;;technosphere;MEA;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;natural gas
01014011f2824f8eb626511373a2328b;electricity production, at biomass-fired IGCC power plant, pre, pipeline 200km, storage 1000m;USA;electricity, high voltage;;market for natural gas, high pressure;0.002485714285714286;cubic meter;natural gas, high pressure;;technosphere;USA;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;natural gas
010d224d03f14b1087b23053ae095a78;transport, passenger car, compressed gas, Medium, 2040, EURO-6d;REF;transport, passenger car, EURO-6d;;market for natural gas, medium pressure, vehicle grade;0.03007550470297366;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;natural gas
01693547410244f983b1b4a2c920ca61;transport, freight, lorry, compressed gas, 7.5t gross weight, 2045, EURO-VI, long haul;CAZ;transport, freight, lorry, EURO-VI;;market for natural gas, low pressure, vehicle grade;0.02443933963396388;kilogram;natural gas, low pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;natural gas
018f977764ab4176b0a218290b2295e0;transport, passenger car, compressed gas, Medium, 2040, EURO-6d;JPN;transport, passenger car, EURO-6d;;market for natural gas, medium pressure, vehicle grade;0.03007550470297366;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;natural gas
01aac916a13dc35e8ae7abd6e4d43029;petrol production, unleaded, petroleum refinery operation;IN;petrol, unleaded;;market for natural gas, high pressure;0.0003092292769601746;cubic meter;natural gas, high pressure;;technosphere;IND;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;natural gas
01b857bd149f401dbf820fbde6fd7283;transport, passenger car, compressed gas, Large, 2050, EURO-6d;REF;transport, passenger car, EURO-6d;;market for natural gas, medium pressure, vehicle grade;0.02665311318015761;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;natural gas
01fcee5e11994bff9dd81c0460f753d7;farming and supply of corn;REF;corn, harvested, at ethanol plant;;market for natural gas, burned in gas turbine;0.06251401392841499;megajoule;natural gas, burned in gas turbine;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;natural gas
020caca581c645519fe32e7c3fe50ba0;transport, passenger car, compressed gas, Large, 2040, EURO-6d;USA;transport, passenger car, EURO-6d;;market for natural gas, medium pressure, vehicle grade;0.03292728651773981;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;natural gas
