code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
049cfa268bf54c4c872bd07675984370;switchgear MV;CH;switchgear MV;;market for tin;164.0;kilogram;tin;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2040;tin
06e1180ed50a047cbccdc18e6806a460;solder production, bar, Sn63Pb37, for electronics industry;GLO;solder, bar, Sn63Pb37, for electronics industry;;market for tin;0.63;kilogram;tin;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2040;tin
0b4ca2937ae1de8f08ee451503a20be6;selective coating, copper sheet, black majic;RoW;selective coat, copper sheet, black majic;;market for tin;0.010167;kilogram;tin;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2040;tin
0d343ee52e33441d8c9f0ba55d8fe565;hydrogen production, gaseous, 100 bar, from methane pyrolysis;IND;hydrogen, gaseous, 100 bar;;market for tin;0.0336;kilogram;tin;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2040;tin
0d3fc5667ad39ffb51e3256edc0757b3;bronze production;CH;bronze;;market for tin;0.0505;kilogram;tin;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2040;tin
0d6238571f8ef9c14ac2f377210fd90e;thermal storage system construction, solar thermal parabolic trough, 50 MW;RoW;thermal storage system, solar thermal parabolic trough, 50 MW;;market for tin plated chromium steel sheet, 2 mm;74.29772367848962;square meter;tin plated chromium steel sheet, 2 mm;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2040;tin
13cdb4fa253e274a01747c16afd77e06;treatment of metal scrap, mixed, for recycling, unsorted, sorting;Europe without Switzerland;tinplate scrap, sorted;;market for tinplate, in mixed metal scrap;1.0416666666666667;kilogram;tinplate, in mixed metal scrap;0.0;technosphere;Europe without Switzerland;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2040;tin
1e161baa1767af7e867df0e89a575cf1;container production, for collection of post-consumer waste plastic for recycling;RoW;container, for collection of post-consumer waste plastic for recycling;;market for tin plated chromium steel sheet, 2 mm;4.8333333e-05;square meter;tin plated chromium steel sheet, 2 mm;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2040;tin
1e814d22ee8e0777ac916d998ad43e54;tin production;PE;tin;;market for tin slag;-0.97;kilogram;tin slag;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2040;tin
2164916e666dbcd3e1068846ea8aa699;electric parts production, heat and power co-generation unit, 160kW electrical;RER;electric parts, heat and power co-generation unit, 160kW electrical;;market for tin;0.997;kilogram;tin;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2040;tin
26475499eff5745d774555017cea5b9a;integrated circuit production, memory type;GLO;integrated circuit, memory type;;market for tin;0.00442;kilogram;tin;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2040;tin
2851f8c3ed635fdfdc5c2bc37057367f;resistor production, wirewound, through-hole mounting;GLO;resistor, wirewound, through-hole mounting;;market for tin;0.02706;kilogram;tin;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2040;tin
2cf70f83e92942f59724677de093c95b;hydrogen production, gaseous, 100 bar, from methane pyrolysis;CAZ;hydrogen, gaseous, 100 bar;;market for tin;0.0336;kilogram;tin;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2040;tin
2d2e112af7cae93d8132567691cac7a9;insulated gate bipolar transistor production, for electric vehicle applications;GLO;insulated gate bipolar transistor, electric vehicle application;;market for tin;0.008861788617886179;kilogram;tin;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2040;tin
2f22a51510529a3089121be3022ba963;chassis production, internet access equipment;RoW;chassis, internet access equipment;;market for tin;0.002;kilogram;tin;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2040;tin
330bd71850ee4739356ed961fff5a569;container production, for collection of post-consumer waste plastic for recycling;US;container, for collection of post-consumer waste plastic for recycling;;market for tin plated chromium steel sheet, 2 mm;4.8333333e-05;square meter;tin plated chromium steel sheet, 2 mm;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2040;tin
