code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
001d218b1abe49de87835ed61b193bc2;transport, freight, lorry, compressed gas, 26t gross weight, 2050, EURO-VI, long haul;USA;transport, freight, lorry, EURO-VI;;market for natural gas, low pressure, vehicle grade;0.0108500441105067;kilogram;natural gas, low pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
0043977a3a6c2b84a7826bf8dfb558b6;electricity production, natural gas, conventional power plant;IN-UP;electricity, high voltage;;market for natural gas, high pressure;0.251146422233384;cubic meter;natural gas, high pressure;;technosphere;IND;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
004f93f990ab489bbcbea128a0c4f79c;transport, passenger car, compressed gas, Small, 2035, EURO-6d;OAS;transport, passenger car, EURO-6d;;market for natural gas, medium pressure, vehicle grade;0.02562206546629452;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
00526caed75b53426b1973a2c47ab7b6;[sulfonyl]urea-compound production;RER;[sulfonyl]urea-compound;;market for natural gas, high pressure;6.120383363908997e-05;cubic meter;natural gas, high pressure;;technosphere;EUR;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
00813a76d5f2471fa31c052cf30b1748;farming and supply of rapeseed;EUR;rapeseed cultivation;;market for natural gas, medium pressure, vehicle grade;0.00331967967032967;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
0092a8eb7d8c4a04a7315ed132a8a555;transport, freight, lorry, compressed gas, 7.5t gross weight, 2050, EURO-VI, regional delivery;IND;transport, freight, lorry, EURO-VI;;market for natural gas, low pressure, vehicle grade;0.03319443449414194;kilogram;natural gas, low pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
009c2e80a86d442eb48ef39e2ce82443;transport, freight, lorry, compressed gas, 3.5t gross weight, 2045, EURO-VI, regional delivery;MEA;transport, freight, lorry, EURO-VI;;market for natural gas, low pressure, vehicle grade;0.05718361802471974;kilogram;natural gas, low pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
00bc3bc43d6c40569e28fea72500bb17;transport, passenger car, compressed gas, Medium SUV, 2045, EURO-6d;EUR;transport, passenger car, EURO-6d;;market for natural gas, medium pressure, vehicle grade;0.02855964135259129;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
00eced47e9be4fa6ae43c0b639212194;transport, passenger car, compressed gas, Small, 2035, EURO-6d;IND;transport, passenger car, EURO-6d;;market for natural gas, medium pressure, vehicle grade;0.02562206546629452;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
00f578817b4b59bd5647ca886e0d07bf;electricity production, natural gas, combined cycle power plant;IR;electricity, high voltage;;market for natural gas, high pressure;0.15437226817838257;cubic meter;natural gas, high pressure;;technosphere;MEA;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
012929442ee54e36b1dfb1d6383f3a94;transport, freight, lorry, compressed gas, 40t gross weight, 2040, EURO-VI, regional delivery;SSA;transport, freight, lorry, EURO-VI;;market for natural gas, low pressure, vehicle grade;0.01871721832283312;kilogram;natural gas, low pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
01a217ed42654efaa57007e579f38b44;transport, freight, lorry, compressed gas, 40t gross weight, 2040, EURO-VI, regional delivery;RER;transport, freight, lorry, EURO-VI;;market for natural gas, low pressure, vehicle grade;0.01871721832283312;kilogram;natural gas, low pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
01a9ca8fd57b451db8d3e93e96c99469;transport, passenger car, compressed gas, Large, 2035, EURO-6d;NEU;transport, passenger car, EURO-6d;;market for natural gas, medium pressure, vehicle grade;0.0366019660138151;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
01aac916a13dc35e8ae7abd6e4d43029;petrol production, unleaded, petroleum refinery operation;IN;petrol, unleaded;;market for natural gas, high pressure;0.0003092292769601746;cubic meter;natural gas, high pressure;;technosphere;IND;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
01ce890a76fd42518d5e0a31187b35ee;pig iron production;USA;pig iron;;market for natural gas, high pressure;0.0015202380725821778;cubic meter;natural gas, high pressure;;technosphere;USA;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
01f46eddeb374031ba38dbf37cc05273;transport, passenger car, compressed gas, Lower medium, 2040, EURO-6d;SSA;transport, passenger car, EURO-6d;;market for natural gas, medium pressure, vehicle grade;0.02671891911336469;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
0214a2d05fe0d8ca4422ea95095db9ff;heat and power co-generation, natural gas, conventional power plant, 100MW electrical;MK;heat, district or industrial, natural gas;;market for natural gas, high pressure;0.014932187088602543;cubic meter;natural gas, high pressure;;technosphere;NEU;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
021a6da75cb5f629bcefa53737358321;electricity production, natural gas, conventional power plant;NL;electricity, high voltage;;market for natural gas, high pressure;0.256410256410256;cubic meter;natural gas, high pressure;;technosphere;EUR;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
0223de0c540e1ed5f97b454f187e6b63;electricity production, natural gas, combined cycle power plant;CL;electricity, high voltage;;market for natural gas, high pressure;0.17890676422293064;cubic meter;natural gas, high pressure;;technosphere;LAM;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
0232772fa289458ab221a5c7a4a73dd1;transport, freight, lorry, compressed gas, 26t gross weight, 2045, EURO-VI, long haul;MEA;transport, freight, lorry, EURO-VI;;market for natural gas, low pressure, vehicle grade;0.01134543376555386;kilogram;natural gas, low pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
0246cae1a7604625859f7ab18ad9d150;transport, passenger bus, compressed gas, 13m single deck urban bus, 2045, EURO-VI;CHA;transport, passenger bus, EURO-VI;;market for natural gas, medium pressure, vehicle grade;0.0223779136560591;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
02634f28d54d99936a0d8c48b68eaddc;transport, pipeline, long distance, natural gas;NL;transport, pipeline, long distance, natural gas;;market for natural gas, high pressure;0.000231707317073171;cubic meter;natural gas, high pressure;;technosphere;EUR;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
0275135a42c9405f872903936f0cca6d;transport, passenger car, compressed gas, Mini, 2040, EURO-6d;World;transport, passenger car, EURO-6d;;market for natural gas, medium pressure, vehicle grade;0.01994993607010143;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
02a86d3b2ae54ce68fef183ab5a61ee1;transport, freight, lorry, compressed gas, 40t gross weight, 2045, EURO-VI, long haul;OAS;transport, freight, lorry, EURO-VI;;market for natural gas, low pressure, vehicle grade;0.01277529021370092;kilogram;natural gas, low pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
02ae6b8773b24248a8faa18dab4e2ced;transport, passenger car, compressed gas, Small, 2045, EURO-6d;RER;transport, passenger car, EURO-6d;;market for natural gas, medium pressure, vehicle grade;0.02124724370892878;kilogram;natural gas, medium pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
02b895822934b6df162156b3ee57d9ab;heat and power co-generation, natural gas, 500kW electrical, lean burn;CH;electricity, high voltage;;market for natural gas, low pressure;0.21072330625041735;cubic meter;natural gas, low pressure;0.0;technosphere;CH;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
02e007411e914da39cf3e355c326daf2;transport, freight, lorry, compressed gas, 18t gross weight, 2045, EURO-VI, long haul;CHA;transport, freight, lorry, EURO-VI;;market for natural gas, low pressure, vehicle grade;0.01582899451432929;kilogram;natural gas, low pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
0309d765ec224c5ab3788d065490f6b8;transport, freight, lorry, compressed gas, 3.5t gross weight, 2050, EURO-VI, long haul;NEU;transport, freight, lorry, EURO-VI;;market for natural gas, low pressure, vehicle grade;0.03446813623420336;kilogram;natural gas, low pressure, vehicle grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2050;natural gas
