code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
004a511ff93e3feaee58e075d119a9fb;market for waste plastic, mixture;CH;waste plastic, mixture;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste plastic, mixture, open burning;-0.000526841223095166;kilogram;waste plastic, mixture;0.0;technosphere;GLO
0060835eb96e9e6f961a565416b55dfe;market for waste polyurethane;CZ;waste polyurethane;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyurethane, open burning;-0.0122605420657861;kilogram;waste polyurethane;0.0;technosphere;GLO
011ecd21fc25ae0ccc9ec33f4b4127fc;market for waste polypropylene;RoW;waste polypropylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('EcoSpold01Categories', 'waste management/municipal incineration'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polypropylene, open burning;-0.0974434868744582;kilogram;waste polypropylene;0.0;technosphere;GLO
014712823d8614e86f1213984b880fa1;market for waste polyurethane;AT;waste polyurethane;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyurethane, open burning;-0.000668777328610643;kilogram;waste polyurethane;0.0;technosphere;GLO
018c83adb60e85bfc2a696fcc286defc;market for waste polyethylene;BE;waste polyethylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene, open burning;-0.000182090137116258;kilogram;waste polyethylene;0.0;technosphere;GLO
021e3194319fd23ae69a66e512d85287;market for waste paperboard;IT;waste paperboard;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39240: Waste and scrap of paper or paperboard')];treatment of waste paperboard, open burning;-0.00674378845855387;kilogram;waste paperboard;0.0;technosphere;GLO
02a214c886f30f384088ab0df3489987;market for waste wood, untreated;CY;waste wood, untreated;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '3928: Sawdust and wood waste and scrap')];treatment of waste wood, untreated, open burning;-0.0135770927668737;kilogram;waste wood, untreated;0.0;technosphere;GLO
02b516f703c4f11ea6fd225f04691d9e;market for waste paperboard;IN;waste paperboard;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39240: Waste and scrap of paper or paperboard')];treatment of waste paperboard, open burning;-0.284307580310206;kilogram;waste paperboard;0.0;technosphere;GLO
032c0f4a1e2ec6c89571bfcc982374c5;market for waste polyurethane;HU;waste polyurethane;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyurethane, open burning;-0.0216911062443454;kilogram;waste polyurethane;0.0;technosphere;GLO
045f0922e5a54748ce29d4263e411d5a;market for waste polyurethane;PL;waste polyurethane;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyurethane, open burning;-0.0409099500836998;kilogram;waste polyurethane;0.0;technosphere;GLO
05267da8f32e753906f89848a022aa09;market for waste polyethylene;ME;waste polyethylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene, open burning;-0.0634286239725263;kilogram;waste polyethylene;0.0;technosphere;GLO
056bee5536d8ebef722af1ec6fcd1983;market for waste polyurethane;FI;waste polyurethane;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyurethane, open burning;-0.000565773149803462;kilogram;waste polyurethane;0.0;technosphere;GLO
05b9e2a581217a064769dd778c7f2d64;market for municipal solid waste;XK;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, open burning;-0.190205;kilogram;municipal solid waste;0.0;technosphere;GLO
06be780f3ae2cd4016cbdfbad580800d;market for waste glass;HR;waste glass;;"[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass')]";treatment of waste glass, open burning;-0.0205469906849226;kilogram;waste glass;0.0;technosphere;GLO
06f83e2590d3d6cd9151449995015f6a;market for waste polyethylene terephthalate;IS;waste polyethylene terephthalate;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene terephthalate, open burning;-0.00917395587533919;kilogram;waste polyethylene terephthalate;0.0;technosphere;GLO
07268db457af7681059df5537242f3ca;market for waste packaging paper;FR;waste packaging paper;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39240: Waste and scrap of paper or paperboard')];treatment of waste packaging paper, open burning;-0.004171869128525529;kilogram;waste packaging paper;0.0;technosphere;GLO
078bdc36a3e3835aafef004c025d3c4a;market for waste polyethylene;LT;waste polyethylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene, open burning;-0.0203629272318968;kilogram;waste polyethylene;0.0;technosphere;GLO
085934a91008071f8ef8c8f8d7ec7136;market for waste polyvinylchloride;PE;waste polyvinylchloride;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyvinylchloride, open burning;-0.0624725160068898;kilogram;waste polyvinylchloride;0.0;technosphere;GLO
08645439b667f907a093912bbb6a1004;market for waste polyvinylchloride;CY;waste polyvinylchloride;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyvinylchloride, open burning;-0.0135770927668737;kilogram;waste polyvinylchloride;0.0;technosphere;GLO
0871c0ce4527ca59a0781e51f5326bc1;market for waste wood, untreated;ES;waste wood, untreated;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '3928: Sawdust and wood waste and scrap')];treatment of waste wood, untreated, open burning;-0.0104397907139771;kilogram;waste wood, untreated;0.0;technosphere;GLO
09315c065c88f05e51027e529c70b6fe;market for waste polypropylene;ZA;waste polypropylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polypropylene, open burning;-0.0334239090407301;kilogram;waste polypropylene;0.0;technosphere;GLO
099ba716a5b150002bd0c1ad3fea9166;market for municipal solid waste;CZ;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, open burning;-0.0122605;kilogram;municipal solid waste;0.0;technosphere;GLO
09c437b16f10d52938e1ca9307454cf0;market for waste paperboard;SI;waste paperboard;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39240: Waste and scrap of paper or paperboard')];treatment of waste paperboard, open burning;-0.00966043946660359;kilogram;waste paperboard;0.0;technosphere;GLO
0b2515b33208df05a371071db39fc648;market for waste wood, untreated;IS;waste wood, untreated;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '3928: Sawdust and wood waste and scrap')];treatment of waste wood, untreated, open burning;-0.00917395587533919;kilogram;waste wood, untreated;0.0;technosphere;GLO
0b3c0e582dfadc75e2039ce8a803d21b;market for waste polyethylene terephthalate;ES;waste polyethylene terephthalate;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene terephthalate, open burning;-0.0104397907139771;kilogram;waste polyethylene terephthalate;0.0;technosphere;GLO
0b3c330bf285c93ec84d60288a35e8a6;market for municipal solid waste;SI;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, open burning;-0.00966044;kilogram;municipal solid waste;0.0;technosphere;GLO
0b7d038a40858e1876c83e36c602551b;market for waste packaging paper;RoW;waste packaging paper;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39240: Waste and scrap of paper or paperboard')];treatment of waste packaging paper, open burning;-0.08189074017501495;kilogram;waste packaging paper;0.0;technosphere;GLO
0bdc1aea4afba676c0d1bf54b7345ef0;market for waste polypropylene;SE;waste polypropylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polypropylene, open burning;-0.000111927049697239;kilogram;waste polypropylene;0.0;technosphere;GLO
0be35810d84e15cfdd0e99dc76fc8d7b;market for municipal solid waste;DK;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, open burning;-0.000174344;kilogram;municipal solid waste;0.0;technosphere;GLO
0cac16edb109f954c048006cdc9ee644;treatment of waste packaging paper, open burning;GLO;waste packaging paper;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39240: Waste and scrap of paper or paperboard')];treatment of waste packaging paper, open burning;-1.0;kilogram;waste packaging paper;1.0;production;GLO
0cdc0c26635faf631dd29fd1950b49f2;market for waste glass;CH;waste glass;;"[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass')]";treatment of waste glass, open burning;-0.000526841223095166;kilogram;waste glass;0.0;technosphere;GLO
0d92e31ca1cce281ebd0a5a446919133;market for waste graphical paper;ES;waste graphical paper;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39990: Other wastes n.e.c.')];treatment of waste graphical paper, open burning;-0.0104397907139771;kilogram;waste graphical paper;0.0;technosphere;GLO
0e31279e05331d7cf799aef89afb8799;market for waste polystyrene;GB;waste polystyrene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polystyrene, open burning;-0.00369092313422926;kilogram;waste polystyrene;0.0;technosphere;GLO
0ee5c06493e62869ecfd72d689e30004;market for waste polypropylene;MK;waste polypropylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polypropylene, open burning;-0.0860011568767784;kilogram;waste polypropylene;0.0;technosphere;GLO
0f223b509dbf0d86b75528910d89ab70;market for municipal solid waste;SK;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, open burning;-0.0143534;kilogram;municipal solid waste;0.0;technosphere;GLO
0f820324584a360af567e126acb1c815;market for waste polyvinylchloride;LV;waste polyvinylchloride;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyvinylchloride, open burning;-0.0330013176794512;kilogram;waste polyvinylchloride;0.0;technosphere;GLO
0feb298fef986215e4703e7479ebe723;market for waste graphical paper;RoW;waste graphical paper;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('EcoSpold01Categories', 'waste management/municipal incineration'), ('CPC', '39990: Other wastes n.e.c.')];treatment of waste graphical paper, open burning;-0.0818907401750148;kilogram;waste graphical paper;0.0;technosphere;GLO
0ffbaab8a04a9e5969f7977e36409670;market for waste polyethylene terephthalate;IN;waste polyethylene terephthalate;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene terephthalate, open burning;-0.284307580310206;kilogram;waste polyethylene terephthalate;0.0;technosphere;GLO
10662e76cd959dd20bfe6a13d8eeff17;market for waste glass;BG;waste glass;;"[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass')]";treatment of waste glass, open burning;-0.0275938418728608;kilogram;waste glass;0.0;technosphere;GLO
10ad8189924b17ab553e7e53da7b9ce0;market for waste polyvinylchloride;BR;waste polyvinylchloride;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyvinylchloride, open burning;-0.0291927726473145;kilogram;waste polyvinylchloride;0.0;technosphere;GLO
10c64d563b2befda9e6a252df555cde8;market for waste plastic, mixture;PT;waste plastic, mixture;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste plastic, mixture, open burning;-0.0107372908969953;kilogram;waste plastic, mixture;0.0;technosphere;GLO
12eef9608bd6abc0a6200da96aed5d79;market for municipal solid waste;AT;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, open burning;-0.000668777;kilogram;municipal solid waste;0.0;technosphere;GLO
138a05eab3e99e0ef5121309b903693b;market for waste polypropylene;EE;waste polypropylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polypropylene, open burning;-0.0278904162073016;kilogram;waste polypropylene;0.0;technosphere;GLO
149f5a2b2a7cd1f4c3fd4f9083a6418e;market for waste glass;ZA;waste glass;;"[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass')]";treatment of waste glass, open burning;-0.0334239090407301;kilogram;waste glass;0.0;technosphere;GLO
14c62d9b74e38dd4339d5edb7d3713c8;market for waste plastic, mixture;HR;waste plastic, mixture;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste plastic, mixture, open burning;-0.0205469906849226;kilogram;waste plastic, mixture;0.0;technosphere;GLO
14cf054fcb97e8dbbb1769ec07a8fd11;market for waste polyvinylchloride;PL;waste polyvinylchloride;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyvinylchloride, open burning;-0.0409099500836998;kilogram;waste polyvinylchloride;0.0;technosphere;GLO
158a2cc9373ff286eabdb639e5191208;market for waste glass;IT;waste glass;;"[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass')]";treatment of waste glass, open burning;-0.00674378845855387;kilogram;waste glass;0.0;technosphere;GLO
