code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
0801e2618b876e0b7ac0c37bc76471cc;market for waste cement-fibre slab;CH;waste cement-fibre slab;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39: Wastes or scraps')];treatment of waste cement-fibre slab, recycling;-0.5;kilogram;waste cement-fibre slab;0.0;technosphere;CH
0f3d08a84b553e9d503c851d5b7ce19f;treatment of waste polyethylene, for recycling, unsorted, sorting;Europe without Switzerland;waste polyethylene, for recycling, unsorted;;[('ISIC rev.4 ecoinvent', '3811:Collection of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];market for waste polyethylene, for recycling, sorted;-0.9049999999999981;kilogram;waste polyethylene, for recycling, sorted;0.0;technosphere;Europe without Switzerland
1132c252972ca08f2af6084095ec2891;heat transport fluid system construction, solar thermal parabolic trough, 50 MW;ZA;heat transport fluid system, solar thermal parabolic trough, 50 MW;;[('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('CPC', '54262: General construction services of power plants')];treatment of waste reinforcement steel, recycling;-291996.95;kilogram;waste reinforcement steel;0.0;technosphere;RoW
1503958d83801c4725dd08d6d3056613;fish canning, large fish;RoW;fish canning, large fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '212: Prepared and preserved fish, crustaceans, molluscs and other aquatic invertebrates')];market for waste polyethylene, for recycling, unsorted;-0.008924304662999512;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;Europe without Switzerland
1503958d83801c4725dd08d6d3056613;fish canning, large fish;RoW;fish canning, large fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '212: Prepared and preserved fish, crustaceans, molluscs and other aquatic invertebrates')];market for waste polyethylene, for recycling, unsorted;-2.6858067958857965e-05;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;CH
1503958d83801c4725dd08d6d3056613;fish canning, large fish;RoW;fish canning, large fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '212: Prepared and preserved fish, crustaceans, molluscs and other aquatic invertebrates')];market for waste polyethylene, for recycling, unsorted;-0.00090360831657401;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;RoW
1503958d83801c4725dd08d6d3056613;fish canning, large fish;RoW;fish canning, large fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '212: Prepared and preserved fish, crustaceans, molluscs and other aquatic invertebrates')];market for waste polyethylene, for recycling, unsorted;-0.0027052289524676205;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;US
180433a13aba89ff99505d50cb4de0c7;polyethylene terephthalate production, granulate, bottle grade, recycled;RoW;polyethylene terephthalate, granulate, bottle grade, recycled;;[('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('CPC', '34710: Polymers of ethylene, in primary forms')];market for waste polyethylene, for recycling, sorted;-0.04066666666666666;kilogram;waste polyethylene, for recycling, sorted;0.0;technosphere;Europe without Switzerland
180433a13aba89ff99505d50cb4de0c7;polyethylene terephthalate production, granulate, bottle grade, recycled;RoW;polyethylene terephthalate, granulate, bottle grade, recycled;;[('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('CPC', '34710: Polymers of ethylene, in primary forms')];market for waste polyethylene, for recycling, sorted;-0.04066666666666666;kilogram;waste polyethylene, for recycling, sorted;0.0;technosphere;RoW
180433a13aba89ff99505d50cb4de0c7;polyethylene terephthalate production, granulate, bottle grade, recycled;RoW;polyethylene terephthalate, granulate, bottle grade, recycled;;[('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('CPC', '34710: Polymers of ethylene, in primary forms')];market for waste polyethylene, for recycling, sorted;-0.04066666666666666;kilogram;waste polyethylene, for recycling, sorted;0.0;technosphere;US
1e27269938ea5e92e855af17335db99d;market for waste mineral wool;RoW;waste mineral wool;;[('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('EcoSpold01Categories', 'waste management/building demolition'), ('CPC', '39990: Other wastes n.e.c.')];treatment of waste mineral wool, recycling;-0.643500913625364;kilogram;waste mineral wool;0.0;technosphere;RoW
21e0615edbde0630f1f87c9e0aa98199;market for waste mineral wool;Europe without Switzerland;waste mineral wool;;[('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('EcoSpold01Categories', 'waste management/building demolition'), ('CPC', '39990: Other wastes n.e.c.')];treatment of waste mineral wool, recycling;-0.403225806451613;kilogram;waste mineral wool;0.0;technosphere;Europe without Switzerland
270d9f548e6349ae81e22dcd663bbc06;market for waste reinforced concrete;CH;waste reinforced concrete;;[('EcoSpold01Categories', 'waste management/building demolition'), ('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('CPC', '39: Wastes or scraps')];treatment of waste reinforced concrete, recycling;-0.62;kilogram;waste reinforced concrete;0.0;technosphere;CH
32b8cd26f62cd6d4d88332dc7297bb1a;market for waste concrete gravel;CH;waste concrete gravel;;[('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('CPC', '39: Wastes or scraps')];treatment of waste concrete gravel, recycling;-0.41;kilogram;waste concrete gravel;0.0;technosphere;CH
34129068350ed4fe8b05a41b8fb80710;receiver system construction, solar tower power plant, 20 MW;ZA;receiver system, solar tower power plant, 20 MW;;[('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('CPC', '53262: Power plants')];treatment of waste reinforcement steel, recycling;-584778.95;kilogram;waste reinforcement steel;0.0;technosphere;RoW
35aec17ab7f4a2b05884021ce5d11730;market for waste brick;CH;waste brick;;[('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('EcoSpold01Categories', 'waste management/building demolition'), ('CPC', '39990: Other wastes n.e.c.')];treatment of waste brick, recycling;-0.53;kilogram;waste brick;0.0;technosphere;CH
35cc5f2c055cbdb38a861b5cf91f988e;market for waste reinforced concrete;RoW;waste reinforced concrete;;[('EcoSpold01Categories', 'waste management/building demolition'), ('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('CPC', '39: Wastes or scraps')];treatment of waste reinforced concrete, recycling;-0.424383935694234;kilogram;waste reinforced concrete;0.0;technosphere;RoW
45d8b90e463e54ae8a7052cbebfb5eff;treatment of waste polyethylene, for recycling, unsorted, sorting;CH;waste polyethylene, for recycling, unsorted;;[('ISIC rev.4 ecoinvent', '3811:Collection of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];market for waste polyethylene, for recycling, sorted;-0.9049999999999981;kilogram;waste polyethylene, for recycling, sorted;0.0;technosphere;CH
47e47886d71b76f37f9d3b3c6fec5e0a;steam generation system construction, solar tower power plant, 20 MW;ZA;steam generation system, solar tower power plant, 20 MW;;[('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('CPC', '53262: Power plants')];treatment of waste reinforcement steel, recycling;-74084.5;kilogram;waste reinforcement steel;0.0;technosphere;RoW
4833538f44346a15e4bebbc0c872772d;fish canning, large fish;EC;fish canning, large fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '212: Prepared and preserved fish, crustaceans, molluscs and other aquatic invertebrates')];market for waste polyethylene, for recycling, unsorted;-0.01256;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;RoW
586da241aa035d9bb2f893e472dc0641;market for waste plaster-cardboard sandwich;GLO;waste plaster-cardboard sandwich;;[('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('EcoSpold01Categories', 'waste management/building demolition'), ('CPC', '39990: Other wastes n.e.c.')];treatment of waste plaster-cardboard sandwich, recycling;-0.41;kilogram;waste plaster-cardboard sandwich;0.0;technosphere;CH
5eb8dc41bc142aaecc0282e7ec0692f0;concentrated solar power plant construction, solar tower power plant, 20 MW;ZA;concentrated solar power plant, solar tower, 20 MW;;[('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('CPC', '53262: Power plants')];treatment of waste reinforcement steel, recycling;-765.1;kilogram;waste reinforcement steel;0.0;technosphere;RoW
5eeda69b07a3948fc6e71d33c325799c;thermal storage system construction, solar tower power plant, 20 MW;ZA;thermal storage system, solar tower power plant, 20 MW;;[('ISIC rev.4 ecoinvent', '4220:Construction of utility projects'), ('CPC', '53262: Power plants')];treatment of waste reinforcement steel, recycling;-90066.9;kilogram;waste reinforcement steel;0.0;technosphere;RoW
608622d4fc5dfedf75382bd76d4b1ccc;market for waste brick;RoW;waste brick;;[('EcoSpold01Categories', 'waste management/building demolition'), ('ISIC rev.4 ecoinvent', '3830:Materials recovery'), ('CPC', '39990: Other wastes n.e.c.')];treatment of waste brick, recycling;-0.415160740730075;kilogram;waste brick;0.0;technosphere;RoW
6187a1af34fbdfd3da0905db6416360c;fish freezing, small fish;PE;fish freezing, small fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21222: Fish fillets, frozen')];market for waste polyethylene, for recycling, unsorted;-0.08;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;RoW
6414f657add63b8534e3037dbc8a21f0;treatment of waste polyethylene terephthalate, for recycling, unsorted, sorting;CH;waste polyethylene terephthalate, for recycling, unsorted;;[('ISIC rev.4 ecoinvent', '3811:Collection of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];market for waste polyethylene terephthalate, for recycling, sorted;-0.9170105456212746;kilogram;waste polyethylene terephthalate, for recycling, sorted;0.0;technosphere;CH
6bdf3d45fbfb3896a43301f7e07b56bb;fish curing, small fish;RoW;fish curing, small fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21242: Fish, otherwise prepared or preserved')];market for waste polyethylene, for recycling, unsorted;-0.020854167345464622;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;Europe without Switzerland
6bdf3d45fbfb3896a43301f7e07b56bb;fish curing, small fish;RoW;fish curing, small fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21242: Fish, otherwise prepared or preserved')];market for waste polyethylene, for recycling, unsorted;-6.276148842296825e-05;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;CH
6bdf3d45fbfb3896a43301f7e07b56bb;fish curing, small fish;RoW;fish curing, small fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21242: Fish, otherwise prepared or preserved')];market for waste polyethylene, for recycling, unsorted;-0.002111536949955987;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;RoW
6bdf3d45fbfb3896a43301f7e07b56bb;fish curing, small fish;RoW;fish curing, small fish;;[('ISIC rev.4 ecoinvent', '1020:Processing and preserving of fish, crustaceans and molluscs'), ('CPC', '21242: Fish, otherwise prepared or preserved')];market for waste polyethylene, for recycling, unsorted;-0.006321534216156422;kilogram;waste polyethylene, for recycling, unsorted;0.0;technosphere;US
