code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location
00d48739796eb226f6c8cfa5a1da2c61;market for municipal solid waste;CH;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, open burning;-0.000526841;kilogram;municipal solid waste;0.0;technosphere;GLO
00f85f5f2992de75bf9179da22208246;market for municipal solid waste;PL;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, open burning;-0.04091;kilogram;municipal solid waste;0.0;technosphere;GLO
0147e5333dd040dedc266610ef456c9c;market for waste polyurethane;AT;waste polyurethane;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyurethane, open burning;-0.000668777328610643;kilogram;waste polyurethane;0.0;technosphere;GLO
01c2069015dc07d1679bb3dc115d4857;market for waste plastic, mixture;IN;waste plastic, mixture;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste plastic, mixture, open burning;-0.284307580310206;kilogram;waste plastic, mixture;0.0;technosphere;GLO
01d298cb5ada5560b62aaa411f88e28e;market for waste graphical paper;IN;waste graphical paper;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39990: Other wastes n.e.c.')];treatment of waste graphical paper, open burning;-0.284307580310206;kilogram;waste graphical paper;0.0;technosphere;GLO
01d7ec0e860a3f35ddb6c5bc0475ff49;market for waste polyurethane;MT;waste polyurethane;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyurethane, open burning;-0.0150317896138671;kilogram;waste polyurethane;0.0;technosphere;GLO
0254fb72b6f0205ff203b3f84aa8178a;market for waste paperboard;IT;waste paperboard;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39240: Waste and scrap of paper or paperboard')];treatment of waste paperboard, open burning;-0.00674378845855387;kilogram;waste paperboard;0.0;technosphere;GLO
025eb1559623e804ca60dadd1f3fb733;market for waste packaging paper;EE;waste packaging paper;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39240: Waste and scrap of paper or paperboard')];treatment of waste packaging paper, open burning;-0.0278904162073016;kilogram;waste packaging paper;0.0;technosphere;GLO
03a522256c276fd866fe3743767b2152;market for waste glass;LT;waste glass;;"[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass')]";treatment of waste glass, open burning;-0.0203629272318968;kilogram;waste glass;0.0;technosphere;GLO
041ae85f40eb2c9f22e3d08de1006102;market for waste polypropylene;DK;waste polypropylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polypropylene, open burning;-0.00017434433461976;kilogram;waste polypropylene;0.0;technosphere;GLO
047d42904ad921c2cb50f8c20384cf15;market for waste polyethylene terephthalate;HU;waste polyethylene terephthalate;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene terephthalate, open burning;-0.0216911062443454;kilogram;waste polyethylene terephthalate;0.0;technosphere;GLO
0515e9864321d984d28ab5c3ed8befdc;market for waste paperboard;GR;waste paperboard;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39240: Waste and scrap of paper or paperboard')];treatment of waste paperboard, open burning;-0.015265724881001;kilogram;waste paperboard;0.0;technosphere;GLO
056197c990cc513b10fb8cadc3065715;market for waste packaging paper;CH;waste packaging paper;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39240: Waste and scrap of paper or paperboard')];treatment of waste packaging paper, open burning;-0.000526841223095166;kilogram;waste packaging paper;0.0;technosphere;GLO
062415678c2d4c9f77857725ec64ff2c;market for municipal solid waste;IS;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, open burning;-0.00917396;kilogram;municipal solid waste;0.0;technosphere;GLO
06fdc11a96f6cdfa66f30590aea9bef7;market for municipal solid waste;BA;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, open burning;-0.0871242;kilogram;municipal solid waste;0.0;technosphere;GLO
073070185c1264e89f2024dd84beebc9;market for waste graphical paper;LU;waste graphical paper;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39990: Other wastes n.e.c.')];treatment of waste graphical paper, open burning;-0.00260975115734594;kilogram;waste graphical paper;0.0;technosphere;GLO
073bec5097da43be91bc6e0eccd456c7;market for municipal solid waste;RO;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, open burning;-0.113764;kilogram;municipal solid waste;0.0;technosphere;GLO
07443937f4e3f823fb195562918c11f7;market for waste polyurethane;IS;waste polyurethane;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyurethane, open burning;-0.00917395587533919;kilogram;waste polyurethane;0.0;technosphere;GLO
07d6811038bc2c0aa947d2942b1a5156;market for municipal solid waste;MT;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, open burning;-0.0150318;kilogram;municipal solid waste;0.0;technosphere;GLO
08740f7ab6c4839b6694ad2113a6a7a5;market for waste polystyrene;HU;waste polystyrene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polystyrene, open burning;-0.0216911062443454;kilogram;waste polystyrene;0.0;technosphere;GLO
09835095bff3bec32708962c5d3d8f75;treatment of waste polyethylene, open burning;GLO;waste polyethylene;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39270: Waste, parings and scrap of plastics')];treatment of waste polyethylene, open burning;-1.0;kilogram;waste polyethylene;1.0;production;GLO
