code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database
00018a2608c38f1e5cdf5f6dbec86312;fibre cement facing tile production, small format;RoW;fibre cement facing tile, small format;;[('ISIC rev.4 ecoinvent', '2395:Manufacture of articles of concrete, cement and plaster'), ('EcoSpold01Categories', 'construction materials/coverings'), ('CPC', '37540: Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone')];market for hazardous waste, for incineration;-0.000857588781974352;kilogram;hazardous waste, for incineration;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2045
00018a2608c38f1e5cdf5f6dbec86312;fibre cement facing tile production, small format;RoW;fibre cement facing tile, small format;;[('ISIC rev.4 ecoinvent', '2395:Manufacture of articles of concrete, cement and plaster'), ('EcoSpold01Categories', 'construction materials/coverings'), ('CPC', '37540: Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone')];market for hazardous waste, for incineration;-0.00041241121802564805;kilogram;hazardous waste, for incineration;0.0;technosphere;Europe without Switzerland;ecoinvent_cutoff_3.9_remind_SSP2-Base_2045
00441e351532792ba3d5b23b8994dc63;treatment of municipal solid waste, incineration;CZ;municipal solid waste;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39910: Municipal waste')];treatment of municipal solid waste, incineration;-1.0;kilogram;municipal solid waste;49239381.1387255;production;CZ;ecoinvent_cutoff_3.9_remind_SSP2-Base_2045
005b5b011cca375e4cedc5024484e4cc;treatment of waste aluminium, sanitary landfill;RoW;waste aluminium;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('EcoSpold01Categories', 'waste management/sanitary landfill'), ('CPC', '39363: Waste and scrap of aluminium')];market for process-specific burdens, municipal waste incineration;0.018754575692221744;kilogram;process-specific burdens, municipal waste incineration;0.0;technosphere;Europe without Switzerland;ecoinvent_cutoff_3.9_remind_SSP2-Base_2045
005b5b011cca375e4cedc5024484e4cc;treatment of waste aluminium, sanitary landfill;RoW;waste aluminium;;[('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('EcoSpold01Categories', 'waste management/sanitary landfill'), ('CPC', '39363: Waste and scrap of aluminium')];market for process-specific burdens, municipal waste incineration;0.047545424307778264;kilogram;process-specific burdens, municipal waste incineration;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2045
00a66355de37391f94102c28f9794744;market for waste rubber, unspecified;Europe without Switzerland;waste rubber, unspecified;;[('EcoSpold01Categories', 'waste management/municipal incineration'), ('ISIC rev.4 ecoinvent', '3821:Treatment and disposal of non-hazardous waste'), ('CPC', '39: Wastes or scraps')];treatment of waste rubber, unspecified, municipal incineration;-1.0;kilogram;waste rubber, unspecified;0.0;technosphere;Europe without Switzerland;ecoinvent_cutoff_3.9_remind_SSP2-Base_2045
00e1a87f57f94f44b3ed8b01390147c9;electricity production, at hard coal-fired IGCC power plant;REF;electricity, high voltage;;[];treatment of hazardous waste, hazardous waste incineration;-1.1313945091071426e-06;kilogram;hazardous waste, for incineration;;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2045
00e1a87f57f94f44b3ed8b01390147c9;electricity production, at hard coal-fired IGCC power plant;REF;electricity, high voltage;;[];treatment of municipal solid waste, incineration;-0.0007188418151785714;kilogram;municipal solid waste;;technosphere;RU;ecoinvent_cutoff_3.9_remind_SSP2-Base_2045
00e1a87f57f94f44b3ed8b01390147c9;electricity production, at hard coal-fired IGCC power plant;REF;electricity, high voltage;;[];treatment of spent solvent mixture, hazardous waste incineration;-3.8504918099999995e-06;kilogram;spent solvent mixture;;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2045
00e1a87f57f94f44b3ed8b01390147c9;electricity production, at hard coal-fired IGCC power plant;REF;electricity, high voltage;;[];treatment of waste emulsion paint, municipal incineration;-1.275162872142857e-06;kilogram;waste emulsion paint;;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2045
