('09/21/2023, 09:37:04', 'con391', 'waste_digestion_cubicmeter', 'additions', 2, 'duration:', '0:00:00.038704')
('09/21/2023, 09:43:08', 'con391', 'waste_total_kilogram', 'additions', 23384, 'duration:', '0:06:03.895832')
('09/21/2023, 09:43:18', 'con391', 'waste_open_burning_kilogram', 'additions', 559, 'duration:', '0:00:09.434675')
('09/21/2023, 09:43:23', 'con391', 'waste_radioactivenon_hazardous_cubicmeter', 'additions', 295, 'duration:', '0:00:05.060299')
('09/21/2023, 09:44:14', 'con391', 'waste_total_cubicmeter', 'additions', 3058, 'duration:', '0:00:50.952603')
('09/21/2023, 09:44:14', 'con391', 'waste_landfill_cubicmeter', 'additions', 1, 'duration:', '0:00:00.017311')
('09/21/2023, 09:44:14', 'con391', 'waste_digestion_kilogram', 'additions', 2, 'duration:', '0:00:00.037051')
('09/21/2023, 09:44:15', 'con391', 'waste_recycling_kilogram', 'additions', 57, 'duration:', '0:00:00.948902')
('09/21/2023, 09:45:01', 'con391', 'waste_non_hazardous_cubicmeter', 'additions', 2763, 'duration:', '0:00:45.761045')
('09/21/2023, 09:45:19', 'con391', 'waste_landfill_kilogram', 'additions', 1152, 'duration:', '0:00:18.599346')
('09/21/2023, 09:45:19', 'con391', 'waste_incineration_cubicmeter', 'additions', 1, 'duration:', '0:00:00.022007')
('09/21/2023, 09:45:38', 'con391', 'waste_hazardous_kilogram', 'additions', 1133, 'duration:', '0:00:18.394843')
('09/21/2023, 09:45:38', 'con391', 'waste_composting_kilogram', 'additions', 8, 'duration:', '0:00:00.127601')
('09/21/2023, 09:45:43', 'con391', 'waste_radioactive_cubicmeter', 'additions', 295, 'duration:', '0:00:04.858152')
('09/21/2023, 09:51:54', 'con391', 'waste_non_hazardous_kilogram', 'additions', 22251, 'duration:', '0:06:11.658628')
('09/21/2023, 09:51:59', 'con391', 'waste_hazardous_cubicmeter', 'additions', 295, 'duration:', '0:00:05.063422')
('09/21/2023, 09:52:19', 'con391', 'waste_incineration_kilogram', 'additions', 1218, 'duration:', '0:00:20.103496')
('09/21/2023, 09:52:20', 'con391', 'MaterialDemand_indium', 'additions', 8, 'duration:', '0:00:00.150177')
('09/21/2023, 09:52:20', 'con391', 'MaterialDemand_latex', 'additions', 36, 'duration:', '0:00:00.603414')
('09/21/2023, 09:58:21', 'con391', 'MaterialDemand_electricity', 'additions', 21172, 'duration:', '0:06:01.042621')
('09/21/2023, 09:58:30', 'con391', 'MaterialDemand_sand', 'additions', 543, 'duration:', '0:00:08.655927')
('09/21/2023, 09:58:30', 'con391', 'MaterialDemand_gold', 'additions', 16, 'duration:', '0:00:00.259749')
('09/21/2023, 09:59:32', 'con391', 'MaterialDemand_natural gas', 'additions', 3770, 'duration:', '0:01:02.286904')
('09/21/2023, 09:59:36', 'con391', 'MaterialDemand_zinc', 'additions', 188, 'duration:', '0:00:03.196930')
('09/21/2023, 09:59:38', 'con391', 'MaterialDemand_platinum', 'additions', 158, 'duration:', '0:00:02.616559')
('09/21/2023, 09:59:39', 'con391', 'MaterialDemand_rare earth', 'additions', 16, 'duration:', '0:00:00.301457')
('09/21/2023, 09:59:41', 'con391', 'MaterialDemand_cobalt', 'additions', 153, 'duration:', '0:00:02.519140')
('09/21/2023, 09:59:42', 'con391', 'MaterialDemand_coke', 'additions', 60, 'duration:', '0:00:01.015094')
('09/21/2023, 09:59:42', 'con391', 'MaterialDemand_scandium', 'additions', 1, 'duration:', '0:00:00.021743')
('09/21/2023, 09:59:43', 'con391', 'MaterialDemand_palladium', 'additions', 24, 'duration:', '0:00:00.420059')
('09/21/2023, 09:59:43', 'con391', 'MaterialDemand_magnesium', 'additions', 36, 'duration:', '0:00:00.609814')
('09/21/2023, 09:59:44', 'con391', 'MaterialDemand_silver', 'additions', 30, 'duration:', '0:00:00.478732')
('09/21/2023, 09:59:44', 'con391', 'MaterialDemand_strontium', 'additions', 1, 'duration:', '0:00:00.021689')
('09/21/2023, 09:59:44', 'con391', 'MaterialDemand_gallium', 'additions', 2, 'duration:', '0:00:00.045476')
('09/21/2023, 09:59:44', 'con391', 'MaterialDemand_helium', 'additions', 41, 'duration:', '0:00:00.672575')
('09/21/2023, 09:59:45', 'con391', 'MaterialDemand_rhodium', 'additions', 11, 'duration:', '0:00:00.197162')
('09/21/2023, 09:59:45', 'con391', 'MaterialDemand_fluorspar', 'additions', 21, 'duration:', '0:00:00.393990')
('09/21/2023, 10:00:49', 'con391', 'MaterialDemand_water', 'additions', 3785, 'duration:', '0:01:04.061466')
('09/21/2023, 10:00:49', 'con391', 'MaterialDemand_tungsten', 'additions', 5, 'duration:', '0:00:00.120372')
('09/21/2023, 10:00:55', 'con391', 'MaterialDemand_nickel', 'additions', 273, 'duration:', '0:00:06.125848')
('09/21/2023, 10:00:55', 'con391', 'MaterialDemand_tantalum', 'additions', 2, 'duration:', '0:00:00.050061')
('09/21/2023, 10:00:57', 'con391', 'MaterialDemand_silicon', 'additions', 107, 'duration:', '0:00:02.095404')
('09/21/2023, 10:01:01', 'con391', 'MaterialDemand_phosphate rock', 'additions', 194, 'duration:', '0:00:03.293562')
('09/21/2023, 10:01:12', 'con391', 'MaterialDemand_copper', 'additions', 711, 'duration:', '0:00:11.399127')
