('09/29/2023, 00:13:25', 'ecoinvent_cutoff_3.9', 'MaterialDemand_antimony', 'additions', 22, 'duration:', '0:00:00.237867')
('09/29/2023, 00:13:25', 'ecoinvent_cutoff_3.9', 'MaterialDemand_bauxite', 'additions', 24, 'duration:', '0:00:00.243285')
('09/29/2023, 00:13:25', 'ecoinvent_cutoff_3.9', 'MaterialDemand_borates', 'additions', 15, 'duration:', '0:00:00.152137')
('09/29/2023, 00:13:43', 'ecoinvent_cutoff_3.9', 'MaterialDemand_cement', 'additions', 1797, 'duration:', '0:00:18.100383')
('09/29/2023, 00:13:45', 'ecoinvent_cutoff_3.9', 'MaterialDemand_cobalt', 'additions', 152, 'duration:', '0:00:01.507594')
('09/29/2023, 00:13:46', 'ecoinvent_cutoff_3.9', 'MaterialDemand_coke', 'additions', 68, 'duration:', '0:00:00.678287')
('09/29/2023, 00:13:53', 'ecoinvent_cutoff_3.9', 'MaterialDemand_copper', 'additions', 747, 'duration:', '0:00:07.460602')
('09/29/2023, 00:19:15', 'ecoinvent_cutoff_3.9', 'MaterialDemand_electricity', 'additions', 22984, 'duration:', '0:05:21.459495')
('09/29/2023, 00:19:15', 'ecoinvent_cutoff_3.9', 'MaterialDemand_fluorspar', 'additions', 22, 'duration:', '0:00:00.351989')
('09/29/2023, 00:19:15', 'ecoinvent_cutoff_3.9', 'MaterialDemand_gallium', 'additions', 2, 'duration:', '0:00:00.032247')
('09/29/2023, 00:19:15', 'ecoinvent_cutoff_3.9', 'MaterialDemand_gold', 'additions', 8, 'duration:', '0:00:00.138520')
('09/29/2023, 00:19:16', 'ecoinvent_cutoff_3.9', 'MaterialDemand_graphite', 'additions', 30, 'duration:', '0:00:00.472389')
('09/29/2023, 00:19:16', 'ecoinvent_cutoff_3.9', 'MaterialDemand_helium', 'additions', 41, 'duration:', '0:00:00.656946')
('09/29/2023, 00:19:16', 'ecoinvent_cutoff_3.9', 'MaterialDemand_indium', 'additions', 8, 'duration:', '0:00:00.123215')
('09/29/2023, 00:19:17', 'ecoinvent_cutoff_3.9', 'MaterialDemand_latex', 'additions', 49, 'duration:', '0:00:00.760688')
('09/29/2023, 00:19:17', 'ecoinvent_cutoff_3.9', 'MaterialDemand_lithium', 'additions', 10, 'duration:', '0:00:00.157006')
('09/29/2023, 00:19:18', 'ecoinvent_cutoff_3.9', 'MaterialDemand_magnesium', 'additions', 50, 'duration:', '0:00:00.758254')
('09/29/2023, 00:20:45', 'ecoinvent_cutoff_3.9', 'MaterialDemand_natural gas', 'additions', 5664, 'duration:', '0:01:26.535303')
('09/29/2023, 00:20:49', 'ecoinvent_cutoff_3.9', 'MaterialDemand_nickel', 'additions', 272, 'duration:', '0:00:04.146919')
('09/29/2023, 00:20:49', 'ecoinvent_cutoff_3.9', 'MaterialDemand_palladium', 'additions', 22, 'duration:', '0:00:00.329654')
('09/29/2023, 00:20:52', 'ecoinvent_cutoff_3.9', 'MaterialDemand_petroleum', 'additions', 195, 'duration:', '0:00:02.878562')
('09/29/2023, 00:20:55', 'ecoinvent_cutoff_3.9', 'MaterialDemand_phosphate rock', 'additions', 207, 'duration:', '0:00:03.108909')
('09/29/2023, 00:20:57', 'ecoinvent_cutoff_3.9', 'MaterialDemand_platinum', 'additions', 158, 'duration:', '0:00:02.367143')
('09/29/2023, 00:20:58', 'ecoinvent_cutoff_3.9', 'MaterialDemand_rare earth', 'additions', 31, 'duration:', '0:00:00.458381')
('09/29/2023, 00:20:58', 'ecoinvent_cutoff_3.9', 'MaterialDemand_rhodium', 'additions', 11, 'duration:', '0:00:00.164108')
('09/29/2023, 00:21:06', 'ecoinvent_cutoff_3.9', 'MaterialDemand_sand', 'additions', 553, 'duration:', '0:00:08.355543')
('09/29/2023, 00:21:06', 'ecoinvent_cutoff_3.9', 'MaterialDemand_scandium', 'additions', 1, 'duration:', '0:00:00.015909')
