('10/02/2023, 23:07:06', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_antimony', 'additions', 3, 'duration:', '0:00:00.077309')
('10/02/2023, 23:07:06', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_bauxite', 'additions', 24, 'duration:', '0:00:00.513273')
('10/02/2023, 23:07:07', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_borates', 'additions', 13, 'duration:', '0:00:00.276422')
('10/02/2023, 23:07:35', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_cement', 'additions', 1617, 'duration:', '0:00:28.142329')
('10/02/2023, 23:07:38', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_cobalt', 'additions', 153, 'duration:', '0:00:03.206047')
('10/02/2023, 23:07:39', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_coke', 'additions', 60, 'duration:', '0:00:01.230806')
('10/02/2023, 23:07:53', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_copper', 'additions', 711, 'duration:', '0:00:13.809604')
('10/02/2023, 23:13:44', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_electricity', 'additions', 21172, 'duration:', '0:05:51.062908')
('10/02/2023, 23:13:44', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_fluorspar', 'additions', 21, 'duration:', '0:00:00.337520')
('10/02/2023, 23:13:44', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_gallium', 'additions', 2, 'duration:', '0:00:00.034068')
('10/02/2023, 23:13:45', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_gold', 'additions', 16, 'duration:', '0:00:00.259619')
('10/02/2023, 23:13:45', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_graphite', 'additions', 24, 'duration:', '0:00:00.399817')
('10/02/2023, 23:13:46', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_helium', 'additions', 41, 'duration:', '0:00:00.648904')
('10/02/2023, 23:13:46', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_indium', 'additions', 8, 'duration:', '0:00:00.131390')
('10/02/2023, 23:13:46', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_latex', 'additions', 36, 'duration:', '0:00:00.571621')
('10/02/2023, 23:13:47', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_lithium', 'additions', 13, 'duration:', '0:00:00.211424')
('10/02/2023, 23:13:47', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_magnesium', 'additions', 36, 'duration:', '0:00:00.566034')
('10/02/2023, 23:14:49', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_natural gas', 'additions', 3770, 'duration:', '0:01:01.852472')
('10/02/2023, 23:14:54', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_nickel', 'additions', 273, 'duration:', '0:00:04.485745')
('10/02/2023, 23:14:54', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_palladium', 'additions', 24, 'duration:', '0:00:00.394567')
('10/02/2023, 23:14:57', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_petroleum', 'additions', 187, 'duration:', '0:00:02.975175')
('10/02/2023, 23:15:00', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_phosphate rock', 'additions', 194, 'duration:', '0:00:03.055147')
('10/02/2023, 23:15:03', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_platinum', 'additions', 158, 'duration:', '0:00:02.568176')
('10/02/2023, 23:15:03', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_rare earth', 'additions', 16, 'duration:', '0:00:00.270216')
('10/02/2023, 23:15:03', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_rhodium', 'additions', 11, 'duration:', '0:00:00.200406')
('10/02/2023, 23:15:12', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_sand', 'additions', 543, 'duration:', '0:00:08.887533')
('10/02/2023, 23:15:12', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_scandium', 'additions', 1, 'duration:', '0:00:00.016771')
('10/02/2023, 23:15:14', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_silicon', 'additions', 107, 'duration:', '0:00:01.799341')
('10/02/2023, 23:15:14', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_silver', 'additions', 30, 'duration:', '0:00:00.510719')
('10/02/2023, 23:15:14', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_strontium', 'additions', 1, 'duration:', '0:00:00.015473')
('10/02/2023, 23:15:14', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_tantalum', 'additions', 2, 'duration:', '0:00:00.035301')
('10/02/2023, 23:15:14', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_tungsten', 'additions', 5, 'duration:', '0:00:00.077997')
('10/02/2023, 23:15:15', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_vegetable oil', 'additions', 29, 'duration:', '0:00:00.479751')
('10/02/2023, 23:17:28', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_water', 'additions', 8093, 'duration:', '0:02:13.427886')
('10/02/2023, 23:17:31', 'ecoinvent_3.9.1_consequential', 'MaterialDemand_zinc', 'additions', 188, 'duration:', '0:00:03.124915')
('10/02/2023, 23:17:32', 'ecoinvent_3.9.1_consequential', 'waste_composting_kilogram', 'additions', 14, 'duration:', '0:00:00.237075')
('10/02/2023, 23:17:32', 'ecoinvent_3.9.1_consequential', 'waste_digestion_cubicmeter', 'additions', 6, 'duration:', '0:00:00.098457')
('10/02/2023, 23:17:32', 'ecoinvent_3.9.1_consequential', 'waste_digestion_kilogram', 'additions', 4, 'duration:', '0:00:00.072885')
('10/02/2023, 23:17:38', 'ecoinvent_3.9.1_consequential', 'waste_hazardous_cubicmeter', 'additions', 349, 'duration:', '0:00:05.848097')
('10/02/2023, 23:18:02', 'ecoinvent_3.9.1_consequential', 'waste_hazardous_kilogram', 'additions', 1504, 'duration:', '0:00:24.582004')
('10/02/2023, 23:18:02', 'ecoinvent_3.9.1_consequential', 'waste_incineration_cubicmeter', 'additions', 2, 'duration:', '0:00:00.030854')
('10/02/2023, 23:18:30', 'ecoinvent_3.9.1_consequential', 'waste_incineration_kilogram', 'additions', 1678, 'duration:', '0:00:27.666940')
('10/02/2023, 23:18:30', 'ecoinvent_3.9.1_consequential', 'waste_landfill_cubicmeter', 'additions', 2, 'duration:', '0:00:00.036912')
('10/02/2023, 23:18:52', 'ecoinvent_3.9.1_consequential', 'waste_landfill_kilogram', 'additions', 1340, 'duration:', '0:00:21.993813')
('10/02/2023, 23:19:40', 'ecoinvent_3.9.1_consequential', 'waste_non_hazardous_cubicmeter', 'additions', 2901, 'duration:', '0:00:47.783456')
('10/02/2023, 23:26:21', 'ecoinvent_3.9.1_consequential', 'waste_non_hazardous_kilogram', 'additions', 24121, 'duration:', '0:06:41.748310')
('10/02/2023, 23:26:31', 'ecoinvent_3.9.1_consequential', 'waste_open_burning_kilogram', 'additions', 579, 'duration:', '0:00:09.361032')
('10/02/2023, 23:26:33', 'ecoinvent_3.9.1_consequential', 'waste_recycling_kilogram', 'additions', 117, 'duration:', '0:00:01.936540')
