('12/12/2023, 00:00:00', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'WasteFootprint_total-kilogram', 'additions', 31900, 'duration:', '0:29:30.396557')
('12/12/2023, 00:00:14', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_antimony', 'additions', 27, 'duration:', '0:00:00.630153')
('12/12/2023, 00:00:15', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_bauxite', 'additions', 28, 'duration:', '0:00:01.279281')
('12/12/2023, 00:00:15', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_beryllium', 'additions', 1, 'duration:', '0:00:01.303530')
('12/12/2023, 00:00:15', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_borates', 'additions', 15, 'duration:', '0:00:01.652216')
('12/12/2023, 00:00:16', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_cadmium', 'additions', 17, 'duration:', '0:00:02.050379')
('12/12/2023, 00:00:48', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_cement', 'additions', 1540, 'duration:', '0:00:34.154914')
('12/12/2023, 00:00:48', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_cerium', 'additions', 3, 'duration:', '0:00:34.223624')
('12/12/2023, 00:00:57', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_chromium', 'additions', 473, 'duration:', '0:00:42.928097')
('12/12/2023, 00:01:00', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_coal', 'additions', 146, 'duration:', '0:00:46.068426')
('12/12/2023, 00:01:03', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_cobalt', 'additions', 166, 'duration:', '0:00:49.423536')
('12/12/2023, 00:01:05', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_coke', 'additions', 110, 'duration:', '0:00:51.694396')
('12/12/2023, 00:01:29', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_copper', 'additions', 1237, 'duration:', '0:01:15.338417')
('12/12/2023, 00:01:29', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_dysprosium', 'additions', 1, 'duration:', '0:01:15.354792')
('12/12/2023, 00:08:49', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_electricity', 'additions', 23936, 'duration:', '0:08:35.827406')
('12/12/2023, 00:08:50', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_erbium', 'additions', 1, 'duration:', '0:08:35.852466')
('12/12/2023, 00:08:50', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_europium', 'additions', 1, 'duration:', '0:08:35.872464')
('12/12/2023, 00:08:50', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_fluorspar', 'additions', 29, 'duration:', '0:08:36.487096')
('12/12/2023, 00:08:50', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_gadolinium', 'additions', 1, 'duration:', '0:08:36.512771')
('12/12/2023, 00:08:50', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_gallium', 'additions', 4, 'duration:', '0:08:36.593806')
('12/12/2023, 00:08:50', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_gold', 'additions', 11, 'duration:', '0:08:36.801647')
('12/12/2023, 00:08:51', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_graphite', 'additions', 33, 'duration:', '0:08:37.436709')
('12/12/2023, 00:08:52', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_helium', 'additions', 46, 'duration:', '0:08:38.364879')
('12/12/2023, 00:08:52', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_holmium', 'additions', 1, 'duration:', '0:08:38.396053')
('12/12/2023, 00:09:17', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_hydrogen', 'additions', 673, 'duration:', '0:09:03.791402')
('12/12/2023, 00:09:18', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_indium', 'additions', 13, 'duration:', '0:09:04.037024')
('12/12/2023, 00:09:19', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_latex', 'additions', 50, 'duration:', '0:09:04.973759')
('12/12/2023, 00:09:20', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_lithium', 'additions', 52, 'duration:', '0:09:05.953857')
('12/12/2023, 00:09:25', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_magnesium', 'additions', 312, 'duration:', '0:09:11.497025')
('12/12/2023, 00:10:19', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_natural gas', 'additions', 2967, 'duration:', '0:10:05.094061')
('12/12/2023, 00:10:27', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_nickel', 'additions', 434, 'duration:', '0:10:12.868123')
('12/12/2023, 00:10:27', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_palladium', 'additions', 35, 'duration:', '0:10:13.481878')
('12/12/2023, 00:10:36', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_petroleum', 'additions', 507, 'duration:', '0:10:22.343890')
('12/12/2023, 00:10:40', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'MaterialFootprint_phosphate rock', 'additions', 207, 'duration:', '0:10:26.166155')
