code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
001d0d73228572b9594a582327070e2b;electricity production, oil;IN-OR;electricity, high voltage;;market for lignite ash;-0.000842998138044215;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
00ae3e72e63145e2a0ea2e4be8d9eae8;electricity production, at lignite-fired IGCC power plant;RER;electricity, high voltage;;market for lignite;0.9195402298850576;kilogram;lignite;;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
00f412d1aedba7bf45ac8e166f38c6f5;electricity production, oil;BR-North-eastern grid;electricity, high voltage;;market for lignite ash;-0.00054988079505288;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
02913892e528bdc0e86200babc8d0bed;electricity production, oil;RoW;electricity, high voltage;;market for lignite ash;-0.0005878839987610641;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
02913892e528bdc0e86200babc8d0bed;electricity production, oil;RoW;electricity, high voltage;;market for lignite ash;-4.260265223099521e-08;kilogram;lignite ash;0.0;technosphere;CH;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
02c1e856918387a63eee82addf807656;heat and power co-generation, lignite;RU;heat, district or industrial, other than natural gas;;market for lignite;0.03844629387274216;kilogram;lignite;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
02c1e856918387a63eee82addf807656;heat and power co-generation, lignite;RU;heat, district or industrial, other than natural gas;;market for lignite;0.046412184914145026;kilogram;lignite;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
02c1e856918387a63eee82addf807656;heat and power co-generation, lignite;RU;heat, district or industrial, other than natural gas;;market for lignite ash;-0.011658127459506932;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
02c1e856918387a63eee82addf807656;heat and power co-generation, lignite;RU;heat, district or industrial, other than natural gas;;market for lignite power plant;4.67030049398237e-13;unit;lignite power plant;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
0450de067e2e871d2e124fa1cb744343;electricity production, oil;AR;electricity, high voltage;;market for lignite ash;-0.000648190829925264;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
051562afbb244374bb25d432cbbbe95d;pulverised lignite production;DE;pulverised lignite;;market for lignite;0.111;kilogram;lignite;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
051562afbb244374bb25d432cbbbe95d;pulverised lignite production;DE;pulverised lignite;;market for lignite ash;-0.0006;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
05a471c48d0b488ab1458e34220dd7ed;electricity production, oil;CA-ON;electricity, high voltage;;market for lignite ash;-0.000673476292640615;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
068842db6eef205f8d27b326e7e55a0c;electricity production, lignite;ES;electricity, high voltage;;market for lignite;1.02994652406417;kilogram;lignite;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
068842db6eef205f8d27b326e7e55a0c;electricity production, lignite;ES;electricity, high voltage;;market for lignite ash;-0.141497326203209;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
07338b5670e31ebb814c85b2e7662fc6;heat and power co-generation, lignite;GR;electricity, high voltage;;market for lignite;2.3699963350572144;kilogram;lignite;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
07338b5670e31ebb814c85b2e7662fc6;heat and power co-generation, lignite;GR;electricity, high voltage;;market for lignite ash;-0.4361281915543431;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
08c8c37d2a9011b111ba2ab09b4a01a5;electricity production, oil;CN-GZ;electricity, high voltage;;market for lignite ash;-0.000659190431887633;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
09b770ef246dbe4ebe521cfd6764e5cc;lignite briquettes production;DE;lignite briquettes;;market for lignite;0.111;kilogram;lignite;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
09b770ef246dbe4ebe521cfd6764e5cc;lignite briquettes production;DE;lignite briquettes;;market for lignite ash;-0.0005;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
09c469ce9f5a963fcdeac5defbaefe59;electricity production, oil;US-HICC;electricity, high voltage;;market for lignite ash;-0.000589519898436095;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
0a959f1d781db27e55c20f1fe809f78f;heat and power co-generation, oil;IE;electricity, high voltage;;market for lignite ash;-1.1373749918531942e-05;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
0b160e18854f7c5360ac84644c659a7f;heat and power co-generation, oil;US-TRE;heat, district or industrial, other than natural gas;;market for lignite ash;-3.598251399971138e-05;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
0b63b14426b47dae429d333770c24340;heat and power co-generation, lignite;HU;heat, district or industrial, other than natural gas;;market for lignite;0.06115955340685528;kilogram;lignite;0.0;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
0b63b14426b47dae429d333770c24340;heat and power co-generation, lignite;HU;heat, district or industrial, other than natural gas;;market for lignite ash;-0.008402293785801613;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
0b72e182c6b9a5c566fb762785864d73;heat and power co-generation, oil;PL;heat, district or industrial, other than natural gas;;market for lignite ash;-6.858195513345339e-07;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
0bc1adc36f1ad8078209d4fff922f04d;electricity production, oil;CN-SA;electricity, high voltage;;market for lignite ash;-0.000621522407208342;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
0cc904f29d2253f98c2cb338fa658877;electricity production, oil;PE;electricity, high voltage;;market for lignite ash;-0.000641624778628625;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
0df3d06bff17479aae448d1152897a7e;electricity production, at lignite-fired power plant, post, pipeline 200km, storage 1000m;RER;electricity, high voltage;;market for lignite;1.2539184952978057;kilogram;lignite;;technosphere;RER;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
0df3d06bff17479aae448d1152897a7e;electricity production, at lignite-fired power plant, post, pipeline 200km, storage 1000m;RER;electricity, high voltage;;market for lignite power plant;3.3731099999999995e-12;unit;lignite power plant;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
0e66ff028062bf769d6c155b796a91c2;electricity production, oil;IR;electricity, high voltage;;market for lignite ash;-0.000779687607609029;kilogram;lignite ash;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2025;coal(brown)
