code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
00fd2941a09d83ab45d5eebafa6ee56c;titanium dioxide production, chloride process;RoW;titanium dioxide;;market for petroleum coke;0.366;kilogram;petroleum coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
01aac916a13dc35e8ae7abd6e4d43029;petrol production, unleaded, petroleum refinery operation;IN;petrol, unleaded;;market for petroleum;1.1053457433394798;kilogram;petroleum;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
01aac916a13dc35e8ae7abd6e4d43029;petrol production, unleaded, petroleum refinery operation;IN;petrol, unleaded;;market for petroleum refinery;6.028766446730182e-12;unit;petroleum refinery;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
02c1e856918387a63eee82addf807656;heat and power co-generation, lignite;RU;heat, district or industrial, other than natural gas;;market for petroleum coke;0.00011023671543343288;kilogram;petroleum coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
0387196a56eb12762f38ea31ff35839f;primary zinc production from concentrate;RoW;gypsum, mineral;;market for petroleum coke;1.3744320345287865e-07;kilogram;petroleum coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
03b5b6116953f8933b7c7dfebc708249;zirconium and hafnium tetrachloride production, from zircon;RoW;zirconium tetrachloride;;market for petroleum coke;0.37780849311176384;kilogram;petroleum coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
03ee13b1165e6715f19b55030dc6e8f4;petroleum refinery operation;CH;light fuel oil;;market for petroleum;0.9819115345984767;kilogram;petroleum;0.0;technosphere;CH;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
04aac4a87adccee3da87aa7fc33a96d3;pitch production, petroleum refinery operation;RoW;pitch;;market for petroleum;0.31633421748332;kilogram;petroleum;0.0;technosphere;RNA;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
04aac4a87adccee3da87aa7fc33a96d3;pitch production, petroleum refinery operation;RoW;pitch;;market for petroleum;0.6849397588914163;kilogram;petroleum;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
04aac4a87adccee3da87aa7fc33a96d3;pitch production, petroleum refinery operation;RoW;pitch;;market for petroleum;0.0007948985520062509;kilogram;petroleum;0.0;technosphere;CH;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
04aac4a87adccee3da87aa7fc33a96d3;pitch production, petroleum refinery operation;RoW;pitch;;market for petroleum refinery;5.465474714019482e-12;unit;petroleum refinery;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
05c7c035fcfc170c9a0b18c36a7b7de3;reformate production, petroleum refinery operation;RoW;reformate;;market for petroleum;0.3318093971054553;kilogram;petroleum;0.0;technosphere;RNA;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
05c7c035fcfc170c9a0b18c36a7b7de3;reformate production, petroleum refinery operation;RoW;reformate;;market for petroleum;0.7184472494294756;kilogram;petroleum;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
05c7c035fcfc170c9a0b18c36a7b7de3;reformate production, petroleum refinery operation;RoW;reformate;;market for petroleum;0.0008337852648365523;kilogram;petroleum;0.0;technosphere;CH;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
05c7c035fcfc170c9a0b18c36a7b7de3;reformate production, petroleum refinery operation;RoW;reformate;;market for petroleum refinery;5.732847632423884e-12;unit;petroleum refinery;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
061dddaa15bf0b3c4bbb96af17631ef3;sulfur production, petroleum refinery operation;PE;sulfur;;market for petroleum;0.038511806136793225;kilogram;petroleum;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
061dddaa15bf0b3c4bbb96af17631ef3;sulfur production, petroleum refinery operation;PE;sulfur;;market for petroleum refinery;2.1005073393508173e-13;unit;petroleum refinery;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
068842db6eef205f8d27b326e7e55a0c;electricity production, lignite;ES;electricity, high voltage;;market for petroleum coke;0.0013379679144385;kilogram;petroleum coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
07be79e7c5655cfd71215697f60b9423;cobalt production;GLO;cobalt hydroxide;;market for petroleum coke;0.2503777227581423;kilogram;petroleum coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
084afd8db917fd112552c0418d185da2;synthetic fuel production, from coal, high temperature Fisher-Tropsch operations;ZA;1-butanol;;market for petroleum refinery;9.906735912357984e-10;unit;petroleum refinery;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
08686d8891e551d760f8a1e7d89b00fa;petroleum coke production, petroleum refinery operation;RoW;petroleum coke;;market for petroleum;0.24880397855301467;kilogram;petroleum;0.0;technosphere;RNA;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
08686d8891e551d760f8a1e7d89b00fa;petroleum coke production, petroleum refinery operation;RoW;petroleum coke;;market for petroleum;0.5387205293095201;kilogram;petroleum;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
08686d8891e551d760f8a1e7d89b00fa;petroleum coke production, petroleum refinery operation;RoW;petroleum coke;;market for petroleum;0.0006252055938134928;kilogram;petroleum;0.0;technosphere;CH;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
08686d8891e551d760f8a1e7d89b00fa;petroleum coke production, petroleum refinery operation;RoW;petroleum coke;;market for petroleum refinery;4.298718818177343e-12;unit;petroleum refinery;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
09754001c805c6e75ec5ece72cf43a49;heavy fuel oil production, petroleum refinery operation;Europe without Switzerland;heavy fuel oil;;market for petroleum;0.9805853825051132;kilogram;petroleum;0.0;technosphere;Europe without Switzerland;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
0b63b14426b47dae429d333770c24340;heat and power co-generation, lignite;HU;heat, district or industrial, other than natural gas;;market for petroleum coke;7.945026096778396e-05;kilogram;petroleum coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
0bf92b2410a3fcc34847e61201ce01ec;zirconium and hafnium tetrachloride production, from zircon;FR;hydrochloric acid, without water, in 30% solution state;;market for petroleum coke;0.010765649195840032;kilogram;petroleum coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
0c5e040486df845f2e3fe1e948007d9e;synthetic fuel production, from coal, high temperature Fisher-Tropsch operations;ZA;heavy fuel oil;;market for petroleum refinery;2.503900285541029e-10;unit;petroleum refinery;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
0e280503dc8ccdddb576c2c113c135a8;anode production, prebake, for aluminium electrolysis;IAI Area, Russia & RER w/o EU27 & EFTA;anode, prebake, for aluminium electrolysis;;market for petroleum coke;0.722;kilogram;petroleum coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
10217b3ee7d4bc5d4000500116b0c884;electricity production, medium voltage, petroleum refinery operation;IN;electricity, medium voltage;;market for petroleum;0.26222226077207955;kilogram;petroleum;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
10217b3ee7d4bc5d4000500116b0c884;electricity production, medium voltage, petroleum refinery operation;IN;electricity, medium voltage;;market for petroleum refinery;1.4302102096600823e-12;unit;petroleum refinery;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
116aaf86420c04e11a8533e16470a2f7;cobalt production;GLO;zinc sulfide;;market for petroleum coke;0.009817213854161419;kilogram;petroleum coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
1174af7761ed932d3364879ff9049082;base oil production, petroleum refinery operation;BR;base oil;;market for petroleum;0.08261684993243305;kilogram;petroleum;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
1174af7761ed932d3364879ff9049082;base oil production, petroleum refinery operation;BR;base oil;;market for petroleum refinery;7.1185493380178856e-12;unit;petroleum refinery;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
1276e9961272b2ab3cf63c320d7975e1;market for petroleum;CH;petroleum;;market for petroleum;0.000342;kilogram;petroleum;0.0;technosphere;CH;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
13219b5df47924a337ae7c01fde7108f;cobalt production;GLO;electrolyte, copper-rich;;market for petroleum coke;0.03488243757436868;kilogram;petroleum coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
13b0c001f1488143a21971f7c60a92e2;cobalt production;GLO;cobalt acetate;;market for petroleum coke;0.07032956165855421;kilogram;petroleum coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
13e56a6f7aafd91f8a4afc12e6039625;electricity production, medium voltage, petroleum refinery operation;CO;electricity, medium voltage;;market for petroleum;0.25935372099526954;kilogram;petroleum;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
13e56a6f7aafd91f8a4afc12e6039625;electricity production, medium voltage, petroleum refinery operation;CO;electricity, medium voltage;;market for petroleum refinery;1.4145646467565766e-12;unit;petroleum refinery;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
15caf5d2e6b7d6ee58b965adcfcf208b;white spirit production, petroleum refinery operation;RoW;white spirit;;market for petroleum;0.33604333691098764;kilogram;petroleum;0.0;technosphere;RNA;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
15caf5d2e6b7d6ee58b965adcfcf208b;white spirit production, petroleum refinery operation;RoW;white spirit;;market for petroleum;0.7276147487048741;kilogram;petroleum;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
15caf5d2e6b7d6ee58b965adcfcf208b;white spirit production, petroleum refinery operation;RoW;white spirit;;market for petroleum;0.0008444244952286194;kilogram;petroleum;0.0;technosphere;CH;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
15caf5d2e6b7d6ee58b965adcfcf208b;white spirit production, petroleum refinery operation;RoW;white spirit;;market for petroleum refinery;5.805999664891068e-12;unit;petroleum refinery;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
15e7399d9c4db1aea8eb0df808840f85;anode production, paste, for aluminium electrolysis;IAI Area, Africa;anode, paste, for aluminium electrolysis;;market for petroleum coke;0.702;kilogram;petroleum coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
160607bda9c3fb37a0a46f09b4fec688;white spirit production, petroleum refinery operation;Europe without Switzerland;white spirit;;market for petroleum;1.0645025101110903;kilogram;petroleum;0.0;technosphere;Europe without Switzerland;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
1608ce808018afb0c784c6021a07d4e2;primary zinc production from concentrate;RoW;sulfur;;market for petroleum coke;1.5167614529027878e-06;kilogram;petroleum coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
16ba770e083748fef88378303f499023;light fuel oil production, petroleum refinery operation;IN;light fuel oil;;market for petroleum;1.0872333136604628;kilogram;petroleum;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
16ba770e083748fef88378303f499023;light fuel oil production, petroleum refinery operation;IN;light fuel oil;;market for petroleum refinery;5.92997780166086e-12;unit;petroleum refinery;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
18aa6bfb8f439cc152ccb7d18c0a8e7e;zirconium and hafnium tetrachloride production, from zircon;US;hydrochloric acid, without water, in 30% solution state;;market for petroleum coke;0.010765649195840032;kilogram;petroleum coke;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
18d67af4bc204ca94978438e14a2d92c;diesel production, low-sulfur, petroleum refinery operation;PE;diesel, low-sulfur;;market for petroleum;1.122018677319571;kilogram;petroleum;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2070;petroleum
