code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
000a80aacb28e74f67e4dd31d39ef4e3;diesel-electric generating set production 18.5kW;GLO;diesel-electric generating set, 18.5kW;;market for aluminium, wrought alloy;300.0;kilogram;aluminium, wrought alloy;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;aluminium
0038f30a6953ace6e773d680271fa1a3;autoclaved aerated concrete block production;CH;autoclaved aerated concrete block;;market for aluminium, cast alloy;0.0007;kilogram;aluminium, cast alloy;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;aluminium
00526caed75b53426b1973a2c47ab7b6;[sulfonyl]urea-compound production;RER;[sulfonyl]urea-compound;;market for aluminium, cast alloy;0.00358336;kilogram;aluminium, cast alloy;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;aluminium
00526caed75b53426b1973a2c47ab7b6;[sulfonyl]urea-compound production;RER;[sulfonyl]urea-compound;;market for aluminium, wrought alloy;0.00761464;kilogram;aluminium, wrought alloy;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;aluminium
0086c2d27a3baddf8394c53dc979193b;greenhouse construction, glass walls and roof, plastic tubes;FR;greenhouse, glass walls and roof;;market for aluminium alloy, AlMg3;0.228;kilogram;aluminium alloy, AlMg3;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;aluminium
00ad828eebcca4104e8a8f6102040531;aluminium production, primary, ingot;IAI Area, South America;aluminium, primary, ingot;;market for aluminium casting facility;1.54e-10;unit;aluminium casting facility;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;aluminium
00ae3e72e63145e2a0ea2e4be8d9eae8;electricity production, at lignite-fired IGCC power plant;RER;electricity, high voltage;;market for aluminium, cast alloy;6.592e-08;kilogram;aluminium, cast alloy;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;aluminium
01681cdd81bf3911a2475a926c000316;uranium production, centrifuge, enriched 4.2%;GB;uranium, enriched 4.2%, per separative work unit;;market for aluminium, wrought alloy;0.05;kilogram;aluminium, wrought alloy;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;aluminium
01aac916a13dc35e8ae7abd6e4d43029;petrol production, unleaded, petroleum refinery operation;IN;petrol, unleaded;;market for aluminium oxide, non-metallurgical;0.00014267307211828932;kilogram;aluminium oxide, non-metallurgical;0.0;technosphere;RoW;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;aluminium
01e00a98f405b68139620072291e3fbf;aluminium milling, dressing;RoW;aluminium removed by milling, dressing;;market for aluminium, cast alloy;0.32;kilogram;aluminium, cast alloy;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;aluminium
01e00a98f405b68139620072291e3fbf;aluminium milling, dressing;RoW;aluminium removed by milling, dressing;;market for aluminium, wrought alloy;0.68;kilogram;aluminium, wrought alloy;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;aluminium
