code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
064474d9edc886e6b99a9944237ec2ef;lithium iron phosphate production, hydrothermal process;CN;lithium sulfate;;market for lithium hydroxide;0.12334411246743086;kilogram;lithium hydroxide;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
0b2c907306bfb1e9bf00f7889ed9dfe5;lithium hydroxide production;GLO;lithium hydroxide;;market for lithium carbonate;1.6227970530005518;kilogram;lithium carbonate;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
0beee5369c084220811cec3c89d0ea96;lithium iron phosphate [LiFePO4];JP;lithium iron phosphate [LiFePO4];;market for lithium hydroxide, battery grade;0.46;kilogram;lithium hydroxide, battery grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
138f03316d74f3aacb5d8319b7bd64bc;lithium iron phosphate production, hydrothermal process;CN;lithium iron phosphate;;market for lithium hydroxide;0.3700328913105785;kilogram;lithium hydroxide;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
1c5c182327d3b34ec6a3db5024e60d1a;pesticide production, unspecified;RER;pesticide, unspecified;;market for lithium;0.00068208;kilogram;lithium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
1df8fe3291484a14b302d8ffeaa20738;electrolyte, LTO;JP;electrolyte, LTO;;market for lithium hexafluorophosphate;0.106;kilogram;lithium hexafluorophosphate;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
234f374a1626d293d30f4c0714b56972;cathode production, LiMn2O4, for Li-ion battery;CN;cathode, LiMn2O4, for Li-ion battery;;market for lithium manganese oxide;0.62327;kilogram;lithium manganese oxide;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
330ad4915bee9987ae7f84b380f42e57;lithium hexafluorophosphate production;CN;lithium hexafluorophosphate;;market for lithium fluoride;0.19697;kilogram;lithium fluoride;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
34240746497430551839acb1b5898b70;lithium iron phosphate production, solid state process;CN;lithium iron phosphate;;market for lithium carbonate;0.234;kilogram;lithium carbonate;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
346c8b00fe2ede9d72bee790d5d4fd34;battery cell production, Li-ion, LiMn2O4;RoW;battery cell, Li-ion, LiMn2O4;;market for lithium hexafluorophosphate;0.019037;kilogram;lithium hexafluorophosphate;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
37b839ebfa1e9995a86e523faf2037b9;NMC111 oxide production, for Li-ion battery;CN;NMC111 oxide;;market for lithium carbonate;0.383;kilogram;lithium carbonate;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
38aa48d3425499b2e796765c47a028e9;lithium iron phosphate production, solid state process;RoW;lithium iron phosphate;;market for lithium carbonate;0.234;kilogram;lithium carbonate;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
3b90fb443cc9099a4f54e77a719f4a1a;electrolysis of lithium chloride;GLO;chlorine, gaseous;;market for lithium chloride;0.01913161465400273;kilogram;lithium chloride;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
428dbda8ba2eb9456905e7744e73566d;battery cell production, Li-ion, LiMn2O4;CN;battery cell, Li-ion, LiMn2O4;;market for lithium hexafluorophosphate;0.019037;kilogram;lithium hexafluorophosphate;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
53dca4202569564d0e6490b82d0dacdc;phthalimide-compound production;RoW;phthalimide-compound;;market for lithium;0.0030493;kilogram;lithium;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
559648c1865cace69972d3e785d6cdf7;lithium chloride production;GLO;lithium chloride;;market for lithium carbonate;0.92732;kilogram;lithium carbonate;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
55ad07f8f06a331d8a234a2e564f43be;cathode production, LFP, for Li-ion battery;CN;cathode, LFP, for Li-ion battery;;market for lithium iron phosphate;0.89;kilogram;lithium iron phosphate;0.0;technosphere;CN;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
56e9c7312a5aa2143a5196349456edc5;lithium fluoride production;CN;lithium fluoride;;market for lithium carbonate;1.4883;kilogram;lithium carbonate;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
5b145a8fb1ba4e8bb30e86b3a974bbe4;NMC-111 oxide;GLO;NMC-111 oxide;;market for lithium carbonate, battery grade;0.383;kilogram;lithium carbonate, battery grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
66d1cd82930e34a674c32d6408d466a8;aluminium alloy production, AlLi;CA-QC;aluminium alloy, AlLi;;market for lithium chloride;0.0016674964271757306;kilogram;lithium chloride;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
6976b80b43f643b197582618d81fa07f;LTO electrode material (Li4Ti5O12);GLO;LTO electrode material (Li4Ti5O12);;market for lithium carbonate, battery grade;0.338;kilogram;lithium carbonate, battery grade;;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
70c10a781a5a3817bb83a7ce811fa1d4;lithium hexafluorophosphate production;RoW;lithium hexafluorophosphate;;market for lithium fluoride;0.19697;kilogram;lithium fluoride;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2075;lithium
