code;name;location;reference product;categories;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database;material_group
0c2eab9445adc9efe1eafb7a2a06e1e4;packaging glass production, brown, without cullet;GLO;packaging glass, brown;;market for graphite;1.25e-06;kilogram;graphite;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2095;graphite
1051d69c7c9b1c17aab66a9889245d91;silicon production, electronics grade;DE;silicon, solar grade;;market for graphite;0.0002514800167694961;kilogram;graphite;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2095;graphite
1984cc9e5b707f87ee632e078d2ee02f;packaging glass production, white;RoW;packaging glass, white;;market for graphite;1.25e-06;kilogram;graphite;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2095;graphite
1db278b5e1a8a5612748c97f45965c14;multi-Si wafer production, ribbon;RER;multi-Si wafer, ribbon;;market for graphite;0.0066;kilogram;graphite;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2095;graphite
24da8726b85c2b49bdb07de7f5a96be9;packaging glass production, green;DE;packaging glass, green;;market for graphite;1.25e-06;kilogram;graphite;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2095;graphite
3b1a27ad1633177f2fcc84844ce7ac1e;anode refinery construction;SE;anode refinery;;market for graphite;7491.7;kilogram;graphite;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2095;graphite
5e15488cb6cc48862ab28b12695fd2f4;vanadium-titanomagnetite mine operation and beneficiation;CN;titania slag, 94% titanium dioxide;;market for graphite;0.011837379840352212;kilogram;graphite;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2095;graphite
5fe0b9f9c1e290673bb38b23c8bade9b;multi-Si wafer production, ribbon;RoW;multi-Si wafer, ribbon;;market for graphite;0.0066;kilogram;graphite;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2095;graphite
6081a1ece8e55fd56e2a549d15c28ddf;packaging glass production, green;RoW;packaging glass, green;;market for graphite;1.25e-06;kilogram;graphite;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2095;graphite
652c439097851744261acc006ae67805;collector field area construction, solar thermal parabolic trough, 50 MW;RoW;collector field area, solar thermal parabolic trough, 50 MW;;market for graphite;220.0;kilogram;graphite;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2095;graphite
6c97295f99414d3eb3f548188474e200;anode, graphite, for Li-ion battery;GLO;anode, graphite, for Li-ion battery;;market for graphite, battery grade;0.94;kilogram;graphite, battery grade;;technosphere;CN;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2095;graphite
6cbfeac673993fdc1eacf12d4a079e50;packaging glass production, green, without cullet;GLO;packaging glass, green;;market for graphite;1.25e-06;kilogram;graphite;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2095;graphite
761a83cef27c7c5ca2d0b9dade0014da;fuel cell production, stack polymer electrolyte membrane, 2kW electrical, future;RoW;fuel cell, stack polymer electrolyte membrane, 2kW electrical, future;;market for graphite;9.0;kilogram;graphite;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2095;graphite
77aec4e19247358cf6c7379cd02249d9;packaging glass production, white;DE;packaging glass, white;;market for graphite;1.25e-06;kilogram;graphite;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2095;graphite
7b652f61e6b8cf35312944d99b7d018d;vanadium-titanomagnetite mine operation and beneficiation;CN;iron ore concentrate;;market for graphite;0.0012073029308120676;kilogram;graphite;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2095;graphite
