code;name;location;reference product;categories;classifications;ex_name;ex_amount;ex_unit;ex_product;ex_production volume;ex_type;ex_location;database
00ae6547cd56aa68fd5c35ff4ccb6772;market for low level radioactive waste;GLO;low level radioactive waste;;"[('ISIC rev.4 ecoinvent', '3822:Treatment and disposal of hazardous waste'), ('EcoSpold01Categories', 'nuclear power/waste treatment'), ('CPC', '33690: Other radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures cont[…]')]";market for low level radioactive waste;-1.0;cubic meter;low level radioactive waste;100.0;production;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2080
00ae6547cd56aa68fd5c35ff4ccb6772;market for low level radioactive waste;GLO;low level radioactive waste;;"[('ISIC rev.4 ecoinvent', '3822:Treatment and disposal of hazardous waste'), ('EcoSpold01Categories', 'nuclear power/waste treatment'), ('CPC', '33690: Other radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures cont[…]')]";treatment of low level radioactive waste, plasma torch incineration;-0.09;cubic meter;low level radioactive waste;0.0;technosphere;CH;ecoinvent_cutoff_3.9_remind_SSP2-Base_2080
00ae6547cd56aa68fd5c35ff4ccb6772;market for low level radioactive waste;GLO;low level radioactive waste;;"[('ISIC rev.4 ecoinvent', '3822:Treatment and disposal of hazardous waste'), ('EcoSpold01Categories', 'nuclear power/waste treatment'), ('CPC', '33690: Other radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures cont[…]')]";treatment of low level radioactive waste, surface or trench deposit;-0.01;cubic meter;low level radioactive waste;0.0;technosphere;CH;ecoinvent_cutoff_3.9_remind_SSP2-Base_2080
00ae6547cd56aa68fd5c35ff4ccb6772;market for low level radioactive waste;GLO;low level radioactive waste;;"[('ISIC rev.4 ecoinvent', '3822:Treatment and disposal of hazardous waste'), ('EcoSpold01Categories', 'nuclear power/waste treatment'), ('CPC', '33690: Other radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures cont[…]')]";treatment of low level radioactive waste, in interim storage;-0.9;cubic meter;low level radioactive waste;0.0;technosphere;CH;ecoinvent_cutoff_3.9_remind_SSP2-Base_2080
015702d2ec08339a6f3268851ee4c3d5;electricity production, nuclear, pressure water reactor;JP;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste;-1.8032e-09;cubic meter;low level radioactive waste;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2080
015702d2ec08339a6f3268851ee4c3d5;electricity production, nuclear, pressure water reactor;JP;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste for final repository;-2.84e-08;cubic meter;low level radioactive waste for final repository;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2080
01681cdd81bf3911a2475a926c000316;uranium production, centrifuge, enriched 4.2%;GB;uranium, enriched 4.2%, per separative work unit;;"[('ISIC rev.4 ecoinvent', '2011:Manufacture of basic chemicals'), ('EcoSpold01Categories', 'nuclear power/production'), ('CPC', '33620: Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products[…]')]";market for low level radioactive waste;-0.00063;cubic meter;low level radioactive waste;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2080
01f047d789cb70e0476b00c649b8a2da;electricity production, nuclear, pressure water reactor;IR;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste;-1.8032e-09;cubic meter;low level radioactive waste;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2080
01f047d789cb70e0476b00c649b8a2da;electricity production, nuclear, pressure water reactor;IR;electricity, high voltage;;[('ISIC rev.4 ecoinvent', '3510:Electric power generation, transmission and distribution'), ('CPC', '17100: Electrical energy')];market for low level radioactive waste for final repository;-2.84e-08;cubic meter;low level radioactive waste for final repository;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2080
01f1fd12acc2e482521eaf49e3da78f3;uranium fuel element production, enriched 4%, for light water reactor;DE;uranium, enriched 4%, in fuel element for light water reactor;;"[('ISIC rev.4 ecoinvent', '2011:Manufacture of basic chemicals'), ('EcoSpold01Categories', 'nuclear power/production'), ('CPC', '33620: Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products[…]')]";market for low level radioactive waste;-0.000333;cubic meter;low level radioactive waste;0.0;technosphere;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2080
