('03/10/2024, 00:02:15', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'MaterialFootprint_water', 'additions', 10447, 'duration:', '0:13:24.524985')
('03/10/2024, 00:02:24', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'MaterialFootprint_zinc', 'additions', 593, 'duration:', '0:13:34.267089')
('03/10/2024, 00:02:24', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'MaterialFootprint_zirconium', 'additions', 11, 'duration:', '0:13:34.439323')
('03/10/2024, 00:02:26', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'WasteFootprint_carbondioxide-kilogram', 'additions', 119, 'duration:', '0:13:36.351396')
('03/10/2024, 00:02:27', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'WasteFootprint_composting-kilogram', 'additions', 14, 'duration:', '0:13:36.560880')
('03/10/2024, 00:02:27', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'WasteFootprint_digestion-cubicmeter', 'additions', 6, 'duration:', '0:13:36.652031')
('03/10/2024, 00:02:27', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'WasteFootprint_digestion-kilogram', 'additions', 4, 'duration:', '0:13:36.720113')
('03/10/2024, 00:02:32', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'WasteFootprint_hazardous-cubicmeter', 'additions', 308, 'duration:', '0:13:41.581322')
('03/10/2024, 00:02:57', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'WasteFootprint_hazardous-kilogram', 'additions', 1583, 'duration:', '0:14:07.354625')
('03/10/2024, 00:02:57', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'WasteFootprint_incineration-cubicmeter', 'additions', 2, 'duration:', '0:14:07.387710')
('03/10/2024, 00:03:29', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'WasteFootprint_incineration-kilogram', 'additions', 1954, 'duration:', '0:14:38.922616')
('03/10/2024, 00:03:29', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'WasteFootprint_landfill-cubicmeter', 'additions', 2, 'duration:', '0:14:38.959601')
('03/10/2024, 00:03:54', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'WasteFootprint_landfill-kilogram', 'additions', 1530, 'duration:', '0:15:03.619216')
('03/10/2024, 00:04:02', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'WasteFootprint_openburning-kilogram', 'additions', 535, 'duration:', '0:15:12.427422')
('03/10/2024, 00:04:08', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'WasteFootprint_radioactive-cubicmeter', 'additions', 308, 'duration:', '0:15:17.475316')
('03/10/2024, 00:04:09', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'WasteFootprint_recycling-kilogram', 'additions', 71, 'duration:', '0:15:18.690491')
('03/10/2024, 00:05:18', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'WasteFootprint_total-cubicmeter', 'additions', 4226, 'duration:', '0:16:27.642144')
('03/10/2024, 00:23:54', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2055', 'WasteFootprint_total-kilogram', 'additions', 28467, 'duration:', '0:35:03.840966')
('03/10/2024, 00:24:49', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_aluminium', 'additions', 1926, 'duration:', '0:00:35.457831')
('03/10/2024, 00:24:49', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_antimony', 'additions', 26, 'duration:', '0:00:35.741722')
('03/10/2024, 00:24:50', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_bauxite', 'additions', 24, 'duration:', '0:00:36.036862')
('03/10/2024, 00:24:50', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_beryllium', 'additions', 1, 'duration:', '0:00:36.048375')
('03/10/2024, 00:24:50', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_borates', 'additions', 15, 'duration:', '0:00:36.263548')
('03/10/2024, 00:24:50', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_cadmium', 'additions', 17, 'duration:', '0:00:36.473120')
('03/10/2024, 00:25:19', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_cement', 'additions', 2598, 'duration:', '0:01:05.700468')
('03/10/2024, 00:25:19', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_cerium', 'additions', 3, 'duration:', '0:01:05.731599')
('03/10/2024, 00:25:24', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_chromium', 'additions', 425, 'duration:', '0:01:10.393609')
('03/10/2024, 00:25:42', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_coal(black)', 'additions', 1573, 'duration:', '0:01:28.288778')
('03/10/2024, 00:25:48', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_coal(brown)', 'additions', 508, 'duration:', '0:01:34.340033')
('03/10/2024, 00:25:50', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_cobalt', 'additions', 166, 'duration:', '0:01:36.175712')
('03/10/2024, 00:25:50', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_coke', 'additions', 71, 'duration:', '0:01:36.947988')
('03/10/2024, 00:26:02', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_copper', 'additions', 1065, 'duration:', '0:01:48.835847')
('03/10/2024, 00:26:02', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_dysprosium', 'additions', 1, 'duration:', '0:01:48.848015')
('03/10/2024, 00:32:04', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_electricity', 'additions', 24074, 'duration:', '0:07:50.438139')
('03/10/2024, 00:32:04', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_erbium', 'additions', 1, 'duration:', '0:07:50.454780')
('03/10/2024, 00:32:04', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_europium', 'additions', 1, 'duration:', '0:07:50.471897')
