0;1;2;tuple
EDIP 2003 no LT;acidification no LT;acidification no LT;('EDIP 2003 no LT', 'acidification no LT', 'acidification no LT')
EDIP 2003 no LT;ecotoxicity no LT;acute, in water no LT;('EDIP 2003 no LT', 'ecotoxicity no LT', 'acute, in water no LT')
EDIP 2003 no LT;ecotoxicity no LT;chronic, in soil no LT;('EDIP 2003 no LT', 'ecotoxicity no LT', 'chronic, in soil no LT')
EDIP 2003 no LT;ecotoxicity no LT;chronic, in water no LT;('EDIP 2003 no LT', 'ecotoxicity no LT', 'chronic, in water no LT')
EDIP 2003 no LT;ecotoxicity no LT;in sewage treatment plants no LT;('EDIP 2003 no LT', 'ecotoxicity no LT', 'in sewage treatment plants no LT')
EDIP 2003 no LT;eutrophication no LT;combined potential no LT;('EDIP 2003 no LT', 'eutrophication no LT', 'combined potential no LT')
EDIP 2003 no LT;eutrophication no LT;separate N potential no LT;('EDIP 2003 no LT', 'eutrophication no LT', 'separate N potential no LT')
EDIP 2003 no LT;eutrophication no LT;separate P potential no LT;('EDIP 2003 no LT', 'eutrophication no LT', 'separate P potential no LT')
EDIP 2003 no LT;eutrophication no LT;terrestrial eutrophication no LT;('EDIP 2003 no LT', 'eutrophication no LT', 'terrestrial eutrophication no LT')
EDIP 2003 no LT;global warming no LT;GWP 100a no LT;('EDIP 2003 no LT', 'global warming no LT', 'GWP 100a no LT')
EDIP 2003 no LT;global warming no LT;GWP 20a no LT;('EDIP 2003 no LT', 'global warming no LT', 'GWP 20a no LT')
EDIP 2003 no LT;global warming no LT;GWP 500a no LT;('EDIP 2003 no LT', 'global warming no LT', 'GWP 500a no LT')
EDIP 2003 no LT;human toxicity no LT;via air no LT;('EDIP 2003 no LT', 'human toxicity no LT', 'via air no LT')
EDIP 2003 no LT;human toxicity no LT;via soil no LT;('EDIP 2003 no LT', 'human toxicity no LT', 'via soil no LT')
EDIP 2003 no LT;human toxicity no LT;via surface water no LT;('EDIP 2003 no LT', 'human toxicity no LT', 'via surface water no LT')
EDIP 2003 no LT;land filling no LT;bulk waste no LT;('EDIP 2003 no LT', 'land filling no LT', 'bulk waste no LT')
EDIP 2003 no LT;land filling no LT;hazardous waste no LT;('EDIP 2003 no LT', 'land filling no LT', 'hazardous waste no LT')
EDIP 2003 no LT;land filling no LT;radioactive waste no LT;('EDIP 2003 no LT', 'land filling no LT', 'radioactive waste no LT')
EDIP 2003 no LT;land filling no LT;slag and ashes no LT;('EDIP 2003 no LT', 'land filling no LT', 'slag and ashes no LT')
